,feature,divergence
22,PWGTP,12.355632449058051
1,AGEP,7.973371262351886
14,PINCP,6.054907892341367
16,POVPIP,5.8659636096935275
23,WGTP,5.432228275925756
12,INDP_CAT,3.4093798477122035
13,EDU,3.3735370731207057
15,PINCP_DECILE,2.666483378815874
10,DENSITY,2.3518110305773727
7,NPF,2.223836805924511
0,PUMA,1.741536698793851
11,INDP,1.6792963031781283
5,RAC1P,1.4061936332321874
3,MSP,0.6555431648578531
9,OWN_RENT,0.39005508509348297
6,NOC,0.33426743698149697
2,SEX,0.16852394926245695
4,HISP,0.09655621931008887
19,DPHY,0.05588484906567098
18,DREM,0.047158743403237904
21,DEAR,0.021183008706012016
17,DVET,0.020308402769353855
8,HOUSING_TYPE,0.016517175135959815
20,DEYE,0.01397773201010927
