SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,AGEP,HOUSING_TYPE,DVET,DEYE,target
2,6,2,1,6,9,85,1,N,2,17558
2,N,9,0,N,1,3,2,N,2,1908
1,6,3,2,1,7,19,1,N,2,9957
2,1,3,0,9,9,52,3,N,2,2591
2,1,2,1,2,6,22,1,N,2,18395
2,6,5,0,2,5,31,3,N,2,22555
2,6,2,2,0,9,51,1,N,2,18772
1,1,1,2,6,9,28,1,N,2,9720
2,6,2,1,8,9,26,1,N,2,3424
2,6,1,1,0,6,53,1,N,2,19015
1,4,1,0,1,6,58,3,N,2,13078
2,6,1,0,8,3,70,2,N,2,12612
2,6,2,2,8,10,38,1,N,2,4926
2,2,6,0,7,9,61,3,N,2,730
1,6,1,2,6,5,27,1,N,2,4428
2,5,1,0,1,5,26,2,N,2,14448
1,6,1,0,6,5,44,2,N,2,6193
2,1,5,0,6,7,66,2,N,2,15941
2,1,7,0,2,7,91,2,N,2,8905
2,N,1,0,N,N,2,2,N,2,13871
1,N,2,0,N,3,9,3,N,2,20329
2,6,1,0,2,5,23,2,N,2,10694
2,N,1,0,N,N,0,2,N,2,23687
1,1,5,0,5,7,54,3,N,2,22190
1,6,1,0,7,9,73,3,N,2,12922
1,4,2,2,0,5,1,1,N,2,15336
1,1,1,2,2,10,34,1,N,2,22373
1,1,1,0,1,5,54,3,N,2,171
2,1,7,0,3,4,76,2,N,2,20501
2,N,1,1,N,N,17,1,N,2,19696
2,6,1,0,1,9,22,3,N,2,5148
2,6,1,0,0,5,25,3,N,2,8416
2,4,1,0,5,5,64,3,N,2,17121
2,6,1,2,4,5,18,1,N,2,14655
2,N,6,0,N,3,13,2,N,2,22430
1,1,8,0,0,9,39,3,N,2,23183
1,1,2,0,3,8,57,2,N,2,7046
1,4,8,0,8,7,58,2,N,2,26958
1,1,9,0,4,9,54,2,N,2,27071
1,6,8,2,3,9,50,1,N,2,21515
1,3,6,0,2,5,88,3,N,2,10370
1,N,2,2,N,3,12,1,N,2,4734
1,N,1,0,N,2,4,3,N,2,26858
