SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP,target
1,2,6,0,3,0,17-03529,67,9,12,352,228
2,3,8,1,5,4,51-51255,58,2,4,36,1542
1,6,6,1,4,0,24-01004,26,0,4,410,24989
2,5,1,2,N,0,40-00200,72,1,2,86,18067
2,5,1,1,4,0,30-00600,31,0,2,128,1593
1,2,2,0,3,0,17-03529,50,N,N,174,327
2,3,1,1,6,0,24-01004,38,0,2,238,5403
2,6,1,0,3,0,06-08507,69,N,N,152,9979
2,6,2,1,3,0,29-01901,24,0,2,165,25828
2,6,1,2,2,0,40-00200,89,0,N,73,873
1,4,1,2,3,0,06-08507,64,0,N,335,10531
1,2,1,2,9,0,40-00200,37,0,N,501,11446
1,2,1,1,7,0,08-00803,23,0,N,323,23788
1,2,1,1,5,0,28-01100,40,0,N,501,22898
2,1,9,2,6,0,19-01700,42,1,2,311,26065
1,6,6,2,3,0,24-01004,32,1,3,490,7251
1,2,5,0,1,4,51-51255,58,N,N,225,6108
2,6,1,2,1,0,08-00803,18,0,N,29,10822
2,4,9,1,0,0,40-00200,55,0,3,342,3870
1,1,2,1,3,0,17-03529,26,0,2,352,18176
2,6,1,2,5,1,28-01100,68,4,5,264,9447
2,4,1,2,6,0,06-07502,27,0,N,414,6923
2,2,1,1,6,0,06-08507,31,0,N,490,7260
1,N,1,1,7,0,24-01004,59,7,9,352,7400
2,1,1,1,2,0,06-08507,75,1,3,138,22058
2,5,1,1,2,0,38-00100,0,0,N,233,4889
2,3,2,2,9,0,19-01700,71,0,N,493,14762
2,N,1,2,8,0,08-00803,67,6,12,299,27080
1,4,2,2,8,0,19-01700,82,0,N,501,7293
1,3,6,1,7,0,19-01700,28,0,2,501,14325
2,4,1,0,6,0,51-51255,53,N,N,158,14897
1,4,2,0,6,0,17-03529,52,N,N,321,1894
1,2,1,2,N,0,06-08507,59,0,N,19,16730
1,6,1,1,1,0,08-00803,21,0,N,278,26086
1,1,2,1,0,0,26-02702,67,0,2,136,26784
2,2,1,1,4,0,24-01004,74,N,9,497,16798
2,6,1,1,N,0,38-00100,1,6,8,383,8525
1,N,2,2,5,0,29-01901,40,4,6,142,4992
1,N,1,1,8,0,51-51255,58,0,7,501,15301
2,1,1,2,7,0,38-00100,30,0,2,501,18882
1,3,1,0,9,0,51-51255,88,N,N,398,11739
1,6,1,2,2,0,01-01301,64,0,N,56,21602
1,6,2,1,2,0,29-01901,59,0,N,335,8396
2,N,2,1,1,0,36-04010,63,0,9,398,767
2,4,2,0,1,4,36-03710,58,N,N,142,17653
1,5,6,2,N,0,06-08507,22,0,N,368,4268
1,5,1,2,4,0,29-01901,69,4,6,134,24642
2,6,1,1,5,0,24-01004,27,1,4,389,19358
2,3,1,2,9,0,19-01700,91,0,N,501,21657
2,6,1,2,5,0,30-00600,29,0,N,266,21213
