,feature,divergence
1,AGEP,13.929185114453748
22,PWGTP,12.68627206021813
23,WGTP,11.06831316080809
11,INDP,6.112064269404669
16,POVPIP,6.071117828095233
13,EDU,5.946361107408732
14,PINCP,5.639288131580261
15,PINCP_DECILE,5.562462192543888
12,INDP_CAT,4.702165531235068
6,NOC,3.2164579741131574
3,MSP,3.1899775858073074
7,NPF,2.896987189347321
5,RAC1P,2.409351171745707
9,OWN_RENT,2.3988855007270624
10,DENSITY,2.3735437307879796
17,DVET,2.081345822340073
18,DREM,2.0120813523224506
4,HISP,2.007016903686096
8,HOUSING_TYPE,1.99782302390719
19,DPHY,1.9813877967275118
20,DEYE,1.9762019357780383
21,DEAR,1.9574183475128963
0,PUMA,1.519934743135567
2,SEX,0.9654632092560348
