,feature,divergence
11,INDP,67.94821969285903
22,PWGTP,13.961987972435814
23,WGTP,10.579222001842608
16,POVPIP,10.32009022657578
12,INDP_CAT,5.827885945299956
15,PINCP_DECILE,4.56037259998274
10,DENSITY,4.062644787644787
14,PINCP,3.9386836149395186
1,AGEP,3.8954850477061957
0,PUMA,2.2011221405499874
7,NPF,1.874595691719484
6,NOC,1.6709321559073922
5,RAC1P,1.2700578811803753
13,EDU,1.2111171039821849
3,MSP,0.9767608704622954
17,DVET,0.3440540549583225
9,OWN_RENT,0.29924226618906163
4,HISP,0.25284658914881974
2,SEX,0.21060986922072078
20,DEYE,0.07375399733991381
8,HOUSING_TYPE,0.07355961069211195
21,DEAR,0.0639189989618669
18,DREM,0.05005226275551273
19,DPHY,0.02336654887124976
