,SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,HISP,PUMA,INDP_CAT
0,2,N,6,2,N,2,0,06-08507,N
1,2,N,1,1,N,3,0,24-01004,N
2,2,1,1,2,9,9,0,06-07502,16
3,2,N,1,1,N,N,0,24-01004,N
4,1,5,3,1,5,6,1,40-00200,5
5,1,3,1,2,3,5,0,38-00100,N
6,1,N,6,2,N,1,0,24-01004,N
7,1,N,1,1,N,2,0,06-08507,N
8,1,1,1,1,8,10,0,51-51255,10
9,2,4,1,1,8,7,0,19-01700,6
10,2,N,1,1,N,3,0,06-07502,N
11,2,1,3,1,1,7,0,40-00200,6
12,2,6,2,2,1,1,1,36-04010,N
13,1,3,1,2,2,5,0,38-00100,N
14,2,1,1,2,9,7,0,13-04600,9
15,1,4,6,1,4,10,0,24-01004,9
16,1,6,2,1,0,7,0,17-03531,N
17,2,N,2,1,N,2,0,24-01004,N
18,2,1,1,0,6,7,0,08-00803,16
19,1,1,1,1,7,9,0,17-03531,3
20,1,N,2,1,N,3,0,13-04600,N
21,2,N,1,1,N,N,3,17-03529,N
22,1,6,2,2,5,4,2,36-03710,N
23,2,6,2,2,1,4,0,13-04600,11
24,1,1,1,1,0,5,0,24-01004,N
25,2,3,1,1,2,9,0,24-01004,N
26,1,6,1,1,1,4,0,06-08507,14
27,2,6,2,2,7,9,4,36-03710,12
28,1,6,9,1,1,9,0,24-01004,6
29,1,1,1,1,5,7,0,24-01004,0
30,1,5,1,1,0,4,0,06-08507,N
31,2,6,1,2,3,8,0,51-51255,13
32,1,2,2,0,5,7,0,36-03710,3
33,1,6,1,1,7,10,0,24-01004,N
34,2,4,1,1,6,9,0,24-01004,12
35,1,N,2,2,N,3,2,36-03710,N
36,2,1,1,2,8,5,0,32-00405,12
37,1,6,2,1,9,9,0,51-51255,10
38,1,1,1,1,7,5,0,28-01100,N
39,1,6,1,1,0,3,0,30-00600,N
40,2,6,2,1,2,6,0,36-04010,12
41,2,6,6,1,6,7,0,06-08507,9
42,1,1,3,1,4,5,0,40-00200,3
43,1,6,1,1,7,9,0,38-00100,4
44,1,1,6,1,4,5,0,32-00405,6
45,2,6,1,1,0,4,0,19-01700,N
46,2,1,1,1,8,9,0,08-00803,N
47,1,1,6,1,4,5,0,06-08507,N
48,1,1,1,2,9,8,0,08-00803,10
49,1,1,6,1,9,10,0,06-08507,N
50,1,4,2,2,4,3,0,32-00405,15
51,1,1,2,1,8,9,0,36-04010,6
52,2,1,1,1,7,9,0,08-00803,9
53,1,1,1,2,8,9,0,38-00100,16
54,1,6,1,2,4,5,0,38-00100,N
55,1,6,1,1,0,7,0,19-01700,N
56,1,6,1,2,1,9,0,51-51255,N
57,1,6,6,1,0,4,0,06-08507,11
58,1,1,6,2,3,3,3,17-03529,N
59,1,N,1,1,N,N,0,40-00200,N
60,1,6,1,1,0,9,0,08-00803,N
61,1,6,6,1,8,10,4,06-08507,10
62,1,1,2,2,9,11,0,17-03529,15
63,2,N,1,1,N,3,3,38-00100,N
64,2,6,2,1,6,7,0,29-01901,16
65,1,3,1,1,3,9,0,38-00100,N
66,1,3,1,2,4,6,0,30-00600,14
67,1,6,7,1,3,7,0,06-07502,N
68,1,6,2,2,1,4,0,17-03529,14
69,1,1,9,2,5,5,1,19-01700,14
70,2,N,6,2,N,N,0,24-01004,N
71,1,6,3,2,7,6,1,40-00200,12
72,1,1,2,1,2,7,0,17-03531,4
73,2,1,1,1,9,11,0,06-08507,8
74,2,5,6,2,2,6,0,36-04010,N
