SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP,DEYE
2,6,6,1,N,0,51-51255,59,0,N,501,2
1,3,1,1,2,0,51-51255,75,0,2,501,2
2,6,1,1,N,4,06-07502,50,1,2,501,2
2,6,1,1,1,0,26-02702,58,0,N,501,2
1,6,1,2,0,0,36-03710,19,0,N,0,2
1,4,1,1,4,0,36-03710,74,0,N,50,2
2,N,6,2,8,0,24-01004,5,1,3,501,2
2,6,2,0,1,0,28-01100,19,0,N,N,2
1,4,2,1,3,0,13-04600,77,0,N,501,2
1,6,8,1,7,0,06-08507,23,0,5,458,2
2,N,1,2,N,0,38-00100,10,0,4,64,2
2,1,1,2,0,0,30-00600,39,0,2,77,2
1,6,2,1,1,0,13-04600,56,0,N,308,2
1,N,1,1,9,0,24-01004,12,3,7,501,2
1,6,1,1,3,0,38-00100,22,N,N,109,1
2,1,1,1,0,0,24-01004,42,2,5,501,2
1,2,6,2,9,0,24-01004,54,1,3,501,2
2,6,1,1,0,0,36-03710,57,0,N,345,2
1,5,2,2,5,4,28-01100,38,0,N,279,2
2,1,1,2,8,1,30-00600,65,1,4,322,2
2,6,1,2,4,0,38-00100,28,N,N,150,2
1,1,2,2,N,0,01-01301,43,0,4,364,2
1,6,1,1,9,4,19-01700,34,2,4,501,2
2,6,6,1,8,0,06-08507,25,0,N,501,2
1,1,2,2,1,0,17-03529,71,2,4,429,2
1,6,2,2,5,1,32-00405,31,N,N,121,2
2,6,1,1,9,0,51-01301,50,0,N,501,2
1,1,2,1,0,0,17-03529,74,0,6,451,2
1,6,1,1,7,0,32-00405,36,0,N,388,2
2,6,1,1,7,0,24-01004,30,0,N,501,2
1,3,1,1,N,0,08-00803,48,0,3,275,2
2,N,8,2,2,0,36-03710,1,0,9,177,2
1,6,1,2,0,0,38-00100,19,0,N,0,2
1,1,1,1,0,0,30-00600,32,2,5,0,2
1,3,1,1,0,1,51-01301,74,N,N,83,2
1,1,1,2,7,4,28-01100,69,0,2,266,2
2,1,1,2,0,0,19-01700,88,1,2,0,2
1,6,2,0,0,0,36-03710,18,2,4,N,2
2,1,1,1,1,0,06-07502,42,0,3,501,2
1,6,3,2,9,0,40-00200,59,4,5,202,2
1,4,1,1,2,0,24-01004,58,0,N,501,2
2,4,1,1,5,0,06-08507,40,0,N,217,2
2,6,2,1,9,0,17-03529,24,N,N,501,2
1,6,9,2,1,0,26-02702,19,0,2,N,2
1,1,1,1,N,0,40-00200,36,1,5,154,2
2,1,1,2,2,0,38-00100,39,1,2,75,2
1,6,1,1,N,0,26-02702,64,0,N,501,2
2,6,8,2,0,0,36-03710,20,0,N,0,2
2,1,3,2,4,0,30-00600,57,3,4,98,2
2,6,2,1,3,0,01-01301,73,3,5,135,1
2,N,3,1,2,0,30-00600,8,0,6,213,2
1,4,2,0,5,0,13-04600,92,1,4,N,2
2,1,1,1,N,0,51-01301,77,0,2,501,2
2,6,2,1,6,0,19-01700,26,0,2,263,2
2,6,1,1,2,1,30-00600,24,1,2,16,2
1,6,1,2,3,0,38-00100,31,0,3,28,2
2,2,2,1,1,0,32-00405,63,1,9,197,2
2,1,1,1,N,1,26-02702,33,0,4,400,2
1,1,1,1,9,0,30-00600,37,1,2,501,2
1,6,1,1,5,0,51-51255,28,0,N,232,2
1,N,2,1,5,0,17-03531,1,0,5,191,2
2,6,6,1,2,0,19-01700,59,0,N,465,2
2,6,1,1,4,0,08-00803,63,N,N,190,2
2,6,1,1,2,4,32-00405,26,0,2,206,2
1,N,1,1,8,0,51-51255,7,2,4,501,2
2,N,9,2,7,0,38-00100,6,3,5,52,2
1,1,1,1,9,0,08-00803,36,3,5,501,2
2,3,2,1,7,0,17-03531,85,0,N,341,2
2,6,2,1,6,1,28-01100,20,0,N,352,2
1,N,2,1,0,0,36-04010,3,0,3,194,2
1,6,2,0,1,0,13-04600,27,3,6,N,2
2,N,1,1,9,0,51-01301,7,0,4,501,2
1,4,2,1,5,0,28-01100,59,0,N,501,2
1,1,9,1,N,0,40-00200,52,0,5,300,2
1,4,8,1,7,0,36-03710,76,0,N,380,2
1,1,1,2,0,0,06-08507,60,0,2,0,2
