,SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,HISP,PUMA,INDP_CAT
0,2,1,1,1,4,5,0,19-01700,15
1,2,N,1,0,N,3,1,36-03710,N
2,2,6,1,1,5,10,0,06-08507,13
3,2,1,1,2,7,5,1,32-00405,16
4,2,1,2,1,9,9,0,36-04010,11
5,2,N,3,1,N,3,0,40-00200,N
6,1,4,1,2,7,10,0,08-00803,3
7,2,1,2,1,0,4,0,01-01301,N
8,2,3,2,2,4,1,0,13-04600,9
9,1,2,9,1,3,8,0,19-01700,N
10,2,6,1,2,7,9,0,06-08507,11
11,1,4,1,0,4,5,0,19-01700,N
12,1,1,6,1,9,11,3,24-01004,N
13,1,6,2,2,0,4,0,17-03529,N
14,2,6,2,2,4,5,4,36-03710,N
15,1,6,1,1,1,7,0,38-00100,15
16,2,5,1,1,6,9,0,24-01004,12
17,1,1,1,1,9,10,0,51-51255,16
18,2,6,3,2,9,9,0,36-03710,6
19,2,4,9,2,8,10,0,26-02702,16
20,2,6,1,1,8,9,0,51-51255,12
21,2,6,1,0,1,5,0,28-01100,N
22,1,1,1,1,3,5,0,38-00100,13
23,2,3,9,1,5,9,0,19-01700,12
24,1,6,1,1,2,11,0,24-01004,11
25,1,4,1,1,3,5,0,30-00600,N
26,1,N,1,1,N,3,0,38-00100,N
27,1,1,2,1,2,5,0,28-01100,6
28,2,N,8,2,N,2,0,32-00405,N
29,1,6,2,2,4,5,0,19-01700,10
30,1,1,1,1,6,9,0,38-00100,6
31,1,2,1,1,9,10,0,40-00200,0
32,1,N,1,1,N,3,0,40-00200,N
33,1,6,1,2,0,4,4,19-01700,N
34,1,4,1,1,2,5,4,30-00600,6
35,1,3,1,1,7,11,0,24-01004,4
36,1,N,6,1,N,3,0,06-08507,N
37,1,N,1,1,N,1,0,30-00600,N
38,1,N,1,0,N,3,0,19-01700,N
39,2,N,1,1,N,3,0,38-00100,N
40,2,6,1,1,0,3,0,06-08507,11
41,2,4,2,2,8,11,0,28-01100,10
42,1,6,1,1,1,1,0,19-01700,14
43,2,6,3,2,1,4,0,30-00600,6
44,1,1,1,1,8,12,4,30-00600,6
45,1,6,2,1,0,7,0,29-01901,N
46,2,N,1,1,N,2,0,06-08507,N
47,2,6,9,1,0,4,0,13-04600,N
48,2,3,1,1,2,6,0,40-00200,N
49,2,6,1,2,0,7,0,26-02702,N
50,2,1,1,1,6,10,0,06-08507,10
51,1,1,6,1,9,12,4,24-01004,N
