SEX,MSP,RAC1P,HOUSING_TYPE,OWN_RENT,EDU,PINCP_DECILE,DVET
1,1,1,1,1,10,9,3
1,1,1,1,1,10,9,3
1,1,1,1,1,10,9,3
1,1,1,1,1,10,9,3
1,1,1,1,1,10,9,3
1,1,1,1,1,10,9,3
1,1,1,1,1,10,9,3
1,1,1,1,1,12,0,N
1,1,1,1,1,5,7,2
1,1,1,1,1,7,0,N
1,1,1,1,1,7,0,N
1,1,1,1,1,7,0,N
1,1,1,1,1,7,0,N
1,1,1,1,1,7,0,N
1,1,1,1,1,7,0,N
1,1,1,1,1,7,0,N
1,1,1,1,1,7,0,N
1,1,1,1,1,7,0,N
1,1,1,1,1,7,0,N
1,1,1,1,1,7,0,N
1,1,1,1,1,7,0,N
1,1,1,1,1,7,0,N
1,1,1,1,1,7,0,N
1,1,1,1,1,7,0,N
1,1,1,1,1,7,0,N
1,1,1,1,1,7,0,N
1,1,1,1,1,7,0,N
1,1,1,1,1,7,6,N
1,1,1,1,1,7,6,N
1,1,1,1,1,7,6,N
1,1,1,1,1,7,6,N
1,1,1,1,1,7,6,N
1,1,1,1,1,7,6,N
1,1,1,1,1,7,6,N
1,1,1,1,1,7,6,N
1,1,1,1,1,7,6,N
1,1,1,1,1,7,6,N
1,1,1,1,1,7,6,N
1,1,1,1,1,7,6,N
1,1,1,1,1,7,6,N
1,1,1,1,1,7,6,N
1,1,1,1,1,7,6,N
1,1,1,1,1,7,6,N
1,1,1,1,1,7,6,N
1,1,1,1,1,7,6,N
1,1,1,1,1,7,6,N
1,1,1,1,1,7,6,N
1,1,1,1,1,7,6,N
1,1,1,1,1,7,6,N
1,1,1,1,1,7,6,N
1,1,1,1,1,7,6,N
1,1,1,1,1,7,6,N
1,1,1,1,1,7,6,N
1,1,1,1,1,7,6,N
1,1,1,1,1,7,6,N
1,1,1,1,1,7,6,N
1,1,1,1,1,7,6,N
1,1,1,1,1,7,6,N
1,1,1,1,1,7,6,N
1,1,1,1,1,7,6,N
1,1,1,1,1,7,6,N
1,1,1,1,1,7,6,N
1,1,1,1,1,7,6,N
1,1,1,1,1,7,6,N
1,1,1,1,1,7,6,N
1,1,1,1,1,7,6,N
1,1,1,1,1,7,6,N
1,1,1,1,1,7,6,N
1,1,1,1,1,7,6,N
1,1,1,1,1,7,6,N
1,1,1,1,1,8,2,N
1,1,1,1,1,8,2,N
1,1,1,1,1,8,2,N
1,1,1,1,1,8,2,N
1,1,1,1,1,8,2,N
1,1,1,1,1,8,2,N
1,1,1,1,1,8,3,N
1,1,1,1,1,8,3,N
1,1,1,1,1,8,3,N
1,1,1,1,1,9,0,2
1,1,1,1,2,1,6,N
1,1,1,1,2,4,1,N
1,1,1,1,2,8,3,N
1,1,1,1,2,8,3,N
1,1,1,1,2,8,3,N
1,1,1,1,2,8,6,N
1,1,1,1,2,9,9,2
1,1,2,1,1,12,9,N
1,1,2,1,1,12,9,N
1,1,2,1,1,12,9,N
1,1,2,1,1,12,9,N
1,1,2,1,1,3,7,N
1,1,2,1,1,5,1,N
1,1,2,1,1,5,1,N
1,1,2,1,1,5,1,N
1,1,2,1,1,5,1,N
1,1,2,1,1,5,1,N
1,1,2,1,1,5,1,N
1,1,2,1,1,5,1,N
1,1,2,1,1,5,6,5
1,1,2,1,1,7,1,N
1,1,2,1,1,8,8,N
1,1,2,1,1,8,8,N
1,1,2,1,1,8,8,N
1,1,2,1,1,8,8,N
1,1,2,1,2,1,0,N
1,1,2,1,2,12,9,N
1,1,2,1,2,12,9,N
1,1,2,1,2,5,0,N
1,1,2,1,2,5,0,N
1,1,2,1,2,5,0,N
1,1,2,1,2,5,0,N
1,1,2,1,2,5,0,N
1,1,2,1,2,5,7,N
