,Unnamed: 0,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP,PUMA
0,3557,14,2,6,1,2,2,4,1,0,7390,14,10,N,N,501,N,2,2,2,2,79,37,06-08507
1,4725,29,2,N,0,2,2,N,3,2,6970,15,7,77601,7,480,N,2,1,2,2,106,142,36-04010
2,20345,22,1,1,0,8,0,2,1,1,N,9,7,89402,7,380,N,2,2,2,2,410,58,32-00405
3,25328,58,1,N,0,1,0,5,1,1,7870,11,2,55975,5,290,N,2,2,2,2,13,309,36-04010
4,12562,19,1,6,0,1,0,4,1,2,7860,N,4,31185,2,474,5,2,1,2,2,130,29,26-02702
5,3198,1,2,3,0,1,0,N,1,2,7290,10,5,31644,7,106,N,2,2,2,2,105,94,19-01700
6,14124,14,2,N,0,1,2,N,1,1,N,N,10,39450,9,320,N,2,2,2,2,104,96,29-01901
7,22318,23,1,2,0,6,N,N,1,1,7890,11,5,86929,5,344,N,2,2,2,2,55,61,51-51255
8,23524,52,2,1,0,2,2,2,1,2,7860,N,10,175800,8,146,N,2,1,2,1,379,114,40-00200
9,8571,27,1,6,1,1,0,2,1,2,N,17,10,-9000,9,197,5,2,1,1,2,17,31,17-03529
10,15451,15,1,1,0,1,2,4,1,2,7860,N,N,63166,9,501,N,2,2,1,2,33,43,19-01700
11,21447,33,1,6,0,1,0,2,1,1,N,11,7,3957,7,230,N,2,2,2,2,41,118,36-03710
12,11364,46,2,N,0,2,0,5,1,0,N,N,7,87351,8,501,N,2,2,2,2,59,213,28-01100
13,497,30,2,1,1,1,0,2,1,1,N,N,3,146051,5,475,N,2,1,2,2,117,112,38-00100
14,10713,33,2,6,0,6,1,7,1,2,770,12,10,164513,9,501,N,2,2,2,2,18,90,40-00200
15,24663,2,2,1,0,2,2,2,3,2,2290,3,3,32351,6,307,N,2,2,1,1,92,55,51-01301
16,6770,30,2,1,0,2,1,4,1,2,7970,4,4,56818,2,405,N,2,2,2,2,66,72,36-04010
17,26728,53,2,1,0,6,0,2,1,1,5593,1,7,101892,4,501,N,2,2,2,2,68,73,08-00803
18,25868,26,1,4,0,1,N,N,1,1,7460,16,4,176370,3,384,N,1,1,2,2,22,61,06-08507
19,23707,54,1,1,1,1,2,2,1,1,6290,16,10,-9000,6,273,N,2,2,2,2,71,238,06-08507
20,1482,10,2,4,0,2,2,5,1,1,N,3,10,-9000,0,189,N,2,2,1,2,138,213,40-00200
21,10881,27,1,6,1,2,2,N,1,0,7860,11,5,154966,0,501,N,1,2,2,2,132,41,32-00405
22,5800,33,1,6,0,1,2,4,1,0,7870,10,3,-9000,1,214,N,2,2,2,2,92,213,30-00600
23,21916,68,2,2,0,2,2,2,1,2,7860,10,10,N,7,N,N,1,1,2,2,99,45,24-01004
24,26308,74,2,1,0,6,0,5,1,1,6970,12,4,108739,0,164,N,1,2,2,2,103,69,51-01301
25,26289,22,1,1,1,2,2,3,1,2,7390,10,7,-3498,2,409,N,2,2,2,2,19,70,06-08507
26,16478,38,2,6,2,1,2,N,3,2,4971,16,4,117986,N,349,N,2,1,1,2,21,33,51-01301
27,18078,4,1,5,0,3,2,2,1,0,6890,12,5,186001,8,387,N,2,2,2,2,157,13,17-03529
28,23238,14,1,N,0,2,2,3,1,1,8270,16,3,179348,0,501,N,2,2,2,2,29,22,06-08507
29,23553,10,2,1,1,1,2,5,1,1,9290,6,10,N,5,439,N,2,2,2,2,84,39,06-07502
30,7852,38,1,6,0,1,2,2,1,1,4971,14,10,160878,2,501,N,2,2,2,2,36,95,08-00803
31,25887,12,1,6,0,1,0,2,1,1,7860,10,4,97774,0,187,5,2,2,2,2,135,170,30-00600
32,23593,10,1,3,0,1,2,4,1,1,N,11,7,70171,1,179,N,1,1,2,2,146,27,29-01901
33,26456,35,2,6,0,1,2,5,1,2,N,9,11,6416,1,284,N,2,2,1,2,171,73,51-01301
34,5812,77,1,1,0,1,1,N,1,1,8180,4,7,174225,7,N,N,2,2,2,2,35,45,51-51255
35,21601,6,1,6,0,2,5,2,1,1,7860,N,9,77503,8,241,N,2,1,2,2,112,109,17-03529
36,20827,4,2,N,1,1,0,4,1,2,7860,N,11,208327,N,501,N,2,2,2,1,107,143,01-01301
37,2442,74,2,6,0,2,0,2,1,1,N,N,9,-9000,1,291,N,2,1,2,2,91,69,36-03710
38,21130,24,2,1,0,2,2,4,1,1,8191,11,10,94705,2,152,5,2,1,2,2,98,90,36-04010
39,22437,32,1,1,1,1,0,N,1,2,7680,6,10,35295,9,356,5,1,1,2,2,201,17,06-08507
40,5125,29,1,6,0,1,0,4,1,2,770,4,N,170722,9,460,N,2,2,1,2,33,25,24-01004
41,3350,4,2,6,0,2,0,4,3,2,N,N,3,27761,0,367,N,2,2,1,2,12,133,19-01700
42,2990,43,2,1,0,1,0,2,1,2,770,10,3,-3723,4,298,N,2,2,2,2,86,100,08-00803
43,12248,39,2,1,0,2,0,4,1,1,N,N,9,82461,0,451,N,2,1,2,2,120,174,17-03529
44,7066,44,1,N,1,1,0,2,1,1,4971,12,5,55224,2,426,N,2,2,2,2,122,113,13-04600
45,2131,69,1,6,0,1,1,N,1,1,N,N,5,16849,7,301,N,2,2,2,2,35,112,19-01700
46,23684,30,1,6,0,1,1,N,1,2,7380,10,4,N,N,328,N,1,1,2,2,67,99,40-00200
47,11281,66,2,6,0,1,1,5,3,2,8564,N,8,47447,0,128,N,2,2,2,2,117,16,32-00405
48,14312,31,2,N,0,3,0,N,1,1,N,N,8,210733,9,401,5,1,1,2,2,118,129,17-03529
49,19110,56,1,6,0,1,0,2,1,1,7870,12,5,48336,7,399,N,2,2,2,2,43,38,40-00200
50,3638,66,1,1,0,2,N,N,3,1,7690,7,7,176463,4,501,N,2,2,1,2,91,46,36-04010
51,23956,23,1,N,0,1,0,N,1,1,9470,10,11,118748,N,358,5,2,1,1,2,89,86,51-51255
52,14617,35,1,6,1,1,1,4,1,1,7370,13,5,196458,2,378,N,2,2,1,1,81,104,06-07502
53,2547,27,2,N,0,1,0,12,1,0,7370,N,7,102421,8,313,N,2,2,2,1,91,90,28-01100
54,15258,4,2,1,0,1,0,2,3,2,7860,10,1,N,9,411,N,2,2,2,2,61,56,19-01700
55,17683,32,2,6,1,2,N,4,3,2,N,5,5,5786,2,336,N,2,1,2,2,96,47,01-01301
56,19614,48,2,6,1,1,0,2,1,2,7460,11,9,-9000,7,428,N,2,2,2,2,102,30,40-00200
57,14380,32,1,1,1,1,0,2,1,2,6470,0,10,-9000,6,342,N,2,1,1,2,104,108,08-00803
58,12790,54,2,1,0,6,0,5,1,1,5070,16,5,42593,5,269,N,2,2,2,2,129,14,08-00803
59,22064,62,2,6,0,2,0,N,2,2,7071,6,10,38341,3,189,N,1,2,2,2,67,64,30-00600
60,15272,83,1,N,0,2,2,5,3,2,7860,11,11,-9000,0,57,N,1,2,1,2,86,91,36-04010
61,2089,30,1,1,0,2,N,2,1,1,N,N,10,N,N,225,5,1,2,2,1,18,40,51-51255
62,23771,14,1,N,0,6,2,N,3,2,7860,10,5,112438,8,501,N,2,2,2,2,65,56,19-01700
63,5675,13,2,1,0,1,5,5,1,1,7690,16,3,-9000,7,384,N,2,2,2,2,31,82,36-03710
64,6432,20,2,1,0,2,1,6,1,1,N,N,9,N,N,394,N,2,2,2,2,90,26,51-51255
65,8063,29,2,6,0,6,0,N,1,1,7870,N,10,-9000,4,11,N,1,1,2,2,127,74,17-03529
66,13597,32,1,N,0,2,0,4,1,1,5190,9,7,44555,7,217,N,2,2,2,2,88,54,19-01700
67,2742,82,1,N,0,2,0,2,1,2,7290,7,3,-5378,1,0,N,2,2,2,2,79,102,17-03531
68,10455,44,2,1,0,1,4,4,1,2,3990,3,11,-9000,6,391,N,2,2,2,2,29,18,19-01700
69,12370,0,1,6,0,3,2,5,3,1,8561,N,7,N,5,152,N,1,1,2,2,77,80,38-00100
70,6207,41,2,6,1,1,2,4,1,2,7870,10,9,134936,9,164,N,1,2,2,2,77,96,30-00600
71,23640,13,2,6,0,2,1,7,1,1,7390,12,8,N,2,210,N,2,1,2,2,207,113,17-03529
72,20132,17,1,1,0,1,0,4,1,1,7071,10,5,53591,N,428,N,2,2,2,2,103,33,06-08507
73,14603,65,1,3,0,1,0,4,1,2,8191,10,9,29264,6,381,N,2,N,2,2,138,88,28-01100
74,5156,25,1,N,0,6,0,7,1,2,N,N,6,208606,0,501,N,2,2,2,2,93,69,40-00200
75,20744,39,1,6,0,1,2,N,1,1,770,10,7,43005,2,348,N,2,2,2,2,83,40,06-08507
76,4150,56,1,1,1,6,0,N,1,2,5190,5,10,31744,7,416,N,2,2,2,2,101,137,36-03710
77,25556,57,2,6,0,6,0,3,1,1,170,11,8,-9000,7,458,N,2,2,2,2,260,79,40-00200
78,24521,55,1,6,0,1,2,3,1,1,8680,N,5,-9000,7,307,N,2,1,1,2,45,79,06-08507
79,17026,72,2,6,1,6,N,3,1,2,8191,11,3,-9000,0,501,5,1,2,2,2,99,86,06-08507
80,22426,19,2,1,0,1,2,5,1,1,8191,6,7,59119,0,391,N,2,2,1,2,33,73,51-51255
81,9399,50,2,6,0,1,0,2,1,1,7860,N,5,-9000,4,283,N,2,1,2,2,50,138,40-00200
82,5794,68,2,6,0,1,2,N,1,1,570,13,5,71760,1,379,N,2,2,2,1,41,57,17-03529
83,7928,71,2,1,0,2,2,3,1,2,N,N,5,N,N,254,N,2,1,1,2,74,85,08-00803
84,21433,15,2,6,2,8,0,4,1,1,8470,12,10,81743,3,332,N,2,2,2,2,190,78,51-01301
85,23507,41,2,6,0,2,2,2,1,2,7270,11,5,56537,9,501,N,2,1,2,1,77,455,08-00803
86,6626,46,2,1,0,2,2,4,1,1,N,8,10,N,N,501,N,2,2,2,2,89,112,36-04010
87,16023,49,2,2,0,2,0,N,1,0,8090,6,2,59916,5,397,N,2,2,2,2,42,96,36-04010
88,1530,77,2,6,0,1,2,2,3,2,8090,14,10,-9000,4,279,N,2,2,2,2,19,102,36-04010
89,22915,52,2,6,0,1,2,3,1,2,4971,11,10,98703,4,146,N,1,2,2,2,41,72,17-03529
90,23647,89,2,6,0,2,0,2,1,1,7690,N,7,-9000,0,299,N,2,1,2,2,64,61,17-03531
91,22969,21,1,5,0,1,N,2,2,0,7870,10,5,-9000,3,5,N,2,2,2,2,41,58,36-03710
92,13538,69,2,6,0,1,1,N,3,2,7860,N,5,290452,6,501,N,2,2,2,2,13,102,17-03529
93,20537,33,1,N,1,2,2,N,1,0,7860,11,4,106240,4,331,N,2,2,2,2,104,51,06-08507
94,27117,66,2,6,1,6,0,4,1,1,4971,12,3,13967,3,351,N,2,2,2,2,91,102,19-01700
95,24971,54,2,6,0,6,0,N,1,2,8770,12,10,27943,3,231,N,2,2,2,2,120,11,26-02702
96,16292,48,1,6,0,2,2,3,1,2,170,4,4,179879,8,282,N,2,2,2,2,126,153,24-01004
97,20669,63,1,4,0,2,0,4,3,1,N,N,5,-9000,0,124,N,1,1,2,2,66,65,36-04010
98,23822,80,2,1,0,1,2,2,1,2,7860,N,7,84945,8,249,N,2,2,2,2,37,110,19-01700
99,14477,66,2,6,0,2,2,N,3,1,N,10,5,-9000,7,N,N,2,2,2,2,104,39,08-00803
100,936,59,2,4,0,1,2,4,1,2,9920,14,5,126593,3,189,N,2,2,1,2,142,224,08-00803
101,18867,53,2,6,0,1,0,4,1,1,N,N,10,131477,2,501,N,1,2,2,2,73,51,51-51255
102,4387,63,2,N,1,1,0,N,3,2,7870,12,5,73505,N,267,N,2,2,2,2,96,68,06-08507
103,24149,55,1,6,0,8,0,4,1,1,3570,4,10,84268,0,296,N,2,2,2,2,101,122,19-01700
104,25259,77,2,N,1,2,3,4,1,1,6180,15,3,52235,9,117,N,2,2,2,2,46,41,28-01100
105,22350,4,1,1,0,2,0,4,1,0,8191,N,4,69547,4,302,N,2,2,2,2,73,51,08-00803
106,24349,13,2,6,0,2,0,2,1,1,9920,15,9,-9000,2,41,N,2,2,2,2,69,30,36-03710
107,5280,64,2,6,0,1,2,2,1,1,N,10,9,159185,4,412,N,2,2,2,2,88,90,19-01700
108,17779,53,1,6,4,1,0,4,1,0,8680,11,4,-9000,8,330,N,2,1,1,2,154,38,38-00100
109,5161,10,2,N,1,1,1,2,2,2,N,N,10,42039,8,501,N,1,1,2,1,61,145,13-04600
110,12496,18,2,4,0,2,2,5,1,1,8680,10,9,62931,N,501,N,2,2,1,2,19,26,06-07502
111,22963,46,2,N,0,1,2,4,1,1,770,12,7,-9000,3,320,N,2,2,1,2,81,85,51-51255
112,12294,60,1,6,0,2,2,2,1,1,7870,10,10,-9000,8,225,N,1,2,2,2,84,83,51-51255
113,3726,41,2,4,0,2,2,3,1,1,7680,3,3,N,4,308,5,2,1,2,2,120,31,30-00600
114,3854,31,2,N,0,1,2,5,1,2,7860,N,7,-9000,5,298,N,2,2,2,2,35,29,36-04010
115,21284,66,1,N,1,2,0,3,1,2,7860,10,10,118457,8,144,N,2,1,2,2,57,48,51-51255
116,23855,45,2,1,0,1,4,3,1,1,N,10,11,N,9,0,N,1,1,2,2,40,75,40-00200
117,3166,65,2,4,1,1,2,N,1,2,8191,10,7,-9000,5,501,5,2,2,2,2,85,0,51-51255
118,16276,44,2,N,0,1,0,3,1,1,N,N,7,N,2,298,N,1,1,2,2,134,0,06-08507
119,16440,15,1,6,0,6,0,2,1,1,7890,6,7,5823,1,501,N,2,1,2,2,111,37,08-00803
120,21266,47,1,1,0,1,0,9,1,2,N,10,5,149388,0,501,N,2,2,2,2,33,89,30-00600
121,17562,18,2,1,0,1,0,3,1,1,6991,16,7,84086,7,350,N,2,2,2,2,36,69,36-04010
122,25624,9,1,6,0,1,2,N,1,1,7860,12,4,24862,N,406,5,2,2,2,2,21,30,08-00803
123,2663,57,1,6,0,1,0,4,1,1,7390,6,7,44817,8,418,N,2,2,2,2,14,30,40-00200
124,5324,23,2,6,0,1,N,4,1,2,N,11,5,116732,0,251,N,2,2,2,2,57,16,28-01100
125,9617,35,2,1,0,9,0,2,1,1,7071,14,7,64384,8,420,N,2,1,2,2,108,84,36-03710
126,3745,82,1,6,0,1,2,2,1,2,770,12,5,91464,2,0,N,2,2,2,1,222,0,51-01301
127,13654,5,2,N,1,6,0,4,1,1,770,10,3,-9000,3,390,N,2,2,2,2,65,39,51-51255
128,11615,50,1,N,0,1,0,N,3,1,N,N,5,55242,4,221,N,2,2,1,2,214,112,24-01004
129,5459,26,2,6,1,1,0,4,1,0,N,N,5,122841,N,367,N,2,1,2,2,113,45,17-03529
130,19349,52,1,6,0,1,2,2,1,2,N,8,5,128726,3,501,N,2,2,2,2,98,101,40-00200
131,629,53,1,6,0,3,0,6,1,2,8270,4,7,69481,4,413,N,2,2,2,2,85,91,19-01700
132,11758,61,2,1,0,6,0,2,1,1,N,N,7,-9000,9,317,N,2,2,2,2,119,111,36-03710
133,4118,22,2,6,0,2,2,4,1,2,7870,N,5,144078,2,208,5,2,2,2,2,114,151,06-08507
134,22277,53,1,1,0,2,1,N,1,1,7071,9,7,-9000,1,361,N,2,2,2,1,11,82,28-01100
135,26688,49,2,6,1,1,0,2,1,2,170,14,11,200720,2,501,5,2,2,2,2,73,40,19-01700
136,18104,22,2,4,0,1,0,4,1,1,4770,15,4,144518,2,501,N,2,2,2,2,17,282,06-08507
137,16009,54,1,6,0,2,4,3,3,0,N,10,10,120897,3,290,N,2,2,1,2,16,122,30-00600
138,7162,15,2,1,0,2,2,2,1,1,7380,9,7,25059,7,389,N,2,2,2,2,77,56,30-00600
139,15470,66,1,4,0,1,0,4,1,2,7460,4,7,-7243,N,468,N,2,2,2,2,414,219,06-08507
140,26431,57,2,1,0,1,3,2,1,1,6970,12,9,-9000,N,501,N,2,2,2,2,59,50,51-51255
141,6183,53,1,N,0,1,0,2,1,2,9370,6,9,107666,5,501,N,2,2,2,2,84,119,38-00100
142,18434,41,2,1,1,2,2,4,1,2,7460,16,5,126769,2,400,N,2,2,1,2,103,101,36-03710
143,2684,36,2,6,0,2,0,2,1,2,9370,14,8,38829,4,501,N,2,2,2,2,80,41,51-51255
144,4377,38,1,1,1,2,0,N,1,0,8290,11,1,-9000,8,235,N,2,2,2,2,48,79,29-01901
145,11724,64,1,N,0,2,0,2,1,2,7860,10,11,N,5,414,N,1,1,2,2,42,50,38-00100
146,20651,31,2,6,0,1,N,2,1,1,8270,16,10,70191,1,501,N,2,1,2,2,59,44,32-00405
147,10422,24,1,1,0,1,0,6,3,2,3980,2,5,-9000,5,60,N,2,2,2,2,111,92,36-04010
148,27167,34,1,N,0,1,1,2,1,2,6870,6,9,83128,3,392,N,2,2,2,2,17,122,40-00200
149,24791,70,2,6,0,6,0,4,1,1,770,12,7,195833,N,501,N,2,2,2,2,80,75,08-00803
150,14950,7,2,6,0,2,0,4,1,1,N,N,3,125827,2,501,N,2,2,2,2,85,25,28-01100
151,4902,7,1,1,0,2,1,3,1,1,1890,3,10,-9000,2,208,N,2,2,2,2,93,413,13-04600
152,8391,58,1,6,0,2,2,4,1,1,6970,12,1,111526,1,290,N,1,2,2,2,95,94,17-03531
153,7786,33,1,1,0,1,1,2,1,2,9170,12,7,94325,8,488,N,2,2,2,2,50,47,38-00100
154,5262,2,2,6,0,1,0,4,1,1,7870,10,9,65560,2,501,N,2,2,2,2,54,334,24-01004
155,466,82,2,N,0,2,2,N,1,2,9080,3,10,N,N,208,N,1,2,1,2,68,74,13-04600
156,813,78,1,1,0,1,2,N,1,2,8680,N,2,116555,0,315,5,2,2,2,2,66,234,51-51255
157,7550,41,1,1,1,6,2,4,1,2,5275,N,3,27720,N,246,5,2,2,2,2,196,496,26-02702
158,3983,22,2,N,1,1,2,2,3,1,7490,N,3,N,1,153,N,2,2,2,2,68,51,36-03710
