,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,NOC_y,NPF_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,60,2,6,2,2,2,N,10,0,1,10,6,0,4,2,45050.0,7,369,48-02515,1,2,26,2,6,2,2,2,N,1,0,N,54000.0,7,411,69.23076923076923
1,23,2,7,2,2,2,N,3,0,1,N,3,0,5,1,58600.0,7,393,48-02516,1,1,62,2,5,2,2,2,N,1,0,3,4000.0,2,30,53.84615384615385
2,38,2,1,2,2,2,N,4,0,1,3,1,0,2,1,34000.0,0,241,48-02102,1,2,18,2,2,2,2,2,N,1,1,3,30000.0,5,165,46.15384615384615
3,14,2,5,2,2,2,N,7,0,1,14,1,1,4,2,95000.0,3,497,48-02102,1,2,20,2,2,2,2,2,N,1,0,2,29500.0,5,264,46.15384615384615
4,74,2,7,2,2,2,N,9,0,1,7,6,0,2,1,55000.0,6,226,48-02510,1,2,32,2,7,2,2,2,N,1,0,N,70000.0,8,501,61.53846153846154
5,70,2,8,2,2,2,N,9,0,1,15,4,0,3,1,0.0,9,501,48-02510,1,1,42,2,7,2,2,2,N,1,0,4,32000.0,5,365,53.84615384615385
6,61,2,4,2,2,2,N,9,0,1,16,1,3,2,1,19000.0,2,257,48-02102,1,2,34,2,2,2,2,2,N,1,2,4,79000.0,8,501,46.15384615384615
7,79,2,2,2,2,2,N,9,0,1,10,1,0,2,2,8200.0,1,281,48-02102,1,2,45,2,2,2,2,2,N,1,0,2,72000.0,8,501,69.23076923076923
8,29,2,6,2,2,2,N,12,0,1,N,1,0,2,1,42000.0,6,443,48-02102,1,1,62,2,2,2,2,2,N,1,0,2,20000.0,4,118,61.53846153846154
9,39,2,4,2,2,2,N,10,0,1,7,1,0,4,1,26600.0,1,76,48-02516,1,2,32,2,5,2,2,2,N,1,0,2,87000.0,8,501,53.84615384615385
10,61,2,2,2,2,2,N,7,0,1,16,4,0,2,1,50000.0,2,501,48-02102,1,1,53,2,2,2,2,2,N,1,0,N,115000.0,9,501,69.23076923076923
