PUMA,SEX,MSP,HISP,RAC1P,HOUSING_TYPE,OWN_RENT,INDP_CAT,DREM,DPHY,DEYE,DEAR,AGEP,NOC,NPF,EDU,PINCP_DECILE,DVET,POVPIP,PINCP,DENSITY
38-00100,2,1,0,3,1,1,10,2,1,2,2,44,3,7,10,6,N,256,19842.682224,72.99999999999496
01-01301,2,4,1,2,3,0,15,2,2,2,2,41,N,N,4,3,N,420,8560.143520000001,2731.1999999999957
38-00100,1,6,0,1,1,2,14,2,2,2,2,34,1,4,4,0,N,150,-24.180993599999056,72.99999999999496
38-00100,1,1,0,1,1,1,10,2,2,2,2,73,0,5,3,5,N,244,92832.95271999999,72.99999999999496
08-00803,1,6,0,1,1,2,N,2,2,2,2,32,0,2,10,0,N,501,10595.25896,3393.199999999999
06-08507,2,1,0,6,1,1,16,2,2,2,2,59,1,3,9,6,N,501,34632.156800000004,3305.099999999997
36-04010,1,N,0,2,1,1,N,1,2,2,1,14,3,7,2,N,N,501,N,50441.59999999999
19-01700,1,6,0,1,1,2,4,2,2,2,2,17,2,N,9,8,N,501,76153.922576,3572.2999999999975
38-00100,1,1,0,1,1,1,2,2,2,2,2,70,0,N,6,2,N,13,2.1796224000008806,72.99999999999496
17-03531,2,6,0,2,1,2,N,2,2,2,2,30,0,N,8,4,N,88,9740.321832000001,11171.599999999997
26-02702,2,5,0,9,1,2,0,2,2,2,2,15,2,7,5,6,N,481,7.096235999999408,4817.2
29-01901,1,6,0,1,1,1,8,2,2,2,2,29,1,N,12,0,N,501,10337.715568,5434.8
17-03531,2,6,0,2,1,1,13,2,2,2,2,28,0,N,5,0,N,73,13999.95476,11171.599999999997
29-01901,2,4,0,2,1,1,11,2,2,2,2,38,0,2,7,0,N,149,15611.916248000001,5434.8
24-01004,2,3,1,3,1,1,14,2,2,2,1,51,0,2,9,1,2,329,15833.82852,4187.899999999999
30-00600,2,1,0,2,1,1,12,2,2,2,2,66,1,3,7,5,N,417,29054.324735999995,16.3
24-01004,2,2,0,1,1,1,6,2,2,2,2,65,2,4,11,3,N,501,468612.1176,4187.899999999999
17-03531,1,4,0,2,1,1,11,1,2,2,2,64,0,6,9,7,N,163,156.0257672000007,11171.599999999997
06-08507,1,1,0,1,1,1,4,2,2,2,2,66,0,3,4,3,N,5,46140.471488,3305.099999999997
36-04010,2,1,0,2,1,2,7,2,2,2,2,73,0,2,8,8,1,421,-8880.89601416,50441.59999999999
32-00405,1,4,0,1,1,1,16,2,2,2,2,57,2,N,7,8,N,476,652.7001999999993,7990.499999999998
29-01901,1,6,0,2,1,2,4,2,2,2,2,19,0,N,5,2,N,418,27143.895504,5434.8
06-08507,2,6,0,1,1,2,N,2,2,2,2,41,2,4,9,6,N,284,778.9368360000008,3305.099999999997
29-01901,2,6,0,2,1,1,N,1,1,2,2,59,0,N,4,0,N,247,35796.24032,5434.8
19-01700,1,1,0,1,1,1,N,2,2,2,2,64,0,2,7,9,N,501,84802.14984000001,3572.2999999999975
28-01100,1,6,0,2,1,2,6,2,2,2,2,26,0,N,5,5,N,112,24710.129688,2674.299999999996
29-01901,1,6,0,2,1,1,17,2,2,2,2,41,0,N,10,9,N,501,259322.81448,5434.8
08-00803,1,6,0,1,1,1,16,2,2,2,2,56,0,N,7,3,N,311,43130.67992,3393.199999999999
28-01100,2,2,4,7,3,0,9,1,2,2,1,67,N,N,9,6,2,230,470525.29632,2674.299999999996
51-51255,1,3,0,2,1,2,10,2,2,2,2,31,0,2,4,6,N,501,76112.80584,11224.3
32-00405,2,1,0,2,1,1,1,2,2,2,2,31,0,3,9,9,N,250,674.4743280000002,7990.499999999998
36-03710,2,4,2,3,1,1,12,2,2,2,2,42,3,6,9,5,N,207,75.25240959999974,52864.7
38-00100,2,1,0,1,1,1,N,2,2,2,2,28,0,4,9,5,N,501,19774.985768,72.99999999999496
51-01301,2,4,0,1,1,1,16,2,2,2,2,17,0,2,4,2,N,52,51.98115999999936,11162.799999999997
51-01301,1,1,0,6,1,1,10,2,2,2,2,40,0,4,2,8,N,501,121796.31048,11162.799999999997
38-00100,2,N,0,1,1,1,N,2,2,2,2,8,0,2,3,N,N,501,N,72.99999999999496
30-00600,1,6,0,1,1,1,N,2,1,2,2,76,4,N,7,7,N,501,19467.056472,16.3
13-04600,2,4,0,2,1,1,9,2,2,2,2,67,0,2,5,0,N,1,4.948081599999568,3670.3999999999983
38-00100,1,N,1,8,1,2,N,2,2,2,2,5,0,3,5,N,N,200,N,72.99999999999496
06-08507,2,6,0,7,2,0,5,1,1,2,1,90,N,N,8,5,3,164,6273.210784000001,3305.099999999997
19-01700,2,6,0,1,1,1,14,2,2,2,2,59,1,5,5,0,N,299,1007.5784064,3572.2999999999975
40-00200,2,6,0,1,1,1,16,2,2,2,2,23,0,2,5,4,N,158,-3399.9479848,90.69999999999706
13-04600,2,6,0,2,1,2,14,2,2,2,2,19,0,3,3,0,N,42,11986.83656,3670.3999999999983
17-03529,2,6,0,2,1,2,15,2,2,2,2,59,2,5,8,7,N,196,14661.18792,15097.5
17-03529,2,6,0,2,1,2,7,2,2,2,2,68,2,N,9,1,N,57,39195.124520000005,15097.5
26-02702,1,6,0,6,1,2,11,2,2,2,2,15,0,3,5,2,N,14,39230.48176,4817.2
29-01901,2,6,0,2,1,2,18,2,2,2,2,52,0,3,7,6,N,56,15870.976000000002,5434.8
36-03710,2,3,0,2,1,2,11,2,2,2,2,16,0,6,5,2,N,2,31104.319208,52864.7
38-00100,2,6,0,1,1,2,14,2,2,2,2,38,0,2,4,7,N,132,7360.961944000001,72.99999999999496
24-01004,2,1,0,1,1,1,10,2,2,2,2,33,0,2,9,8,N,501,89806.05768,4187.899999999999
28-01100,1,4,0,2,1,1,8,2,1,2,2,40,1,4,1,7,N,444,65456.86984,2674.299999999996
28-01100,2,1,0,2,1,1,N,2,2,2,2,19,2,3,4,4,N,146,12365.080871999999,2674.299999999996
17-03529,2,N,1,2,1,1,N,2,N,2,2,7,0,2,4,N,N,N,N,15097.5
19-01700,2,2,0,1,1,1,14,2,2,2,2,46,0,3,4,0,N,285,28179.3436,3572.2999999999975
06-08507,1,1,0,6,1,2,4,2,2,2,2,58,0,2,9,7,N,471,181726.47824000003,3305.099999999997
01-01301,2,1,0,1,1,1,12,2,2,2,2,22,0,3,9,3,N,217,540508.9843199999,2731.1999999999957
24-01004,2,1,0,1,1,2,4,2,2,2,2,61,2,3,2,0,N,154,618.7786255999999,4187.899999999999
28-01100,1,6,2,8,1,2,10,2,2,2,2,23,0,N,11,8,N,159,494808.21856,2674.299999999996
06-08507,1,1,0,1,1,1,1,2,2,2,2,47,0,2,9,0,N,398,36551.00016,3305.099999999997
08-00803,1,4,0,1,1,2,6,2,2,2,2,84,4,N,7,9,N,501,18195.645392000002,3393.199999999999
19-01700,2,1,0,1,1,1,N,2,2,2,2,75,2,6,9,9,N,501,256.5342495999994,3572.2999999999975
29-01901,1,6,0,8,1,1,N,2,2,1,2,26,6,N,5,0,N,382,44563.62676,5434.8
08-00803,2,6,0,1,1,2,6,2,2,2,2,20,0,N,7,1,N,279,11196.866440000002,3393.199999999999
08-00803,1,N,0,6,1,2,N,2,2,2,2,8,1,5,4,N,N,98,N,3393.199999999999
29-01901,1,3,0,5,1,2,9,2,2,2,2,44,7,9,2,9,N,464,187119.2556,5434.8
06-07502,1,N,0,5,2,0,N,2,N,2,2,12,N,N,2,N,N,501,N,33632.6
36-03710,2,6,0,2,1,2,13,1,1,2,2,26,1,3,7,3,N,360,31.28785600000083,52864.7
13-04600,2,6,0,2,3,0,N,2,2,2,2,25,N,N,8,2,N,37,13668.681536000004,3670.3999999999983
24-01004,1,N,4,1,1,1,N,N,N,2,2,1,2,4,N,N,N,38,N,4187.899999999999
28-01100,1,6,0,2,1,2,16,2,2,2,2,53,1,N,7,0,N,486,14803.12456,2674.299999999996
51-01301,1,1,0,1,1,1,N,2,2,2,2,66,1,4,3,6,N,501,382498.76800000004,11162.799999999997
38-00100,2,1,0,1,1,1,5,2,2,2,2,39,0,2,5,5,N,501,47421.020807999994,72.99999999999496
51-51255,2,6,0,2,1,2,14,2,2,2,2,40,0,N,5,8,N,309,63453.799696,11224.3
30-00600,1,6,0,2,1,1,18,2,2,2,2,23,0,2,7,0,N,261,-2382.2529240000003,16.3
06-07502,1,2,0,2,1,2,7,2,2,2,2,45,3,4,2,1,N,221,1059199.50808,33632.6
51-01301,1,6,4,7,1,1,13,1,2,2,2,23,0,N,10,3,N,189,67239.59484,11162.799999999997
26-02702,2,6,0,2,1,1,11,2,2,2,2,48,0,N,10,3,N,371,-9.621799999998984,4817.2
19-01700,2,1,0,1,1,2,4,2,2,2,2,22,2,3,9,3,N,274,4499.040192,3572.2999999999975
24-01004,2,1,0,2,1,1,N,2,2,2,2,48,0,2,5,9,N,501,680383.7488,4187.899999999999
28-01100,2,6,4,9,1,2,N,1,1,2,2,33,1,8,10,3,N,96,73497.788912,2674.299999999996
32-00405,2,N,1,3,1,2,N,2,2,2,2,11,0,5,3,N,N,297,N,7990.499999999998
01-01301,1,1,0,2,1,2,18,2,2,2,2,36,0,2,9,1,N,121,33535.865928,2731.1999999999957
24-01004,1,N,0,1,1,1,N,2,2,2,2,14,0,3,2,N,N,501,N,4187.899999999999
32-00405,2,N,1,1,1,2,N,2,2,2,2,14,1,2,1,N,N,5,N,7990.499999999998
51-01301,2,1,0,1,1,1,13,2,2,2,2,30,0,5,10,5,N,501,72221.9864,11162.799999999997
08-00803,1,1,0,1,1,1,N,2,2,2,2,37,1,2,5,7,N,501,253625.61615999998,3393.199999999999
17-03529,1,6,0,1,1,1,N,2,2,2,2,71,0,N,10,0,N,501,19638.821984000002,15097.5
08-00803,1,6,0,1,1,1,N,2,2,2,2,34,0,N,9,9,N,199,-8.194283999999243,3393.199999999999
19-01700,2,1,0,1,1,1,N,2,2,2,2,20,0,2,12,0,N,65,59499.771424000006,3572.2999999999975
17-03529,2,4,0,1,1,1,12,1,1,2,2,73,0,N,12,0,N,147,19849.398296,15097.5
06-07502,1,1,0,1,1,2,8,2,2,2,2,94,0,N,10,7,N,501,38936.246464,33632.6
30-00600,1,N,0,8,1,1,N,N,N,2,2,10,0,3,5,N,N,257,N,16.3
24-01004,1,1,0,1,1,2,14,2,2,2,2,71,0,3,9,8,N,501,413962.14248,4187.899999999999
38-00100,2,6,3,6,1,2,12,2,1,2,1,87,0,N,8,4,3,481,46392.74436,72.99999999999496
17-03531,2,1,0,2,1,1,8,2,2,2,2,27,2,5,5,4,N,206,31375.356200000002,11171.599999999997
13-04600,2,1,0,2,1,2,N,2,2,2,2,76,0,2,5,2,N,107,8222.007264,3670.3999999999983
51-01301,1,6,0,4,1,2,10,1,2,2,1,20,5,N,12,5,4,423,374217.51856,11162.799999999997
24-01004,1,1,0,1,1,1,4,2,2,2,1,53,1,2,9,4,6,238,78460.29143999999,4187.899999999999
06-07502,2,6,0,1,1,2,6,2,2,2,2,20,1,N,5,1,N,77,5271.193416,33632.6
36-03710,2,4,0,2,1,2,7,2,2,2,2,51,2,4,3,4,N,74,-1.1956480000008014,52864.7
17-03529,1,N,0,2,1,2,N,2,2,2,2,12,0,3,3,N,N,81,N,15097.5
51-01301,2,N,0,1,1,1,N,2,N,2,2,8,2,3,10,N,N,501,N,11162.799999999997
26-02702,2,4,1,6,1,2,15,2,2,1,2,56,7,N,2,2,N,64,127692.09184000001,4817.2
08-00803,1,4,0,6,1,1,N,2,2,2,2,31,0,N,9,3,N,501,702.2764879999995,3393.199999999999
19-01700,2,6,0,1,1,1,11,2,2,2,2,59,3,5,3,0,N,188,-5.7188095999990765,3572.2999999999975
51-01301,2,1,0,1,1,1,6,2,2,2,2,21,3,4,11,9,N,501,152944.14848,11162.799999999997
13-04600,2,6,0,2,1,1,13,2,2,2,2,73,0,4,4,0,N,236,11883.020008,3670.3999999999983
38-00100,2,1,0,1,1,1,N,2,2,2,2,39,0,2,9,9,N,501,92031.09887999999,72.99999999999496
32-00405,2,6,0,1,1,2,6,2,2,2,2,18,0,2,4,2,N,171,1823.909944000001,7990.499999999998
06-08507,2,6,4,6,1,2,6,2,2,2,2,78,4,N,11,4,N,501,8573.572324,3305.099999999997
17-03529,2,1,0,6,1,1,4,2,2,2,2,27,0,2,7,8,N,501,16490.775792,15097.5
38-00100,1,1,0,1,1,1,1,2,2,2,2,62,0,3,6,0,N,343,41547.11511200001,72.99999999999496
51-51255,1,1,0,1,1,1,4,2,2,2,2,29,0,2,10,8,N,501,78028.94380000001,11224.3
51-01301,1,1,0,1,1,2,9,2,2,2,2,21,0,2,7,9,N,501,2859.444880000001,11162.799999999997
19-01700,2,1,0,1,1,1,4,2,2,2,2,60,0,4,10,5,N,501,9643.453816000001,3572.2999999999975
32-00405,1,N,1,1,1,1,N,N,2,2,2,10,2,6,3,N,N,154,N,7990.499999999998
51-01301,1,1,0,1,1,1,10,2,2,2,2,49,0,3,10,8,N,501,85558.2724,11162.799999999997
26-02702,1,6,0,9,1,2,10,2,2,2,2,19,0,2,10,5,N,19,72822.57183999999,4817.2
26-02702,2,4,0,1,1,1,16,2,2,2,2,19,0,N,9,3,N,88,53127.356032,4817.2
36-03710,2,3,1,8,1,2,0,2,2,2,2,73,0,2,5,0,N,195,155.365783199999,52864.7
28-01100,2,6,0,2,1,2,N,1,2,2,2,57,3,N,6,2,N,89,1528.687344,2674.299999999996
36-03710,1,3,0,2,1,2,12,2,2,2,2,44,0,3,1,9,N,501,268276.23224000004,52864.7
29-01901,2,4,0,2,1,2,14,2,2,2,2,39,0,3,4,0,N,326,7303.5834159999995,5434.8
17-03529,1,6,0,1,1,1,15,2,2,2,2,48,0,N,9,9,N,501,-6.722680000000764,15097.5
17-03531,1,1,0,2,1,1,11,2,2,2,2,62,0,5,3,6,N,204,1780.5600840000006,11171.599999999997
51-01301,2,6,0,1,1,1,8,2,2,2,2,32,0,N,7,4,N,501,588.3050000000003,11162.799999999997
36-04010,2,1,2,1,1,1,N,2,1,2,2,61,1,4,7,7,N,501,202627.57032,50441.59999999999
29-01901,2,3,0,5,1,1,12,2,1,2,2,19,2,4,6,0,N,281,17005.953424,5434.8
38-00100,1,1,0,1,1,1,N,2,2,2,2,63,0,2,7,3,N,501,75295.8552,72.99999999999496
30-00600,1,1,0,1,1,1,N,2,2,2,2,77,2,3,5,5,N,1,20633.451272000002,16.3
51-51255,2,1,0,1,1,2,10,2,2,2,2,30,0,2,10,8,N,500,84674.14768000001,11224.3
26-02702,1,2,1,9,1,2,N,2,2,2,2,25,4,5,3,1,N,169,17724.88976,4817.2
51-51255,1,1,0,1,1,2,3,2,2,2,2,57,0,N,8,8,N,501,132731.48384,11224.3
01-01301,1,1,3,1,2,0,2,1,1,1,1,67,N,N,9,9,5,501,127217.98551999999,2731.1999999999957
51-51255,2,3,0,6,1,1,4,2,2,2,2,38,0,4,3,9,N,501,87229.21428,11224.3
