PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
36-03710,19,1,1,0,1,0,2,1,1,537.157447396,5295,6,6,-4878.8947744,2,394,N,2,2,2,2,8,81
32-00405,42,2,6,0,1,0,N,1,1,7690.568895876,8191,12,9,-5.574521599999571,9,501,N,2,2,2,2,61,45
08-00803,45,2,3,0,1,0,N,1,2,161.86148964544,7480,10,5,17826.094432,3,199,N,2,2,2,2,249,307
08-00803,66,2,1,0,1,0,2,1,1,3068.856085766,9160,15,10,4.487696000000142,0,501,N,2,2,2,2,126,76
36-03710,4,1,N,4,1,0,3,1,1,3956.4642534319996,N,N,5,N,N,23,N,N,N,2,2,2,19
08-00803,66,2,1,0,1,0,2,1,1,4021.5000229559996,7460,10,9,69385.249584,8,501,N,2,2,2,2,62,53
24-01004,41,1,1,0,1,3,5,1,1,4111.684232103999,6470,8,11,36928.48696,9,501,N,2,2,2,2,12,24
17-03529,56,2,4,0,2,0,N,1,2,14966.166373639999,N,N,7,18949.80804,3,73,N,2,2,2,2,74,73
36-04010,21,2,6,0,2,4,N,1,2,14657.891086759997,9290,15,5,-5.138183999999455,2,168,N,2,2,2,2,227,105
08-00803,38,2,6,0,1,0,2,1,2,14447.880529387996,9380,16,7,24405.913136000003,3,441,N,2,2,2,2,71,81
28-01100,25,1,6,0,2,0,N,1,1,4088.29300178,N,N,9,11329.695568,2,263,N,2,2,2,2,99,84
19-01700,46,1,6,0,2,N,N,2,0,2921.2586960679996,3990,4,5,26.347327999999834,2,447,N,1,1,2,2,93,183
51-51255,53,1,6,0,1,0,N,1,1,793.5831161875999,6290,7,9,112102.93576,9,501,N,2,2,2,2,46,48
06-08507,46,1,1,0,1,0,2,1,1,11572.155982747998,N,N,12,278720.06487999996,9,501,N,2,2,2,2,96,104
