PUMA,SEX,MSP,HISP,RAC1P,HOUSING_TYPE,OWN_RENT,INDP_CAT,DREM,DPHY,DEYE,DEAR,AGEP,NOC,NPF,EDU,PINCP_DECILE,DVET,POVPIP,PINCP,DENSITY
06-08507,2,N,0,6,1,1,N,2,2,2,2,12,3,5,3,N,N,501,N,3305.099999999997
38-00100,2,1,0,1,1,1,N,2,2,2,2,22,0,2,6,3,N,501,28010.093776,72.99999999999496
01-01301,1,6,0,2,1,2,6,2,2,2,2,34,1,2,4,0,N,97,-0.6331920000011451,2731.1999999999957
38-00100,1,1,0,1,1,1,4,2,2,2,2,73,1,2,5,5,N,266,9576.108728,72.99999999999496
08-00803,1,6,0,1,1,2,N,2,2,2,2,23,0,N,7,1,N,N,2280.426488000001,3393.199999999999
06-08507,2,1,0,1,1,1,N,2,2,2,2,55,0,5,9,0,N,501,79999.63064,3305.099999999997
36-04010,1,N,0,2,1,1,N,2,2,2,2,12,2,5,3,N,N,196,N,50441.59999999999
19-01700,1,6,0,1,1,2,4,1,1,2,2,34,0,N,5,4,N,201,24007.940112000004,3572.2999999999975
38-00100,1,1,0,1,1,1,4,2,2,2,2,48,3,5,5,2,N,126,16473.876728,72.99999999999496
19-01700,2,6,0,2,1,2,10,2,2,2,2,30,0,N,8,0,N,0,23357.476448,3572.2999999999975
40-00200,2,1,0,3,1,2,10,2,2,2,2,42,2,3,6,6,N,481,16997.636824,90.69999999999706
30-00600,1,6,0,3,1,1,N,2,2,2,1,47,0,N,6,0,N,0,40002.132648,16.3
17-03531,2,6,0,2,1,1,7,2,2,2,2,64,0,N,5,6,N,501,66719.942944,11171.599999999997
17-03531,2,6,0,2,1,1,11,2,2,2,2,21,0,4,7,3,N,296,-0.16385520000039833,11171.599999999997
24-01004,2,1,1,1,1,2,N,2,2,2,2,83,0,2,9,0,N,177,4005.2278719999995,4187.899999999999
28-01100,2,1,0,2,1,1,12,2,2,2,2,66,0,3,10,8,N,501,44835.78332,2674.299999999996
24-01004,1,2,0,1,1,1,6,2,2,2,2,65,2,4,3,1,N,501,99995.18192,4187.899999999999
28-01100,2,6,0,1,1,1,N,2,2,2,2,70,0,N,9,3,N,73,5938.604240000001,2674.299999999996
06-08507,2,N,0,1,1,1,N,N,N,2,2,4,2,4,1,N,N,501,N,3305.099999999997
36-04010,2,1,0,2,1,2,7,2,2,2,2,73,0,2,7,8,N,236,95706.42152,50441.59999999999
32-00405,2,N,1,8,1,1,N,2,2,2,2,5,3,5,1,N,N,283,N,7990.499999999998
29-01901,1,6,0,2,1,2,10,2,2,2,2,19,0,N,5,2,N,60,7552.213015999998,5434.8
26-02702,1,6,0,2,1,2,3,2,2,2,2,29,0,N,8,6,N,284,34996.960952,4817.2
36-04010,2,4,0,2,1,1,12,2,2,2,2,59,0,3,8,8,N,501,79984.32007999999,50441.59999999999
19-01700,1,N,0,1,1,1,N,2,2,2,2,13,2,3,3,N,N,501,N,3572.2999999999975
28-01100,1,6,0,2,1,2,10,2,2,2,2,23,0,N,5,5,N,118,0.2833040000004985,2674.299999999996
24-01004,2,1,0,1,1,1,15,2,2,2,2,41,2,4,10,7,N,501,100000.29879999999,4187.899999999999
30-00600,1,1,0,1,1,1,16,2,2,2,2,41,2,4,5,7,N,344,43130.67992,16.3
26-02702,1,1,0,1,1,1,11,2,2,2,2,67,0,2,12,9,N,501,369123.19023999997,4817.2
51-51255,1,2,0,2,1,2,16,1,2,2,2,31,1,2,8,3,N,501,59032.21952,11224.3
32-00405,2,4,1,1,1,1,6,2,2,2,2,69,0,3,5,7,N,173,59535.954312,7990.499999999998
24-01004,2,3,0,1,1,1,12,2,2,2,2,71,0,N,9,5,N,501,43861.931504,4187.899999999999
38-00100,2,1,0,1,1,1,11,2,2,2,2,28,2,4,9,5,N,341,49185.33839999999,72.99999999999496
30-00600,1,N,0,1,1,2,N,2,2,2,2,9,4,5,3,N,N,356,N,16.3
51-01301,1,1,0,1,1,1,8,2,2,2,2,71,0,2,10,9,N,501,131365.23679999998,11162.799999999997
38-00100,1,N,0,1,1,1,N,2,2,2,2,13,1,3,3,N,N,501,N,72.99999999999496
30-00600,1,6,0,1,1,2,N,2,2,2,2,24,0,N,7,0,N,0,8390.626496,16.3
13-04600,2,1,0,2,1,1,N,2,2,2,2,72,0,2,5,4,N,146,11170.660800000001,3670.3999999999983
51-51255,1,1,0,1,1,1,10,2,2,2,2,28,0,2,9,9,N,501,78057.64776,11224.3
06-08507,1,6,0,1,1,1,N,2,2,2,2,76,0,N,7,8,N,501,113895.12632,3305.099999999997
19-01700,2,4,0,1,1,1,11,2,2,2,2,42,2,5,5,5,N,299,27495.475928,3572.2999999999975
38-00100,1,6,0,1,1,1,3,2,2,2,2,17,0,3,5,4,N,501,28753.727408,72.99999999999496
13-04600,2,4,0,2,1,2,10,2,2,2,2,51,0,N,10,9,N,501,150998.43816,3670.3999999999983
17-03529,1,6,0,2,1,2,15,2,2,2,2,59,0,2,4,8,N,501,74717.61436,15097.5
17-03529,2,6,0,2,1,2,12,2,2,2,2,38,0,N,9,5,N,331,-0.4015295999997761,15097.5
26-02702,2,6,0,2,1,2,16,1,2,2,2,44,0,N,7,2,N,14,8961.218735999999,4817.2
29-01901,2,6,0,2,1,2,12,2,2,2,2,27,1,3,4,5,N,179,14401.303856000002,5434.8
06-08507,2,6,0,1,1,2,N,2,2,2,2,15,2,5,6,0,N,501,18545.248536,3305.099999999997
36-03710,2,6,0,2,1,2,N,2,2,2,2,66,0,2,4,2,N,103,708.4608320000007,52864.7
30-00600,2,N,0,1,1,1,N,N,N,2,2,1,2,4,N,N,N,501,N,16.3
28-01100,2,4,0,1,1,1,11,2,2,2,2,65,0,N,11,9,N,501,126115.79888000002,2674.299999999996
28-01100,2,1,0,2,1,1,15,2,2,2,2,65,0,4,5,4,N,143,23959.046519999996,2674.299999999996
17-03529,1,N,0,9,1,2,N,2,2,2,2,7,3,4,3,N,N,340,N,15097.5
19-01700,2,1,0,1,1,1,14,2,2,2,2,40,2,3,9,9,N,501,341005.60063999996,3572.2999999999975
24-01004,1,1,0,1,1,1,9,2,2,2,2,58,0,2,9,9,N,501,181726.47824000003,4187.899999999999
08-00803,2,6,0,1,3,0,6,2,2,2,2,20,N,N,9,0,N,N,-0.030656000000817585,3393.199999999999
24-01004,2,N,0,6,1,2,N,2,2,2,2,10,2,4,3,N,N,129,N,4187.899999999999
06-07502,1,6,0,1,1,2,10,2,2,2,2,37,0,N,11,9,N,501,130523.22279999999,33632.6
30-00600,1,1,0,1,1,1,N,2,2,2,2,79,0,2,5,6,N,428,54982.513607999994,16.3
17-03529,1,6,3,2,2,0,6,1,1,2,1,39,N,N,4,1,N,91,18195.645392000002,15097.5
19-01700,1,4,0,1,1,2,12,2,2,2,2,59,0,N,9,9,N,501,328351.66328000004,3572.2999999999975
29-01901,1,6,0,2,1,2,12,2,2,2,2,26,0,N,7,6,N,399,73532.344552,5434.8
28-01100,2,2,0,1,1,1,7,2,2,2,2,58,0,N,7,8,N,501,89863.34536,2674.299999999996
32-00405,1,N,0,1,1,2,N,2,2,2,2,13,3,5,3,N,N,98,N,7990.499999999998
29-01901,1,1,0,1,1,1,11,2,2,2,2,57,0,2,10,9,N,501,187119.2556,5434.8
51-51255,1,N,0,1,2,0,N,2,2,2,2,12,N,N,3,N,N,N,N,11224.3
30-00600,2,6,0,1,1,2,12,2,2,2,2,26,1,3,7,3,N,190,12822.326871999998,16.3
29-01901,2,6,0,2,2,0,18,2,1,2,2,64,N,N,7,0,N,91,15295.686384,5434.8
19-01700,1,N,0,9,1,1,N,N,N,2,2,1,2,4,N,N,N,64,N,3572.2999999999975
28-01100,1,6,0,2,1,2,11,2,2,2,2,20,1,3,7,3,N,213,5951.560768000001,2674.299999999996
06-08507,1,1,0,1,1,1,14,2,2,2,2,66,2,4,12,9,N,501,336517.9232,3305.099999999997
38-00100,1,1,0,1,1,1,5,2,2,2,1,72,0,2,4,5,N,438,47421.020807999994,72.99999999999496
51-51255,2,6,0,1,1,1,14,2,2,2,2,40,0,N,10,8,N,501,80041.268416,11224.3
28-01100,1,6,0,2,1,1,14,2,2,2,2,21,0,7,7,1,N,152,5922.210184000001,2674.299999999996
06-07502,1,1,0,6,1,2,14,2,2,1,2,64,1,4,2,2,N,354,1059199.50808,33632.6
51-51255,1,6,4,1,1,2,14,2,2,2,2,23,0,N,5,7,N,417,58683.699872,11224.3
26-02702,2,1,0,1,1,1,12,2,2,2,2,80,0,2,10,9,N,501,328735.456,4817.2
19-01700,2,1,0,1,1,2,12,2,2,2,2,49,1,3,9,3,N,177,4499.040192,3572.2999999999975
24-01004,2,1,0,2,1,1,10,2,2,2,2,48,3,5,11,9,N,501,680383.7488,4187.899999999999
28-01100,2,3,0,2,1,2,N,1,1,2,2,63,0,N,10,3,N,96,546.0152560000006,2674.299999999996
32-00405,2,N,1,1,1,2,N,2,2,2,2,12,3,5,3,N,N,114,N,7990.499999999998
01-01301,2,6,0,2,1,2,14,1,2,2,2,42,0,2,4,1,N,157,6739.780728,2731.1999999999957
24-01004,1,N,0,2,1,1,N,2,2,2,2,13,1,3,3,N,N,501,N,4187.899999999999
32-00405,2,1,0,1,1,1,N,1,1,2,2,64,0,2,7,2,N,498,31488.001040000003,7990.499999999998
36-04010,2,6,0,2,1,1,11,2,2,2,2,30,0,5,9,5,N,501,63439.650120000006,50441.59999999999
08-00803,2,1,0,1,1,1,N,2,2,2,2,82,0,2,5,4,N,501,1645.7156000000014,3393.199999999999
06-08507,1,1,0,6,1,1,4,2,2,2,2,49,0,2,10,9,N,501,543779.8196,3305.099999999997
06-07502,1,6,0,6,1,2,10,2,2,2,2,34,0,N,9,9,N,501,208151.40928000002,33632.6
19-01700,2,1,1,1,1,1,13,2,2,2,2,55,0,3,7,0,N,279,30003.680992,3572.2999999999975
17-03531,2,1,0,2,1,1,17,2,2,2,2,73,0,7,4,1,N,142,24994.15928,11171.599999999997
06-07502,1,1,0,1,1,2,8,2,2,2,2,29,0,2,10,7,N,501,42264.273232,33632.6
32-00405,2,N,4,8,1,1,N,2,2,2,2,14,2,5,3,N,N,N,N,7990.499999999998
24-01004,1,1,0,1,1,1,10,2,2,2,2,55,0,3,12,8,N,501,110878.64540000001,4187.899999999999
36-03710,1,4,0,6,1,2,14,2,2,2,2,68,0,N,1,5,N,284,-0.31575840000004973,52864.7
19-01700,2,2,0,6,1,1,14,2,2,2,2,42,2,5,4,0,N,484,13850.217216000001,3572.2999999999975
13-04600,2,4,0,2,1,2,12,2,2,2,2,22,0,2,10,2,N,96,11000.662816,3670.3999999999983
51-01301,1,6,0,1,1,2,10,1,2,2,2,30,0,N,9,8,N,501,83359.7508,11162.799999999997
26-02702,1,1,0,1,1,1,4,1,2,2,2,53,0,4,7,4,N,433,4974.453119999998,4817.2
26-02702,2,6,0,1,3,0,0,2,2,2,2,20,N,N,7,1,N,N,13748.769391999998,4817.2
51-51255,2,6,0,2,1,2,7,2,2,2,2,31,0,N,7,8,N,501,95703.17504,11224.3
36-04010,1,6,0,2,1,1,N,2,2,2,2,31,0,4,3,0,N,0,15983.01296,50441.59999999999
51-51255,2,N,0,1,1,2,N,N,N,2,2,3,1,3,1,N,N,N,N,11224.3
32-00405,2,4,0,6,1,1,7,2,2,2,2,38,0,2,7,9,N,501,127692.09184000001,7990.499999999998
51-01301,1,6,0,6,1,2,3,2,2,2,2,22,0,N,7,3,N,107,60001.95512,11162.799999999997
17-03529,1,6,0,6,1,1,13,2,2,2,2,28,3,5,9,0,N,132,11000.530552,15097.5
