PUMA,SEX,MSP,HISP,RAC1P,HOUSING_TYPE,OWN_RENT,INDP_CAT,DREM,DPHY,DEYE,DEAR,AGEP,NOC,NPF,EDU,PINCP_DECILE,DVET,POVPIP,DENSITY,PINCP
08-00803,2,1,0,1,1,1,N,2,2,2,2,72,0,2,9,1,N,501,3998.0308940904,10656.323511999999
17-03531,1,4,0,2,1,1,N,2,2,2,2,80,0,2,8,0,N,350,11488.702017339998,-0.682623999999123
29-01901,1,6,0,1,1,1,10,2,2,2,2,23,0,N,9,7,N,208,5565.609776603999,40351.015688
01-01301,2,1,0,6,1,1,14,2,2,2,2,87,2,4,10,3,N,501,2397.7162857099997,-5472.812104799999
32-00405,1,1,0,3,1,1,14,2,2,2,2,57,0,2,10,4,N,222,8265.084909243998,25515.995535999995
32-00405,2,2,1,8,1,1,6,1,2,2,2,23,0,6,3,2,N,122,8260.455917887997,7212.398744
32-00405,1,N,1,1,1,1,N,N,N,2,2,2,0,4,N,N,N,455,8133.680533548,N
38-00100,1,4,0,1,1,1,3,2,2,2,2,59,0,N,5,7,N,289,127.95249758959999,40852.30560000001
32-00405,1,1,0,1,1,1,16,2,2,2,2,60,1,3,3,8,N,47,7844.91317656,121780.9064
06-08507,1,N,0,6,1,1,N,N,N,2,2,1,0,5,N,N,N,501,2862.6981767539996,N
51-51255,2,4,0,1,1,1,14,2,2,2,2,59,0,2,12,8,N,501,4749.120493543999,77076.63632
40-00200,2,1,0,1,1,1,11,2,2,2,2,33,0,2,12,8,N,501,452.98632919999994,355143.19272
51-01301,1,1,0,1,1,1,N,2,2,2,1,60,1,2,4,8,N,501,364.52407946919993,23977.568824
06-08507,1,1,0,1,1,1,10,2,2,2,2,59,2,4,9,9,N,501,3001.8417778427997,170825.81376
19-01700,2,1,0,1,1,1,16,2,2,2,2,36,1,2,12,9,N,501,5520.665383307999,30354.356944
24-01004,2,1,0,1,1,1,4,2,2,2,2,27,1,2,10,9,N,501,4144.4347026744,247589.12728000002
32-00405,2,3,0,8,1,1,12,2,2,1,2,38,0,N,11,5,N,233,4452.745080891999,37238.68612
30-00600,1,1,0,1,1,1,0,2,2,2,2,40,2,7,5,9,N,501,73.02537976336,30770.320544000002
06-08507,1,1,0,1,1,1,10,2,2,2,1,60,0,2,10,6,N,501,2762.182898132,82312.35351999999
17-03529,1,1,0,6,1,1,2,2,2,2,2,57,0,4,7,2,N,60,14816.906637519998,36767.03135999999
24-01004,2,1,0,1,1,1,10,2,2,2,2,58,1,3,12,3,N,501,3939.8529443439998,15424.532896
32-00405,2,6,0,1,1,1,10,2,2,2,2,32,0,N,9,7,N,501,8183.8225669839985,64693.98044
32-00405,1,4,0,1,1,2,6,2,2,2,2,46,1,2,2,3,N,254,8229.358862359997,16137.850016
36-04010,2,6,1,7,1,2,11,2,2,1,2,26,0,5,10,5,N,57,46230.772468999996,66629.3568
19-01700,1,6,0,1,1,2,10,2,2,2,2,21,0,N,7,4,N,429,3894.1073693040003,15303.417816000001
40-00200,2,4,0,1,1,1,9,2,2,2,2,72,0,2,9,6,N,495,587.9701270279999,64887.470648
06-08507,2,N,0,6,1,2,N,N,N,2,2,1,0,5,N,N,N,501,3366.676109432,N
30-00600,2,1,0,1,1,2,16,2,2,2,2,38,0,4,5,2,N,229,180.2643277844,13518.658087999996
36-03710,1,1,1,4,1,1,11,2,2,2,2,77,0,3,9,0,N,200,15096.596224839997,-8.18613440000081
51-01301,1,1,1,4,2,0,0,2,1,1,1,26,N,N,6,4,4,286,12184.379857999998,77.11131999999998
32-00405,1,1,0,9,1,1,7,2,2,2,2,49,2,3,5,8,N,501,8130.736349184,55897.906072
38-00100,1,4,0,1,1,1,N,2,2,2,2,67,0,N,8,7,N,289,145.22140988848,62056.55478400001
51-01301,1,4,0,1,1,1,N,2,2,2,2,48,1,2,7,7,N,501,11415.934526895999,62120.43696000001
30-00600,2,3,0,1,1,1,12,2,2,2,2,63,0,N,9,8,N,231,740.5881147259998,62140.939216
13-04600,1,6,0,1,1,2,10,2,2,2,2,27,0,N,9,0,N,327,4715.5004554,32944.410712
38-00100,1,1,4,1,1,1,8,1,1,2,1,91,1,2,5,3,N,96,501.28347784039994,20364.332776000003
28-01100,1,6,0,2,1,1,6,2,2,2,2,42,0,2,7,6,N,394,2729.4267199344,2014.0347680000013
24-01004,2,N,0,2,1,1,N,2,2,2,2,14,0,2,3,N,N,92,4090.5232042599996,N
51-51255,2,1,0,1,1,1,16,2,2,2,2,44,1,3,10,9,N,501,11061.44648512,114939.73804000001
36-03710,1,5,4,1,1,2,10,2,2,2,2,39,1,3,7,4,N,211,18781.823496059995,379613.71608000004
24-01004,2,1,0,1,1,2,14,2,2,2,2,38,0,2,7,2,N,122,3454.386484976,4434.363096000001
17-03531,2,4,0,2,1,2,5,2,2,2,2,24,0,N,8,6,N,17,11288.705703283998,297053.05768
40-00200,2,6,0,1,1,1,10,2,2,2,2,30,1,4,7,5,N,265,369.85688996188,62585.01092
26-02702,1,2,0,1,1,2,11,2,1,2,2,66,0,N,10,4,N,433,3895.4433768559993,20541.97936
26-02702,1,6,0,1,3,0,N,2,2,2,2,18,N,N,7,1,N,48,5010.731964434,4659.398936
26-02702,2,N,0,8,3,0,N,N,N,2,2,3,N,N,3,N,N,165,4651.371353026399,N
19-01700,2,1,0,1,1,1,N,2,2,2,1,68,2,4,4,3,N,294,184.99786913012,13956.463951999998
40-00200,2,1,0,1,1,1,11,2,2,2,2,33,0,2,11,8,N,501,826.2210725143999,25685.782432
32-00405,1,1,1,3,1,1,10,2,2,2,2,50,1,3,3,0,N,258,7156.23246406,33222.35616
32-00405,2,4,0,1,1,2,13,2,1,2,2,81,0,N,9,1,N,199,7678.963915719999,15437.448008
30-00600,2,1,0,1,1,2,11,2,2,2,2,29,0,4,9,5,N,194,393.51856140319995,52009.268319999996
28-01100,1,4,0,2,1,2,12,2,2,2,2,78,0,N,4,8,N,114,2759.9839819048,24021.238656
24-01004,2,6,0,1,1,1,N,2,2,2,2,18,0,N,9,1,N,501,3687.3575582119993,3549.8556119999994
51-51255,2,3,0,1,1,1,10,2,2,2,2,74,3,5,3,3,N,329,4074.68982362,9207.833648
40-00200,1,N,0,3,1,1,N,2,2,2,2,10,0,5,3,N,N,206,331.12999994424,N
24-01004,2,N,0,6,1,1,N,2,2,2,2,11,0,2,4,N,N,501,2704.2717271088,N
36-03710,2,1,4,6,1,1,12,2,2,2,2,76,0,2,10,9,5,501,47608.92662,137094.44568
08-00803,1,4,0,1,1,1,N,2,2,2,2,56,0,N,9,7,N,501,3895.077665928,78022.11016
19-01700,1,6,0,1,1,2,N,2,2,2,2,36,0,N,7,9,N,501,3833.948450132,30776.08672
28-01100,2,6,0,2,1,2,9,2,2,2,2,26,0,N,7,4,N,141,2691.500277068,18090.745344
30-00600,2,N,0,1,1,1,N,2,2,2,2,9,3,6,3,N,N,219,565.1766649563999,N
51-01301,1,1,0,1,1,1,16,2,2,2,2,48,1,4,10,9,N,501,11284.605195927998,129482.89296
26-02702,1,6,0,3,1,2,16,2,2,1,2,55,0,N,11,4,N,221,4624.428921616,28051.584592
17-03529,2,6,0,1,3,0,14,2,2,2,2,67,N,N,7,1,N,483,14650.780863024,6591.598956
17-03529,2,1,0,1,1,2,14,2,1,2,2,71,0,2,5,3,N,52,22917.566465791995,32767.31456
28-01100,2,N,0,2,1,2,N,N,N,2,2,3,1,3,3,N,N,229,5816.741145532,N
30-00600,1,6,0,1,1,1,N,2,2,2,2,19,0,3,7,1,N,111,495.54514571999994,5048.614479999998
06-07502,2,6,0,6,1,2,11,2,2,2,2,34,0,3,10,7,N,501,33597.27260672,54318.91172
17-03529,2,2,0,2,1,1,9,2,2,2,2,41,0,2,9,6,N,501,14545.815484879999,43850.614248000005
38-00100,2,1,0,1,1,1,0,2,2,2,2,86,0,2,8,3,N,164,337.26671387351996,3220.934416
17-03531,1,N,0,9,1,2,N,2,2,2,2,10,0,5,5,N,N,307,10930.836420875998,N
36-03710,2,3,4,1,1,1,14,2,1,2,2,63,0,10,7,1,N,189,26731.234902919998,39754.5478
19-01700,2,4,0,6,1,1,10,2,2,2,2,57,0,4,8,5,N,265,4723.028974221999,76989.52912
51-01301,1,6,0,1,1,2,10,2,2,2,2,28,0,N,7,9,N,501,11046.624094371999,172893.35392
38-00100,1,1,0,2,1,1,7,2,2,2,2,58,4,7,5,0,N,45,50408.19010152,10571.268408
08-00803,2,6,0,1,3,0,9,2,2,2,2,20,N,N,7,1,N,64,4095.6312135136,186.34668799999963
06-08507,1,1,0,1,1,1,4,1,2,2,2,48,2,4,10,9,N,501,3596.877398024,135322.77607999998
40-00200,1,1,0,1,1,1,16,2,2,2,2,36,1,3,7,9,N,501,485.5192229075999,104020.94404
