PUMA,SEX,MSP,HISP,RAC1P,HOUSING_TYPE,OWN_RENT,INDP_CAT,DREM,DPHY,DEYE,DEAR,AGEP,NOC,NPF,EDU,PINCP_DECILE,DVET,POVPIP,DENSITY,PINCP
08-00803,1,2,0,1,1,1,3,2,2,2,2,41,0,2,5,4,N,40,4124.664327627999,10393.140864
38-00100,1,1,0,1,1,1,11,2,2,2,2,73,0,2,9,7,N,501,584.3631180311999,69847.750072
28-01100,2,1,0,1,1,1,12,2,2,2,2,31,0,3,10,9,N,501,2651.589165388,119948.50223999999
51-51255,2,6,0,1,1,1,6,2,2,2,2,32,0,3,9,7,N,501,11106.204852047998,73906.52208
51-51255,1,6,0,1,1,1,12,2,2,2,2,57,0,2,12,8,N,501,11349.658933907998,194310.03512000002
08-00803,2,6,0,1,1,2,N,2,2,2,2,16,1,3,4,0,N,501,3630.056152028,-2.591768000000229
38-00100,2,N,0,1,1,1,N,2,2,2,2,14,3,5,3,N,N,501,185.89404587311998,N
19-01700,1,2,0,1,1,1,6,2,2,2,2,36,0,5,9,9,N,501,3693.218445772,169048.27912000002
32-00405,1,3,0,1,1,2,6,2,2,2,2,27,0,N,3,4,N,47,7844.91317656,32432.614496000002
51-01301,2,N,0,2,1,2,N,2,2,2,2,5,2,4,2,N,N,501,11176.532331863998,N
30-00600,2,1,0,1,1,1,0,2,2,2,2,59,2,4,5,6,N,413,554.0444137384,52114.024079999996
38-00100,1,1,0,1,1,1,6,2,2,2,2,64,0,2,5,8,N,501,183.95744267932,20264.847535999997
51-01301,2,1,0,1,1,1,16,2,2,2,2,60,0,3,10,9,N,501,11538.760021819997,93547.76616
06-08507,1,1,0,1,1,1,10,2,2,2,2,47,2,3,9,9,3,501,587.3393285256,578127.21728
24-01004,2,1,0,1,1,1,N,2,2,2,2,32,0,2,9,3,N,501,3772.7373193159997,16338.563976000001
26-02702,2,6,0,6,1,2,14,2,2,2,2,24,0,N,7,2,N,217,4443.255093704,7124.174648
24-01004,1,1,0,9,1,1,16,2,2,2,2,42,2,5,11,9,N,501,3551.694658444,1018485.04168
26-02702,1,1,0,1,1,1,12,2,2,2,2,38,0,3,11,9,N,501,4211.4477422360005,149803.81368
26-02702,1,6,0,1,3,0,10,2,2,2,2,24,N,N,12,7,N,N,4326.351790483999,70745.63425599999
06-08507,1,1,0,6,1,1,N,2,2,2,1,64,0,4,9,5,N,286,3280.6550858424,32631.524855999996
08-00803,2,1,0,1,1,1,9,2,2,2,2,58,0,2,9,6,N,501,4188.222191645999,41631.240359999996
51-01301,2,6,0,1,1,2,11,2,2,2,2,25,0,N,9,6,N,230,11465.165982399998,92151.81984000001
32-00405,1,1,3,2,1,2,N,2,2,2,2,57,0,2,5,8,N,275,8229.358862359997,29634.134040000004
24-01004,2,6,0,1,1,1,N,2,2,2,2,20,0,N,4,0,N,501,3779.1467732679994,-4.384680000001026
19-01700,2,3,0,1,1,1,N,2,2,2,2,63,0,N,10,5,N,259,3894.1073693040003,34034.545296
40-00200,2,1,0,9,1,1,N,2,2,2,1,72,0,3,9,6,N,169,201.46859618928,54626.310624000005
01-01301,1,6,0,2,1,1,12,2,2,2,2,25,0,3,10,4,N,423,3366.676109432,24191.280727999998
30-00600,2,1,0,1,1,1,0,2,1,1,2,63,0,2,9,7,N,235,492.66342816479994,74890.35248
24-01004,2,6,0,1,1,1,12,2,2,2,2,23,1,3,9,1,N,76,3611.400138344,7539.396767999999
13-04600,1,6,0,2,3,0,7,1,2,2,2,21,N,N,5,2,N,N,4132.909206511999,7706.9699120000005
51-01301,1,1,0,1,1,1,9,2,2,2,2,49,1,3,10,9,N,501,11415.865295491998,167001.09960000002
24-01004,1,1,0,1,1,2,11,2,2,2,2,59,0,2,10,9,2,501,3393.6750886304,167097.61224000002
51-01301,1,1,1,1,1,1,14,2,2,2,2,48,2,4,10,9,N,501,11415.934526895999,102656.21336000001
26-02702,2,1,0,1,1,1,10,2,2,2,2,50,0,3,9,9,N,501,3723.7674633919996,192676.10712
36-04010,2,1,1,1,1,2,N,2,2,2,2,23,1,3,3,0,N,137,50452.79415112,1491.0121439999984
38-00100,1,1,0,1,1,2,3,2,2,2,2,48,0,2,4,2,N,251,789.3241957525998,12861.312687999998
38-00100,1,1,0,1,1,2,N,2,2,2,2,42,0,2,9,3,N,387,4151.503916051999,15233.021304000002
36-03710,2,N,0,2,1,2,N,2,2,2,2,14,1,4,3,N,N,172,40156.173378176,N
06-07502,1,1,0,1,1,1,10,2,2,2,2,62,0,3,10,9,N,501,34093.72519148,296300.382
06-08507,1,1,0,1,1,2,10,2,2,2,2,35,1,4,9,9,N,501,3071.0219188948,80088.71512
06-07502,2,6,0,1,1,2,14,2,2,2,2,41,0,N,9,8,N,370,33944.15893464,97367.905856
17-03531,1,6,0,2,1,2,N,2,2,2,2,24,0,N,8,2,N,82,11288.705703283998,10876.412143999998
06-07502,1,6,0,9,1,2,10,2,2,2,2,59,0,N,11,9,N,501,33834.928162132,71549.970384
17-03529,1,6,0,1,1,2,14,2,2,2,2,25,0,N,7,6,N,440,15023.171828783996,46063.447080000005
13-04600,1,6,0,1,1,2,10,2,2,2,2,28,0,N,9,8,N,501,3712.987975244,70826.952568
36-04010,1,N,0,2,1,2,N,N,N,2,2,4,0,2,2,N,N,0,50418.54838792,N
40-00200,1,6,0,1,1,1,18,1,1,1,1,64,0,3,3,2,N,460,220.18570790852,9988.041615999999
30-00600,2,6,0,1,1,2,7,2,2,2,2,27,0,N,9,3,N,77,118.89365293363998,13327.325519999999
36-03710,2,6,1,8,1,2,10,2,2,2,2,24,0,3,4,5,N,124,33629.44671264,33222.35616
32-00405,2,6,0,1,1,2,13,1,2,2,2,74,0,N,5,3,N,117,7678.963915719999,19241.419432
32-00405,1,2,0,1,1,1,6,2,1,2,2,57,0,N,7,1,N,105,7752.829595916,1288.2728079999997
30-00600,2,4,0,1,1,1,13,2,1,2,2,73,0,N,9,5,N,378,418.6928967431999,32804.081280000006
40-00200,2,1,0,1,1,1,14,2,2,2,2,64,1,5,4,2,N,161,135.0238777516,10474.480552
17-03529,2,N,0,2,1,1,N,2,2,2,2,14,3,5,3,N,N,501,14697.700201027998,N
24-01004,2,N,0,6,1,1,N,N,N,2,2,4,2,4,2,N,N,501,3922.6391634959996,N
26-02702,2,N,0,1,1,2,N,2,2,2,2,14,0,2,3,N,N,501,4231.46724464,N
19-01700,2,4,0,1,1,1,12,2,2,2,2,49,0,6,7,9,N,501,3703.909677092,80839.96127999999
08-00803,1,1,0,1,1,1,10,1,2,2,2,29,0,2,7,5,N,254,3895.077665928,30749.139600000002
24-01004,1,6,0,1,1,2,10,2,2,2,2,23,0,N,10,6,N,501,3833.948450132,52089.444352000006
38-00100,1,N,1,3,1,2,N,N,N,2,2,1,0,3,N,N,N,123,335.57259499343996,N
38-00100,1,N,0,1,1,1,N,2,2,2,2,14,1,3,3,N,N,501,654.6783898667999,N
26-02702,2,4,0,1,1,1,10,2,2,2,2,41,0,N,11,9,N,501,4662.2308536519995,486851.96448
38-00100,2,6,0,1,1,1,13,2,2,2,2,24,0,3,9,3,N,221,662.3314195191999,28283.061287999997
13-04600,2,6,0,2,1,2,14,2,2,2,2,18,0,2,5,1,N,191,3462.2283419615997,6591.598956
