,AGEP_x,DEYE_x,DVET_x,EDU,HOUSING_TYPE_x,MSP,OWN_RENT,PINCP_DECILE_x,RAC1P,SEX,AGEP_y,DEYE_y,DVET_y,HOUSING_TYPE_y,PINCP_DECILE_y,percent_match
0,37,2,5,4,1,N,2,N,1,1,14,2,N,1,N,60.0
1,54,2,5,4,3,3,2,5,2,2,64,2,N,1,0,20.0
2,89,2,N,4,3,6,2,3,2,1,16,2,N,1,0,40.0
3,50,2,N,12,3,3,2,2,1,2,94,1,N,1,9,20.0
4,24,2,N,10,3,6,1,0,2,2,27,2,N,1,6,40.0
5,63,2,N,3,3,6,1,7,2,2,15,2,N,1,0,40.0
6,45,2,5,10,2,5,2,4,1,1,73,2,N,1,6,20.0
7,45,2,N,12,2,1,1,5,2,1,73,2,N,1,9,40.0
8,27,2,N,4,1,2,2,0,1,1,30,2,N,1,2,60.0
9,43,2,N,3,3,6,2,2,1,2,15,2,N,1,0,40.0
10,33,2,N,7,3,1,2,9,2,1,34,2,N,1,3,40.0
11,63,2,N,5,3,4,2,1,2,2,65,2,N,1,2,40.0
