,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,OWN_RENT,PINCP_DECILE,DEYE
PUMA,1.1102230246251565e-16,0.011037122092144414,-0.01690345111376387,-0.01496158861144836,-0.004618396702016356,-0.0033639504880418752,-0.0014517029713256298,0.03132091426892927,-0.049156831948758195,-0.004804774389941868,-0.010263456146840218
AGEP,0.011037122092144415,-1.1102230246251565e-16,-0.03793020705516804,-0.0162655919251479,0.15978781354034216,0.0948614145276529,0.05711148796143045,0.14670153591828736,0.11585691033185588,-0.06607319895590619,0.0886953468862837
SEX,-0.01690345111376387,-0.03793020705516803,0.0,0.003386416988119794,0.047685942174125244,0.006921058081428378,0.004500151838465628,0.02444715438571779,0.005045900330179634,0.0025671083527163546,0.02974617382840118
MSP,-0.014961588611448359,-0.016265591925147926,0.003386416988119794,0.0,0.01611836815590214,-0.013523601144433194,0.1595044101863075,0.1728984897975556,-0.0031556600362340724,0.022172924619342282,0.03085278630734805
HISP,-0.004618396702016358,0.15978781354034216,0.04768594217412525,0.01611836815590214,0.0,-0.07649685446290595,-0.14856767430362283,-0.15363991251755113,-0.013079111559581011,0.07428627438877636,-0.006544974345262551
RAC1P,-0.0033639504880418752,0.09486141452765288,0.006921058081428379,-0.01352360114443319,-0.07649685446290595,0.0,-0.03166522448789745,-0.04006857361561077,-0.025826440623096632,0.04229916221475911,-0.04095740477547617
NOC,-0.0014517029713256298,0.057111487961430396,0.004500151838465628,0.1595044101863075,-0.14856767430362283,-0.03166522448789746,2.220446049250313e-16,-0.013515692901128529,-0.15983162305619675,0.04971412747539786,-0.07676781676983403
NPF,0.03132091426892927,0.14670153591828736,0.02444715438571779,0.17289848979755557,-0.15363991251755113,-0.04006857361561076,-0.013515692901128529,0.0,-0.005668278142565045,0.1171834331594303,-0.051618104956073614
OWN_RENT,-0.049156831948758195,0.11585691033185587,0.005045900330179634,-0.003155660036234074,-0.013079111559581011,-0.02582644062309663,-0.15983162305619675,-0.0056682781425650445,-1.1102230246251565e-16,0.011944380627578993,-0.009368074643542244
PINCP_DECILE,-0.004804774389941872,-0.06607319895590624,0.0025671083527163685,0.022172924619342255,0.07428627438877636,0.04229916221475912,0.04971412747539783,0.1171834331594303,0.011944380627579,0.0,-0.0002686880075930497
DEYE,-0.010263456146840218,0.0886953468862837,0.02974617382840118,0.030852786307348053,-0.006544974345262551,-0.04095740477547617,-0.07676781676983403,-0.051618104956073614,-0.009368074643542244,-0.0002686880075930498,0.0
