,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA,PWGTP_x,RAC1P,SEX,WGTP_x,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,INDP_y,NOC_y,NPF_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,PWGTP_y,WGTP_y,percent_match
0,55,2,7,2,2,2,N,10,0,1,9490,16,1,0,2,1,60000.0,6,501,25-00503,51,6,2,68,55,2,7,2,2,2,N,1,9490,0,2,60000.0,6,501,51,68,100.0
1,26,2,7,2,2,2,N,10,0,1,770,3,6,0,N,2,103000.0,8,501,25-02800,66,1,1,73,26,2,7,2,2,2,N,1,770,0,N,103000.0,8,501,66,73,100.0
2,75,2,6,2,2,2,N,6,0,1,N,N,1,0,3,1,77400.0,7,501,25-01000,45,1,1,46,75,2,6,2,2,2,N,1,N,0,3,77400.0,7,501,45,46,100.0
3,56,2,6,2,2,2,N,5,0,1,4670,6,1,0,2,2,25900.0,4,251,25-00703,215,1,1,218,56,2,6,2,2,2,N,1,4670,0,2,25900.0,4,251,215,218,100.0
4,62,2,6,2,2,2,N,9,0,1,570,2,2,0,N,1,82500.0,7,501,25-00703,141,1,1,141,62,2,6,2,2,2,N,1,570,0,N,82500.0,7,501,141,141,100.0
5,50,2,7,2,2,2,N,8,0,1,7380,10,1,0,2,1,45000.0,5,501,25-02800,64,6,2,120,50,2,7,2,2,2,N,1,7380,0,2,45000.0,5,501,64,120,100.0
6,55,2,6,2,1,1,N,4,0,3,N,N,6,N,N,0,10100.0,2,76,25-00703,14,1,1,0,55,2,6,2,1,1,N,3,N,N,N,10100.0,2,76,14,0,100.0
7,21,2,6,2,2,2,N,4,0,1,6290,7,1,0,5,1,16000.0,3,174,25-00703,148,1,1,101,21,2,6,2,2,2,N,1,6290,0,5,16000.0,3,174,148,101,100.0
8,76,2,7,2,2,2,N,3,0,1,8564,14,1,0,2,1,33000.0,4,501,25-00503,84,6,2,92,76,2,7,2,2,2,N,1,8564,0,2,33000.0,4,501,84,92,100.0
9,56,2,7,2,2,2,N,6,0,1,N,N,1,0,6,1,0.0,0,365,25-00503,89,1,2,114,56,2,7,2,2,2,N,1,N,0,6,0.0,0,365,89,114,100.0
10,57,2,6,2,1,2,N,6,0,2,N,N,2,N,N,0,17200.0,3,N,25-01000,69,1,2,0,57,2,6,2,1,2,N,2,N,N,N,17200.0,3,N,69,0,100.0
11,20,2,7,2,2,2,N,7,2,3,N,N,6,N,N,0,0.0,0,N,25-00503,67,1,2,0,20,2,7,2,2,2,N,3,N,N,N,0.0,0,N,67,0,100.0
12,51,2,5,2,2,2,N,11,0,1,8191,12,1,2,4,2,242000.0,9,501,25-01300,21,6,1,30,51,2,5,2,2,2,N,1,8191,2,4,242000.0,9,501,21,30,100.0
13,19,2,5,2,2,2,N,5,0,1,8470,13,6,0,4,1,1600.0,1,501,25-01300,93,1,1,86,19,2,5,2,2,2,N,1,8470,0,4,1600.0,1,501,93,86,100.0
14,22,2,6,2,2,1,N,5,2,1,8680,14,6,0,N,2,3600.0,1,27,25-01000,195,8,1,113,22,2,6,2,2,1,N,1,8680,0,N,3600.0,1,27,195,113,100.0
15,48,2,7,2,2,2,N,10,0,1,2190,4,1,0,3,2,175000.0,9,501,25-02800,106,1,2,120,48,2,7,2,2,2,N,1,2190,0,3,175000.0,9,501,106,120,100.0
16,62,2,5,2,2,2,N,8,0,1,6170,7,1,0,3,1,120000.0,8,501,25-01300,90,1,1,84,62,2,5,2,2,2,N,1,6170,0,3,120000.0,8,501,90,84,100.0
17,62,2,7,2,2,2,N,5,0,1,N,N,2,2,6,1,0.0,0,501,25-02800,71,1,2,87,62,2,7,2,2,2,N,1,N,2,6,0.0,0,501,71,87,100.0
18,18,2,6,2,2,2,N,4,0,1,4670,6,6,0,3,1,2000.0,1,501,25-01000,481,6,2,367,18,2,6,2,2,2,N,1,4670,0,3,2000.0,1,501,481,367,100.0
19,89,2,6,2,1,2,N,5,0,1,N,N,4,0,N,2,3500.0,1,28,25-01000,80,1,1,66,89,2,6,2,1,2,N,1,N,0,N,3500.0,1,28,80,66,100.0
20,55,2,6,2,2,2,N,9,0,1,6992,9,6,0,N,2,87820.0,8,501,25-00703,75,1,2,74,55,2,6,2,2,2,N,1,6992,0,N,87820.0,8,501,75,74,100.0
21,34,2,7,2,2,2,N,7,0,1,4380,5,1,0,2,2,52000.0,6,501,25-00503,69,1,2,73,34,2,7,2,2,2,N,1,4380,0,2,52000.0,6,501,69,73,100.0
22,94,2,7,2,2,2,N,10,0,1,9170,15,3,0,N,1,23600.0,4,195,25-00503,102,1,2,103,94,2,7,2,2,2,N,1,9170,0,N,23600.0,4,195,102,103,100.0
23,16,2,6,2,2,2,N,4,1,1,N,N,6,2,4,1,0.0,0,416,25-01000,93,1,1,127,16,2,6,2,2,2,N,1,N,2,4,0.0,0,416,93,127,100.0
24,41,2,7,2,2,2,N,7,0,1,6870,9,6,0,2,2,80000.0,7,471,25-00503,114,1,2,76,41,2,7,2,2,2,N,1,6870,0,2,80000.0,7,471,114,76,100.0
25,50,2,6,2,2,2,N,7,0,1,7670,10,3,1,4,1,65000.0,7,501,25-00703,98,1,2,98,50,2,6,2,2,2,N,1,7670,1,4,65000.0,7,501,98,98,100.0
26,77,2,7,2,2,2,N,9,0,1,N,N,3,0,N,1,20500.0,3,169,25-02800,113,1,2,113,77,2,7,2,2,2,N,1,N,0,N,20500.0,3,169,113,113,100.0
27,40,2,6,2,2,2,N,7,0,1,9780,17,1,1,3,2,32000.0,4,244,25-01000,67,1,1,67,40,2,6,2,2,2,N,1,9780,1,3,32000.0,4,244,67,67,100.0
28,27,2,5,2,2,2,N,7,0,1,3390,4,6,0,N,2,39000.0,5,294,25-01300,122,1,1,121,27,2,5,2,2,2,N,1,3390,0,N,39000.0,5,294,122,121,100.0
29,58,2,7,2,2,2,N,11,0,1,6695,8,1,0,3,2,87800.0,8,501,25-00503,72,1,1,55,58,2,7,2,2,2,N,1,6695,0,3,87800.0,8,501,72,55,100.0
30,60,2,7,2,2,2,N,8,0,1,8191,12,4,0,N,1,0.0,0,0,25-02800,113,1,2,107,60,2,7,2,2,2,N,1,8191,0,N,0.0,0,0,113,107,100.0
31,67,1,7,1,1,2,N,5,0,1,8770,15,1,0,3,1,34200.0,4,497,25-00503,91,1,1,93,67,1,7,1,1,2,N,1,8770,0,3,34200.0,4,497,91,93,100.0
32,55,2,5,2,2,2,N,5,0,1,5391,6,1,0,2,2,42000.0,5,501,25-01300,188,1,2,212,55,2,5,2,2,2,N,1,5391,0,2,42000.0,5,501,188,212,100.0
33,30,2,6,2,2,2,N,7,0,1,180,0,6,0,3,1,35000.0,5,501,25-00703,74,1,2,55,30,2,6,2,2,2,N,1,180,0,3,35000.0,5,501,74,55,100.0
34,49,2,7,2,2,2,N,9,0,1,N,N,1,1,3,1,12000.0,2,501,25-02800,87,6,2,94,49,2,7,2,2,2,N,1,N,1,3,12000.0,2,501,87,94,100.0
35,68,2,7,2,2,2,N,6,0,1,N,N,3,0,3,1,28000.0,4,501,25-00503,59,1,2,59,68,2,7,2,2,2,N,1,N,0,3,28000.0,4,501,59,59,100.0
36,20,1,5,2,2,1,N,7,4,2,5391,6,6,N,N,0,0.0,0,N,25-01300,64,1,1,0,20,1,5,2,2,1,N,2,5391,N,N,0.0,0,N,64,0,100.0
37,66,1,7,2,1,2,N,10,0,1,7390,10,4,0,N,1,22900.0,3,190,25-02800,87,1,1,87,66,1,7,2,1,2,N,1,7390,0,N,22900.0,3,190,87,87,100.0
38,66,2,5,2,2,2,N,8,0,1,4585,5,1,0,2,1,11000.0,2,230,25-01300,59,1,2,59,66,2,5,2,2,2,N,1,4585,0,2,11000.0,2,230,59,59,100.0
39,68,2,7,2,2,2,N,10,0,1,7970,12,6,0,N,1,158000.0,9,501,25-02800,107,1,1,107,68,2,7,2,2,2,N,1,7970,0,N,158000.0,9,501,107,107,100.0
40,66,2,7,2,2,2,N,9,0,1,7490,10,4,0,3,1,31800.0,4,337,25-00503,59,1,2,59,66,2,7,2,2,2,N,1,7490,0,3,31800.0,4,337,59,59,100.0
41,47,2,7,2,1,1,N,7,0,1,4380,5,4,0,N,2,10100.0,2,76,25-02800,408,1,2,408,47,2,7,2,1,1,N,1,4380,0,N,10100.0,2,76,408,408,100.0
42,66,2,6,2,2,2,N,8,0,1,8670,14,3,0,N,1,24200.0,4,198,25-00703,49,1,2,49,66,2,6,2,2,2,N,1,8670,0,N,24200.0,4,198,49,49,100.0
43,40,2,7,2,2,2,N,1,0,1,4990,6,4,1,2,1,18000.0,3,102,25-02800,100,6,2,101,40,2,7,2,2,2,N,1,4990,1,2,18000.0,3,102,100,101,100.0
44,23,2,7,2,2,2,N,7,0,1,9090,15,6,0,3,1,23600.0,4,501,25-00503,338,9,1,252,23,2,7,2,2,2,N,1,9090,0,3,23600.0,4,501,338,252,100.0
45,57,2,6,2,2,2,N,9,0,1,3580,4,3,0,4,1,139000.0,9,501,25-01000,90,1,2,90,57,2,6,2,2,2,N,1,3580,0,4,139000.0,9,501,90,90,100.0
46,68,2,6,2,2,2,N,4,0,1,N,N,1,0,2,2,69200.0,7,501,25-00703,40,2,2,40,68,2,6,2,2,2,N,1,N,0,2,69200.0,7,501,40,40,100.0
47,32,2,5,2,2,2,N,7,0,3,9920,18,6,N,N,0,9300.0,2,70,25-01300,11,1,2,0,32,2,5,2,2,2,N,3,9920,N,N,9300.0,2,70,11,0,100.0
48,55,2,5,2,2,2,N,7,0,1,8590,14,4,0,N,2,60400.0,6,459,25-01300,67,1,2,66,55,2,5,2,2,2,N,1,8590,0,N,60400.0,6,459,67,66,100.0
