AGEP,SEX,MSP,RAC1P,PINCP_DECILE,HOUSING_TYPE,OWN_RENT,DVET,DEYE,EDU
45,2,6,2,3,1,2,N,2,4
80,2,1,1,2,1,1,N,2,3
17,2,6,1,0,1,0,N,2,5
55,2,1,2,5,1,2,N,2,5
17,2,6,6,3,3,0,N,2,4
38,1,6,2,4,1,1,N,2,9
16,1,6,1,0,2,0,N,2,5
30,2,6,1,1,1,2,N,2,4
59,2,2,2,8,1,1,N,2,8
72,1,1,1,4,1,1,N,2,5
61,2,4,1,3,1,2,N,2,3
17,2,6,3,0,1,2,N,2,5
35,1,6,2,4,1,1,N,2,7
36,2,6,1,1,1,2,N,2,9
12,1,N,6,N,1,1,N,2,3
36,2,6,1,8,1,1,N,2,10
73,1,1,1,6,1,1,N,2,5
80,1,4,1,7,1,1,N,2,9
31,1,6,2,6,3,0,N,2,7
69,2,1,1,9,1,1,N,2,10
81,1,3,1,2,1,1,N,2,7
38,1,6,2,3,1,1,N,1,1
27,1,6,1,3,1,1,N,2,10
21,1,1,9,7,1,2,N,2,8
15,2,6,1,0,1,2,N,2,4
48,2,1,2,3,1,1,N,2,9
47,1,6,2,8,1,2,N,2,12
69,2,6,1,3,1,1,N,2,7
33,1,6,2,7,1,2,N,2,12
69,2,4,2,2,1,1,N,2,3
8,1,N,1,N,1,2,N,2,3
33,2,6,1,9,1,1,N,2,10
36,1,6,2,3,3,0,N,2,7
71,2,2,2,4,2,2,N,2,11
31,2,4,1,1,1,1,N,2,5
55,1,1,1,5,1,2,N,2,4
45,2,1,1,8,1,1,N,2,10
8,2,N,6,N,1,1,N,2,3
33,1,6,1,7,1,2,N,2,10
55,1,6,1,7,1,0,N,2,6
22,2,6,2,4,1,2,N,2,9
17,1,6,1,2,1,2,N,2,4
28,1,6,1,4,1,1,N,2,9
49,1,3,1,2,3,0,N,2,7
78,1,3,1,8,1,2,N,2,8
56,2,3,1,8,1,2,N,2,10
71,1,1,2,5,1,1,N,1,7
40,2,6,1,7,1,1,N,2,11
34,2,1,1,7,1,1,N,2,7
52,2,6,1,7,1,2,N,2,7
4,1,N,1,N,1,2,N,2,2
66,2,1,1,5,1,0,N,2,8
27,1,1,1,0,1,1,N,2,7
59,1,4,1,8,1,1,N,2,9
16,2,6,1,3,1,2,N,2,7
69,1,4,2,7,1,2,N,2,9
59,2,6,1,5,1,2,N,2,9
19,1,6,1,2,1,1,N,2,7
54,1,4,2,2,1,1,N,2,9
3,1,N,2,N,1,2,N,2,1
60,1,6,1,9,1,1,N,2,4
53,1,1,1,N,1,1,N,2,9
59,2,5,2,3,1,1,N,2,8
27,2,6,2,0,1,2,N,2,6
59,1,6,2,3,1,1,N,2,4
60,2,4,2,5,1,2,N,2,7
13,2,6,1,N,1,1,N,2,4
40,2,1,1,9,1,2,N,2,8
49,1,3,1,8,1,2,N,2,7
49,1,4,6,6,1,2,N,2,10
23,1,6,1,5,1,1,N,2,7
39,2,2,2,1,1,1,N,2,9
68,1,6,1,8,1,1,N,2,7
57,1,1,1,0,1,2,N,2,5
67,2,1,1,2,1,1,N,2,9
69,2,1,1,9,1,1,N,2,9
51,2,1,1,2,1,1,N,2,7
23,1,1,1,1,1,1,N,2,10
61,2,3,1,5,1,1,N,2,8
48,2,3,1,8,1,1,N,2,9
7,2,N,2,N,1,1,N,2,3
57,2,1,1,9,1,1,5,2,10
69,2,1,1,2,1,2,N,2,9
43,1,1,1,7,1,2,N,2,7
46,1,4,1,7,1,1,N,2,7
59,1,6,1,6,1,1,N,2,5
19,2,6,2,0,3,0,N,2,7
37,1,1,1,7,1,1,N,2,9
18,2,6,1,0,1,2,N,2,7
50,1,1,1,1,1,1,N,2,8
46,2,6,1,1,1,1,N,2,5
33,2,6,2,6,1,2,N,2,9
38,2,2,9,9,1,2,N,2,9
40,2,1,6,0,1,1,N,2,3
37,1,6,9,0,1,2,N,2,5
29,2,1,1,7,1,1,N,2,9
3,1,N,1,N,1,1,N,2,2
71,1,6,6,6,1,1,N,2,8
8,2,N,2,N,1,2,N,2,3
41,2,1,1,7,1,2,N,2,7
0,2,N,1,N,1,2,N,2,N
59,1,4,2,1,1,2,N,2,7
2,1,N,1,N,1,1,N,2,N
18,2,6,2,0,1,2,N,2,4
54,1,6,1,8,1,2,N,2,3
42,2,1,1,8,1,1,N,2,10
34,1,6,3,3,1,2,N,2,6
81,1,3,2,5,1,1,N,2,8
60,2,1,1,9,1,1,N,2,10
62,2,5,2,2,1,1,N,2,3
48,2,6,1,8,1,1,N,2,9
55,1,6,2,3,1,1,N,2,6
68,2,1,8,4,1,1,N,2,8
17,2,6,2,0,1,0,N,2,7
0,1,N,1,N,1,1,N,2,N
