,Target samples,Deid. samples
0,35,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,44,7
15,0,0
16,0,0
17,0,0
18,9,2
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,2,1
34,0,0
35,0,0
36,0,0
37,835,497
38,0,0
39,0,0
40,18,12
41,23,16
42,18,13
43,0,0
44,0,0
45,0,0
46,9533,8169
47,0,0
48,2809,2579
49,3626,3554
50,3673,3681
51,2740,2858
52,0,0
53,0,0
54,0,0
55,533,643
56,800,1040
57,1699,2360
58,0,0
59,0,0
60,0,0
61,271,416
62,0,0
63,0,0
64,4,7
65,207,377
66,0,0
67,259,521
68,0,0
69,0,0
70,0,0
71,67,163
72,0,0
73,0,0
74,30,84
75,1,3
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,8,49
87,2,13
88,0,0
89,0,0
90,0,0
91,2,21
92,4,46
93,0,0
94,0,0
95,1,20
96,0,0
97,0,0
98,0,0
99,0,101
