,AGEP,SEX,MSP,RAC1P,HOUSING_TYPE,OWN_RENT,EDU,PINCP_DECILE,DVET,DEYE
AGEP,-3.3306690738754696e-16,-0.01074395832300589,0.033666261604689926,0.09295051902366677,-0.06634452611975568,0.024165944463331195,0.10407271733525736,0.1473157533468289,,0.09757774552339864
SEX,-0.01074395832300589,-3.219646771412954e-15,-0.05937117189180521,-0.0039777253011434146,-0.038472702758232204,-0.001968216388713105,-0.02127198640944626,0.10211195631322416,,-0.000641145614954236
MSP,0.033666261604689926,-0.05937117189180521,0.0,-0.016885528337741703,-0.07176176465350328,-0.03505697570777001,0.14723163959493923,0.10187882461488162,,0.034030296873474766
RAC1P,0.09295051902366677,-0.0039777253011434146,-0.016885528337741703,-1.4876988529977098e-14,-0.03996008193319605,-0.07465181549852848,0.03386808384508864,0.07769440346019142,,-0.03342439398467567
HOUSING_TYPE,-0.06634452611975568,-0.038472702758232204,-0.07176176465350328,-0.03996008193319605,-1.6209256159527285e-14,0.12304214306628591,0.016420030654766334,0.047490671831053766,,0.045800092873720194
OWN_RENT,0.024165944463331195,-0.001968216388713105,-0.03505697570777001,-0.07465181549852848,0.12304214306628591,-2.042810365310288e-14,0.009446367469253435,-0.016215992463343994,,-0.060599669681343095
EDU,0.10407271733525736,-0.02127198640944626,0.14723163959493923,0.03386808384508864,0.016420030654766334,0.009446367469253435,0.0,0.04156054673892551,,-0.01738438995159252
PINCP_DECILE,0.1473157533468289,0.10211195631322416,0.10187882461488162,0.07769440346019142,0.047490671831053766,-0.016215992463343994,0.04156054673892551,-2.55351295663786e-15,,-0.02336102132243917
DVET,,,,,,,,,,
DEYE,0.09757774552339864,-0.000641145614954236,0.034030296873474766,-0.03342439398467567,0.045800092873720194,-0.060599669681343095,-0.01738438995159252,-0.02336102132243917,,7.771561172376096e-15
