,feature,divergence
13,PINCP,1.1987542045596113
1,AGEP,1.0366978609625668
11,INDP_CAT,0.6551113360323886
14,PINCP_DECILE,0.24518915327436563
7,NPF,0.17266881551724866
15,POVPIP,0.0973911213970124
12,EDU,0.0950582479472575
6,NOC,0.06025759975379465
3,MSP,0.04424338941023061
9,OWN_RENT,0.03578975239849123
8,HOUSING_TYPE,0.021429667032324417
5,RAC1P,0.018644517976991702
4,HISP,0.016915855781614968
16,DVET,0.016767517191723265
2,SEX,0.016386386386386342
17,DREM,0.011565836298932389
18,DPHY,0.007527595509825451
20,DEAR,0.006673506051630321
19,DEYE,0.004442627597540376
0,PUMA,0.004133394698601522
10,DENSITY,0.004133394698601522
