,AGEP,RAC1P,MSP,SEX,HOUSING_TYPE,OWN_RENT,DVET,DEYE,PINCP_DECILE,EDU
0,66,1,1,2,1,1,N,2,9,1
1,28,1,1,2,1,1,N,2,9,9
2,50,1,1,2,1,1,N,2,1,4
3,45,9,3,1,1,2,N,2,8,8
4,49,1,2,1,1,1,N,2,2,1
5,64,1,6,1,1,1,N,2,6,12
6,74,1,4,1,1,2,N,2,8,7
7,51,1,6,2,1,1,N,2,1,5
8,75,2,1,1,1,1,N,2,4,4
9,45,9,1,2,1,2,N,2,3,4
10,74,2,1,1,1,2,N,2,4,7
11,57,2,6,1,1,2,N,2,3,7
12,59,1,1,1,1,1,N,2,4,4
13,57,1,1,1,1,1,N,2,4,9
14,81,6,1,1,1,1,N,2,8,4
15,64,1,3,1,1,1,N,2,8,9
16,42,1,1,2,1,1,N,2,5,8
17,76,1,1,2,1,2,N,2,7,7
18,76,2,1,1,1,1,N,2,4,7
19,77,1,6,2,1,2,N,1,7,7
20,25,1,4,2,1,2,N,2,2,7
21,52,1,6,1,1,1,N,2,2,9
22,57,2,6,2,1,1,N,2,7,11
23,51,2,1,2,1,1,N,2,9,10
24,58,1,1,2,1,1,N,2,6,10
25,36,2,6,1,1,2,N,2,2,9
26,68,8,2,1,1,1,N,2,7,9
27,44,2,1,1,1,2,N,2,7,7
28,1,9,6,1,1,1,N,2,7,8
29,47,3,1,1,1,2,N,2,5,8
30,57,1,1,2,1,2,N,2,4,10
31,81,9,4,1,1,2,N,2,6,3
32,79,2,1,2,1,1,N,2,6,7
33,60,1,1,1,1,1,N,2,0,9
34,20,1,1,1,1,1,N,2,1,8
35,29,6,3,2,1,1,N,2,3,7
36,48,1,6,2,1,2,N,2,4,9
37,35,6,1,1,1,1,N,2,4,11
38,60,9,1,1,1,1,N,2,3,10
39,64,2,1,1,1,1,N,2,1,7
40,26,1,1,1,1,1,N,2,5,5
41,32,1,1,1,1,2,N,2,1,5
42,53,1,5,2,1,1,N,1,7,9
43,72,2,1,1,1,2,N,2,2,9
44,49,6,6,1,1,2,N,2,4,9
45,52,2,1,2,1,2,N,2,5,8
46,24,1,4,1,1,1,N,1,0,5
47,44,6,1,1,1,1,N,2,3,6
48,82,1,2,1,1,1,N,2,9,4
49,35,1,1,2,1,1,N,2,5,9
50,48,6,6,1,1,2,N,2,7,12
51,58,1,4,1,1,1,N,2,2,7
52,59,1,1,2,1,1,N,2,5,3
53,70,1,1,1,1,1,N,2,9,7
54,24,1,1,2,1,2,N,2,5,7
55,43,2,6,1,1,1,N,2,9,5
56,44,1,3,1,1,1,N,2,3,5
57,72,1,6,2,1,2,N,2,0,10
58,53,1,1,1,1,1,N,2,2,9
59,33,1,6,1,1,1,N,2,1,9
60,77,1,5,1,1,1,N,2,6,9
61,22,1,1,2,1,2,N,2,1,10
62,35,8,6,1,1,1,N,2,8,8
63,49,1,6,2,1,1,N,2,3,9
64,21,2,2,1,1,1,N,2,2,7
65,69,1,1,1,1,2,N,2,0,5
66,62,6,6,1,1,1,N,2,7,7
67,39,1,6,1,1,2,N,2,6,5
68,35,1,1,1,1,2,N,2,1,7
69,29,2,6,1,1,2,N,2,8,8
70,59,1,6,2,1,1,N,2,7,4
71,60,1,1,2,1,1,N,2,8,10
72,72,1,1,2,1,1,N,2,3,10
73,69,1,1,1,1,1,N,2,8,10
74,37,2,1,1,1,1,N,2,2,7
75,15,1,3,1,1,1,N,2,5,5
76,56,2,2,1,1,1,N,2,7,7
77,49,1,1,1,1,1,N,2,2,7
78,30,1,1,1,1,1,N,2,5,5
79,29,1,6,2,1,2,N,2,2,7
80,62,2,1,1,1,1,N,2,3,5
81,39,1,1,2,1,2,N,2,0,8
82,52,2,6,2,1,2,N,2,9,12
83,33,1,4,1,1,1,N,2,4,8
84,63,2,1,2,1,2,N,2,3,9
85,48,6,1,1,1,2,N,2,7,5
86,28,2,1,2,1,2,N,2,3,8
87,76,1,6,1,1,1,N,2,0,7
88,47,9,6,1,1,1,N,2,8,5
89,30,1,1,1,1,1,N,2,2,9
90,60,2,6,1,1,1,N,2,2,5
91,57,1,1,2,1,1,N,2,4,3
92,34,2,4,2,1,1,N,2,6,5
93,72,1,6,1,1,1,N,2,6,9
94,53,1,1,1,1,2,N,2,7,9
95,51,1,6,1,1,1,N,2,5,7
96,46,2,1,1,1,1,N,2,6,7
97,66,1,4,2,1,1,N,2,4,11
98,39,2,1,2,1,1,N,2,2,9
99,64,1,1,1,1,1,N,2,1,3
100,54,7,1,1,1,1,N,2,4,7
101,33,1,1,1,1,2,N,2,8,10
102,59,1,1,2,1,1,N,2,3,10
103,47,6,5,2,1,2,N,2,5,4
104,40,1,5,2,1,1,N,2,0,6
105,66,1,1,1,1,2,N,2,2,5
106,52,1,1,1,1,1,N,2,9,9
107,33,1,1,2,1,1,N,2,3,7
108,47,6,2,1,1,1,N,2,0,12
109,49,2,1,1,1,1,N,2,8,5
110,68,1,4,1,1,1,N,2,2,5
111,51,1,4,2,1,2,N,2,6,5
112,34,1,1,2,1,1,N,2,9,2
113,54,9,4,1,1,1,N,2,2,9
114,86,1,1,2,1,1,N,2,4,9
115,58,1,1,2,1,2,N,2,9,7
116,29,1,1,1,1,1,N,2,6,9
117,72,9,1,1,1,2,N,2,0,8
118,66,2,1,2,1,2,N,2,4,7
119,31,1,4,1,1,2,N,2,7,8
120,53,9,6,2,1,1,N,2,4,5
121,57,6,1,1,1,1,N,2,2,3
122,61,2,1,1,1,1,N,2,5,9
123,24,1,1,2,1,1,N,2,9,1
124,42,1,1,1,1,2,N,2,8,8
125,67,1,6,1,1,1,N,2,2,8
126,64,2,5,1,1,1,N,2,7,7
127,60,1,5,1,1,2,N,2,2,7
128,70,3,2,2,1,1,N,2,6,9
129,42,1,1,2,1,2,N,2,9,7
130,59,2,1,1,1,1,N,2,6,5
131,62,2,6,2,1,1,N,2,7,10
132,63,1,6,1,1,1,N,2,5,7
133,63,1,4,1,1,2,N,2,5,7
134,33,1,6,1,1,1,N,2,7,4
135,1,9,1,1,1,1,N,2,4,5
136,57,1,1,1,1,2,N,2,1,9
137,46,2,6,2,1,1,N,2,7,9
138,83,2,6,2,1,1,N,2,6,12
139,64,8,6,2,1,2,N,2,5,7
140,48,1,1,2,1,1,N,2,7,10
141,67,1,4,1,1,1,N,2,5,5
142,54,1,3,2,1,2,N,2,1,7
143,76,1,5,2,1,2,N,2,9,7
144,40,6,6,2,1,1,N,2,5,7
145,65,2,1,2,1,1,N,2,9,6
146,49,1,1,1,1,1,N,2,8,9
147,40,1,1,2,1,1,N,2,8,10
148,66,1,6,1,1,1,N,2,5,9
149,30,1,1,2,1,1,N,2,8,9
150,45,1,6,2,1,1,N,2,1,7
151,57,1,4,1,1,1,N,2,1,5
152,41,9,6,2,1,2,N,2,5,5
153,45,1,1,2,1,1,N,2,4,5
154,26,1,1,2,1,1,N,2,1,7
155,32,1,1,1,1,1,N,2,4,11
156,48,2,6,2,1,1,N,2,3,7
157,38,1,4,1,1,1,N,2,0,6
158,66,1,1,1,1,2,N,2,0,7
159,75,1,4,2,1,1,N,2,8,9
160,72,2,2,1,1,1,N,2,8,9
161,36,6,1,2,1,1,N,2,4,7
162,22,6,5,1,1,2,N,2,4,5
163,61,6,6,2,1,2,N,2,2,7
164,31,1,3,2,1,2,N,2,8,4
165,61,1,1,1,1,2,N,2,7,8
166,69,1,2,2,1,1,N,2,0,5
167,19,1,6,1,1,1,N,2,7,9
168,48,1,1,2,1,1,N,2,7,9
169,67,1,3,2,1,1,N,2,6,5
170,58,1,6,1,1,2,N,2,2,8
171,46,2,6,2,1,2,N,2,0,10
172,43,1,6,2,1,2,N,2,7,9
173,71,2,1,2,1,1,N,2,6,9
174,85,1,1,2,1,2,N,2,5,7
175,45,1,1,1,1,2,N,2,3,7
176,66,2,1,2,1,1,N,2,5,9
177,68,2,1,1,1,2,N,2,7,10
178,64,1,1,1,1,2,N,2,5,5
179,41,2,6,2,1,1,N,2,9,9
180,67,2,4,1,1,1,N,2,7,7
181,40,1,6,2,1,2,N,2,9,7
182,60,6,1,1,1,1,N,2,3,5
183,33,1,1,2,1,2,N,2,8,4
184,30,9,6,2,1,1,N,2,2,5
185,30,9,1,2,1,2,N,2,2,9
186,60,1,6,2,1,1,N,2,7,11
187,36,1,1,1,1,1,N,2,9,7
188,31,1,1,1,1,1,N,2,1,7
189,63,1,1,1,1,1,N,2,8,5
190,40,1,6,2,1,2,N,2,6,5
191,60,1,1,2,1,2,5,2,0,7
192,68,1,1,2,1,1,N,2,0,6
193,45,1,6,2,1,1,N,2,7,7
194,37,2,2,1,1,2,N,2,6,5
195,47,2,1,1,1,1,N,2,9,7
196,69,1,6,1,1,1,N,2,9,7
197,39,8,4,1,1,1,N,2,8,3
198,51,1,3,1,1,1,N,2,4,9
199,50,1,1,1,1,1,N,2,6,6
200,36,1,6,2,1,1,N,2,2,11
201,72,2,6,1,1,1,N,2,4,7
202,77,1,1,1,1,2,N,2,6,3
203,38,6,1,1,1,1,N,2,8,9
204,44,2,6,2,1,1,N,2,N,10
205,48,2,6,1,1,1,N,2,0,7
206,19,1,1,1,1,2,N,2,2,5
207,69,2,1,1,1,1,N,2,3,9
208,87,2,1,2,1,1,N,2,7,8
209,27,1,6,1,1,2,N,2,7,9
210,39,1,6,2,1,2,N,2,5,4
211,34,1,6,2,1,1,N,2,2,8
212,6,2,6,2,1,1,N,2,4,5
213,49,3,6,2,1,1,N,2,9,5
214,30,1,6,1,1,1,N,2,8,5
215,54,1,1,1,1,1,N,2,7,7
216,51,1,1,1,1,1,N,2,1,5
217,44,1,1,1,1,2,N,2,8,3
218,54,1,1,1,1,1,N,2,6,5
219,28,1,6,2,1,1,N,2,2,9
220,74,1,1,2,1,1,N,2,9,6
221,59,1,2,1,1,1,N,2,4,5
222,55,1,1,1,1,2,N,2,0,5
223,63,2,1,1,1,2,N,2,6,4
224,30,1,6,2,1,1,N,2,1,12
225,61,1,1,2,1,2,N,2,9,3
226,72,2,1,1,1,2,N,2,7,5
227,51,8,4,1,1,1,N,2,8,8
228,73,1,1,1,1,2,N,2,4,5
229,31,1,4,2,1,1,N,2,7,9
230,45,1,1,1,1,2,N,2,9,12
231,72,1,1,2,1,1,N,2,0,8
232,36,1,1,1,1,2,N,2,7,5
233,33,2,6,2,1,2,N,2,4,7
234,30,1,1,1,1,1,N,2,2,7
235,29,2,4,2,1,1,N,2,1,4
236,84,6,6,2,1,2,N,2,6,5
237,67,2,4,1,1,1,N,2,5,8
