,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR
0,19-01700,38,1,6,0,2,3,7,1,0,35164.957875669,10,7,22620.0,5,376,3,N,1,1,2
1,30-00600,66,1,6,2,8,0,3,1,1,21478.85544514656,17,12,19400.0,6,332,3,2,N,2,1
2,26-02702,88,2,6,0,3,6,7,1,0,17213.309201955795,13,7,369000.0,2,495,4,N,1,1,1
3,06-07502,31,2,2,1,7,3,6,3,0,28236.96292614937,7,5,180800.0,6,35,5,1,N,1,2
4,51-01301,83,2,6,3,5,4,4,1,0,29556.081959068775,16,3,95700.0,N,318,4,1,2,2,2
5,17-03531,81,2,6,3,7,N,10,1,1,36469.038832843304,15,2,90840.0,7,1,1,1,2,1,2
6,08-00803,39,1,6,3,8,1,5,3,2,22732.854882240295,13,9,329000.0,9,61,3,N,1,2,1
7,51-01301,36,1,6,2,9,7,N,3,1,26176.369932055473,13,7,50300.0,6,365,4,N,1,2,1
8,13-04600,62,1,5,0,4,9,9,3,2,22605.993283748627,10,8,103500.0,2,188,3,1,N,1,2
9,17-03531,74,1,1,1,1,9,6,3,0,27501.890477895737,17,7,820.0,6,367,5,1,N,2,1
10,24-01004,4,2,4,0,6,2,N,1,2,25454.55157136917,7,7,283500.0,8,323,2,1,2,2,2
11,36-04010,88,2,4,1,2,N,8,2,2,29706.504454374313,12,2,72700.0,4,311,6,1,1,2,2
12,32-00405,12,1,N,3,8,1,N,3,0,29148.87085324526,3,2,86400.0,2,359,4,N,1,2,1
13,17-03531,3,2,N,4,2,5,11,3,1,20013.541400194168,0,10,202700.0,4,438,6,2,N,2,2
14,40-00200,66,2,2,0,5,2,9,2,2,23894.995891809464,0,5,188700.0,6,223,1,2,1,2,2
15,17-03531,51,2,2,0,8,6,4,2,1,29726.329447090626,N,6,108900.0,6,433,3,N,2,1,2
16,06-07502,78,2,6,0,3,3,N,3,1,27424.96932065487,N,7,68900.0,6,57,5,1,N,1,1
17,08-00803,32,2,2,2,6,6,6,1,2,24777.05246603489,0,5,23210.0,4,19,2,2,N,2,1
18,30-00600,24,1,4,0,5,5,7,1,1,32668.506512692198,11,10,64100.0,5,157,3,1,N,1,2
19,38-00100,61,2,3,4,2,9,N,3,1,30468.981343269348,N,6,960.0,5,158,5,N,N,2,2
20,32-00405,79,1,3,1,3,6,3,1,2,31832.99035398662,6,N,573600.0,3,170,1,N,2,2,1
21,51-01301,42,2,4,4,1,6,10,3,0,26309.013321757317,15,8,52670.0,0,318,3,2,1,1,2
22,13-04600,43,2,N,2,2,9,10,1,2,21793.495406866074,N,11,516400.0,2,312,1,2,1,2,1
23,36-03710,30,2,2,3,4,9,11,1,2,26799.85195493698,4,3,68900.0,3,61,6,1,2,2,2
24,19-01700,22,2,2,0,2,0,5,2,0,25460.668729901314,4,5,123610.0,6,174,1,1,N,1,2
25,51-01301,8,2,2,4,5,1,5,3,2,30853.607876360416,7,3,84600.0,9,121,1,N,N,2,1
26,08-00803,88,1,3,0,2,3,2,1,0,31679.001163750887,N,12,16300.0,8,47,5,2,1,2,2
27,36-03710,50,1,4,2,2,1,11,1,0,21403.90499806404,18,10,28400.0,9,382,4,2,1,1,1
28,38-00100,38,1,6,2,6,1,7,1,2,31886.539411082864,3,4,25900.0,0,339,N,N,N,2,2
29,51-51255,11,2,3,1,2,0,12,3,0,21377.400728225708,17,12,N,0,210,6,1,2,2,2
30,08-00803,23,2,3,4,6,4,9,2,2,23920.988567829132,8,8,78400.0,4,429,4,1,1,2,1
31,30-00600,17,1,3,2,5,0,5,2,0,22402.309624910355,14,7,79200.0,3,466,6,N,1,1,2
32,36-04010,44,2,4,1,1,7,9,2,1,30590.12217080593,8,1,518400.0,8,55,N,2,N,1,1
33,19-01700,87,1,6,2,2,6,N,2,1,22673.345000505447,10,3,52950.0,7,186,N,2,1,2,2
34,28-01100,26,1,N,0,3,9,8,1,1,29082.15374714136,3,12,36300.0,6,218,N,1,1,1,1
35,06-07502,87,2,1,2,9,5,9,1,1,26036.71214199066,6,10,777000.0,5,501,N,N,1,2,2
36,51-01301,7,2,2,4,3,0,6,1,0,30160.454634785652,18,11,521000.0,4,109,5,2,1,1,2
37,06-07502,87,2,5,1,2,4,N,2,1,28102.96146965027,18,5,10500.0,6,267,N,2,N,2,2
38,32-00405,37,1,4,3,7,9,2,1,1,30169.450973033905,18,4,383800.0,6,291,5,1,1,2,2
39,17-03531,35,2,1,1,8,3,4,2,0,29482.01435303688,10,N,117200.0,8,17,3,N,2,2,1
40,40-00200,73,2,2,2,2,3,N,1,0,34600.7645971179,4,6,213600.0,2,366,4,1,1,1,1
41,28-01100,18,1,6,2,8,4,N,2,2,25564.486639261246,0,4,260300.0,8,347,1,1,2,1,1
42,08-00803,11,2,1,4,2,2,3,3,0,24542.068345308304,2,12,12100.0,2,145,1,2,N,2,2
43,36-04010,92,2,3,3,4,7,7,2,1,26760.549540877342,N,5,110440.0,7,149,4,2,2,2,2
44,17-03531,13,1,N,4,4,6,7,2,0,24351.567014217377,10,6,14970.0,9,108,N,N,1,2,1
45,38-00100,45,1,2,0,7,5,9,3,1,25427.83495104313,0,5,93100.0,1,448,3,1,2,1,1
46,40-00200,80,1,4,2,7,N,8,2,2,21646.19544005394,1,6,64840.0,3,113,N,2,N,1,1
47,30-00600,38,1,3,2,9,4,6,2,0,30437.956448853016,15,1,210200.0,0,223,6,2,N,2,2
48,36-03710,42,2,N,1,7,4,9,3,0,22679.13948392868,13,9,64240.0,1,310,3,2,1,2,1
49,19-01700,55,1,3,4,9,5,11,2,0,36176.95708310604,5,N,131400.0,0,138,N,2,2,2,1
50,26-02702,38,2,5,2,6,5,7,1,0,26613.417989969254,2,10,87250.0,4,179,5,2,1,1,1
51,28-01100,19,2,3,2,5,0,8,3,2,21720.45269703865,17,4,59050.0,N,334,2,1,1,2,2
52,32-00405,42,1,1,0,5,9,11,3,2,27151.57905137539,9,2,24900.0,3,282,4,2,N,1,2
53,51-01301,65,1,1,3,4,1,10,2,1,25424.863996863365,3,12,79950.0,N,353,6,1,1,2,2
54,40-00200,16,1,3,2,7,6,2,2,0,31040.900274276733,9,7,8150.0,6,415,2,2,N,2,2
55,06-08507,55,2,2,0,9,3,6,1,0,24364.682951927185,12,12,75200.0,2,223,N,1,1,2,1
56,51-51255,54,2,2,3,1,N,10,1,0,25078.95969724655,14,10,57700.0,3,429,N,1,2,2,1
57,06-08507,85,2,4,0,5,N,5,2,1,32244.30519400537,1,1,32120.0,2,321,2,1,2,2,2
58,51-01301,59,2,4,3,1,6,6,3,1,27051.667902827263,8,N,4.0,5,127,3,2,2,2,1
59,28-01100,1,1,3,1,9,5,6,2,1,24382.136697530746,4,4,313000.0,N,59,N,1,N,2,1
60,17-03531,23,1,1,3,6,2,7,3,2,22196.24764060974,3,8,294000.0,3,303,6,1,2,1,2
61,38-00100,88,1,4,0,5,5,N,2,0,32909.68062725291,N,4,1580.0,8,262,N,1,N,1,2
62,36-04010,61,1,5,2,7,4,N,2,1,29040.187188744545,0,4,23000.0,0,253,4,N,N,2,2
63,36-04010,45,2,1,0,4,1,N,2,0,26663.38235116005,11,2,230000.0,2,284,6,2,1,1,2
64,29-01901,88,1,1,1,8,9,11,2,1,28285.690772891045,10,5,26900.0,5,213,4,N,1,2,1
65,26-02702,3,1,3,3,5,5,3,3,2,28255.55164849758,1,3,401400.0,2,203,6,2,1,2,2
66,51-51255,48,1,2,2,9,0,9,1,0,27003.873910069466,1,2,420000.0,9,155,4,1,1,2,1
67,01-01301,82,2,1,0,9,3,N,1,1,27424.353260159492,6,1,1500.0,6,1,3,1,N,1,1
68,17-03531,11,2,4,1,7,9,5,1,2,21509.697522878647,17,7,47100.0,6,81,5,2,N,1,1
69,28-01100,48,2,1,2,2,6,12,2,2,29398.594050467014,14,11,44100.0,3,431,N,2,2,1,2
70,40-00200,71,1,4,2,5,2,11,2,1,30015.687984883785,1,12,569800.0,0,11,3,2,2,2,1
71,30-00600,4,2,4,0,2,3,4,3,2,26302.169289946556,16,12,60700.0,8,335,N,N,N,1,1
72,17-03531,32,2,N,1,1,5,5,2,0,27568.16579735279,N,4,940.0,N,116,N,1,1,1,2
73,38-00100,21,1,3,3,6,N,4,1,0,32191.142944306135,15,N,8150.0,9,456,2,2,N,2,2
74,38-00100,10,2,5,1,7,6,8,3,1,25640.73315656185,1,9,87010.0,0,183,2,1,1,2,2
75,13-04600,2,1,4,3,2,N,3,1,2,36749.946797549725,12,7,595000.0,7,334,3,1,2,1,2
76,36-03710,57,2,1,4,2,7,9,1,2,22005.07069325447,16,9,251000.0,0,133,4,N,2,2,2
77,30-00600,83,1,6,0,6,3,10,1,2,26973.375010252,11,9,220.0,4,272,3,N,2,1,2
78,24-01004,65,1,1,3,1,6,8,1,2,26475.667448997498,9,1,343500.0,0,199,5,2,N,1,2
79,13-04600,30,2,4,2,7,6,10,1,1,27077.24661743641,14,5,34690.0,8,387,4,2,2,1,2
80,28-01100,92,2,4,2,4,0,11,2,2,20506.903342962265,11,6,277100.0,4,396,1,1,2,1,1
81,30-00600,68,1,N,0,4,1,10,2,2,22916.87439775467,6,4,35250.0,0,171,2,1,N,1,1
82,06-07502,92,2,2,4,9,5,6,1,2,29422.985554993153,2,11,66100.0,N,202,3,1,2,1,2
83,28-01100,69,1,4,2,1,4,N,2,2,32303.309675477445,18,4,44100.0,5,344,6,2,2,2,2
84,29-01901,74,1,5,2,2,3,6,1,0,28027.320761442184,9,2,40700.0,0,487,6,N,1,1,2
85,13-04600,89,1,1,0,9,1,10,1,2,28508.262397408485,8,12,1560.0,5,478,1,2,2,1,1
86,08-00803,75,2,4,3,8,N,3,2,1,30227.188826560974,3,4,65100.0,N,255,2,2,1,2,2
87,06-08507,28,1,3,0,6,6,5,1,0,25223.387806773186,10,4,453900.0,8,312,1,N,2,2,1
88,26-02702,2,1,5,3,9,0,N,3,1,27270.439185857773,7,10,93030.0,8,352,4,N,2,1,2
89,29-01901,30,1,6,3,3,6,6,1,2,24034.86407971382,1,5,19700.0,5,255,N,1,1,1,1
90,19-01700,36,2,2,0,5,7,6,3,1,22807.873672008514,16,4,44200.0,N,55,4,2,1,1,2
91,13-04600,86,1,1,2,3,N,N,2,2,28160.833079576492,8,9,175100.0,5,118,4,2,1,1,1
92,17-03529,40,1,N,1,8,2,8,3,2,33229.92778597772,7,2,571280.0,N,364,1,N,2,1,2
93,36-03710,18,2,2,1,7,2,5,1,2,19096.00081539154,12,1,375750.0,6,251,N,1,2,2,2
94,06-08507,21,2,2,2,7,3,8,3,0,25718.277208566666,14,9,174900.0,3,466,1,1,N,2,2
95,32-00405,29,1,4,3,6,3,8,3,0,39576.24465203285,N,1,40010.0,0,306,4,2,N,1,2
96,36-03710,71,2,N,3,8,1,6,2,1,24495.744696617126,14,7,124700.0,8,129,1,N,1,1,2
97,36-04010,80,2,2,2,4,1,10,1,2,27870.50309932232,10,7,125000.0,8,51,4,N,1,1,1
98,29-01901,46,1,2,0,5,6,N,1,0,32729.548361323774,17,7,640.0,5,33,5,2,2,1,1
99,32-00405,64,1,4,1,8,1,2,2,1,26925.0450155735,5,10,10.0,6,335,3,1,1,2,2
100,36-03710,81,2,1,4,2,3,9,2,1,31531.978472977877,6,9,5200.0,1,80,3,1,1,1,2
101,17-03529,48,1,2,0,9,6,6,1,0,23564.722052574158,10,3,237000.0,N,56,5,2,2,1,2
102,32-00405,27,1,2,3,2,1,8,3,2,23000.42040205002,10,7,35200.0,1,306,3,2,2,2,1
103,26-02702,39,1,N,1,3,N,11,1,2,27061.93102157116,9,7,185300.0,9,421,5,2,N,2,1
104,19-01700,49,2,2,4,2,0,6,3,0,32212.33698746562,2,9,21590.0,N,480,1,1,2,1,1
105,36-03710,74,1,5,2,5,1,5,1,1,17149.449796438217,9,4,13000.0,7,258,3,2,N,2,1
106,32-00405,74,2,5,2,5,0,7,3,1,18690.10677075386,1,4,-6400.0,1,467,5,2,1,2,2
107,32-00405,44,2,1,0,6,1,7,2,1,32726.677793091163,18,1,2990.0,1,268,N,N,N,1,2
108,29-01901,33,1,1,1,8,5,2,3,2,19575.000054597855,3,10,147200.0,0,146,N,N,1,2,1
109,08-00803,47,1,N,2,7,2,12,1,1,29400.513747692108,7,9,150.0,2,400,6,1,1,2,1
110,51-01301,85,1,N,4,8,2,5,1,1,26407.524421572685,18,10,56400.0,7,378,5,2,2,2,2
111,36-04010,84,1,5,1,4,6,6,1,2,23551.148218870163,13,12,223200.0,6,357,N,2,N,1,2
112,24-01004,81,2,2,3,3,N,5,3,1,33290.368470683694,2,2,146400.0,5,353,3,N,N,2,2
113,36-04010,76,2,2,0,5,1,3,1,0,30536.56859821081,16,1,4100.0,9,280,6,1,N,2,2
114,28-01100,36,2,4,2,3,3,6,3,1,24850.10054564476,0,5,217600.0,1,203,3,2,2,2,2
115,24-01004,53,2,2,2,9,6,5,3,1,18375.458998441696,3,7,202000.0,N,310,N,2,N,2,2
116,29-01901,65,2,3,0,2,5,2,2,0,25820.17224764824,8,7,91200.0,0,235,5,2,N,2,1
117,36-04010,57,1,N,2,3,0,5,2,2,30763.19843581319,6,12,187700.0,5,113,5,N,1,2,1
118,32-00405,37,1,2,1,3,4,2,1,1,27030.15118455887,7,3,255120.0,9,318,N,2,1,1,1
119,06-08507,84,2,2,0,9,4,10,2,0,35516.44357597828,N,1,37400.0,9,484,5,2,N,1,2
120,36-03710,38,2,N,3,5,6,4,3,2,22787.09163761139,0,6,16990.0,2,383,N,2,1,1,1
121,51-01301,7,2,N,1,8,1,9,1,0,21308.53961443901,2,N,160800.0,1,140,3,1,N,2,1
122,32-00405,0,1,4,2,9,9,6,1,1,32824.797741630115,11,N,41100.0,5,474,3,2,1,1,1
123,06-07502,74,1,3,0,3,4,4,1,1,22935.744789600372,17,10,24300.0,7,69,4,N,2,2,2
124,06-08507,32,1,N,1,5,3,N,2,1,24573.511838674545,17,3,52030.0,4,24,1,2,N,1,1
125,29-01901,33,1,6,3,8,5,N,2,2,26609.688920140266,7,4,39500.0,N,249,3,1,N,1,2
126,08-00803,55,1,1,0,7,6,7,1,2,31848.553753107786,18,8,16240.0,5,193,5,1,1,2,2
127,24-01004,95,1,N,4,9,2,6,1,1,27666.007138848305,4,3,8440.0,1,420,5,1,1,1,2
128,19-01700,93,2,2,4,4,6,3,1,2,24866.02780854702,17,3,93400.0,5,291,3,2,1,1,2
129,30-00600,38,1,6,1,6,7,11,3,1,31399.075503110886,6,7,99100.0,8,177,3,N,2,1,2
130,36-04010,35,1,6,1,8,5,3,3,0,26862.366474032402,4,8,178800.0,0,57,6,2,1,1,2
131,24-01004,54,2,1,2,1,5,8,2,1,26803.85683631897,2,4,33900.0,0,178,3,2,1,2,2
132,01-01301,5,2,5,2,5,1,2,2,0,26439.180265426636,8,1,159800.0,5,70,2,2,N,1,2
133,36-04010,32,2,1,3,9,3,7,2,1,26559.76458823681,17,11,61600.0,2,346,4,N,2,2,1
134,32-00405,22,1,2,1,6,0,7,3,2,30263.78853148222,0,5,710.0,5,93,4,N,2,2,2
135,30-00600,71,1,1,0,4,4,7,1,2,25991.949147343636,0,6,593000.0,6,74,6,1,1,1,1
136,36-04010,5,1,5,2,9,9,4,1,0,28833.71075487137,0,N,369000.0,7,339,5,2,1,2,1
137,28-01100,23,2,N,3,8,N,9,3,0,20672.257494688034,10,8,134000.0,7,412,5,N,N,2,1
138,36-04010,92,2,5,0,1,0,2,2,2,31073.689020186663,12,10,99000.0,4,143,3,1,N,2,1
139,01-01301,9,1,N,3,2,0,8,1,0,34368.721896767616,17,3,247000.0,3,456,5,1,1,1,2
140,06-07502,80,2,2,2,8,4,2,2,2,21572.47516131401,9,9,59050.0,6,369,N,2,1,1,2
141,40-00200,17,1,3,2,9,1,6,2,1,33824.70032802224,N,10,68400.0,7,354,1,2,2,2,1
142,24-01004,82,1,6,3,5,4,10,3,1,28067.930473446846,18,11,9000.0,0,48,1,1,N,1,1
143,28-01100,64,2,2,4,4,9,3,1,1,24343.197964191437,12,5,18160.0,5,60,4,2,1,1,2
144,17-03531,94,1,2,0,4,9,12,3,0,32461.846003592014,11,3,1890.0,0,470,3,1,N,1,2
145,08-00803,59,1,5,2,6,0,2,3,0,28373.765944600105,0,12,582100.0,9,6,5,2,1,2,1
146,19-01700,13,1,3,3,1,N,7,3,1,21532.56791448593,13,N,3750.0,0,413,5,1,1,2,2
147,36-04010,52,1,4,1,6,9,10,1,0,32837.04654337745,16,11,4350.0,0,70,5,N,1,2,1
148,30-00600,69,2,1,4,6,2,6,2,0,25154.207923173904,16,4,185100.0,4,121,6,N,N,2,2
149,36-03710,12,2,1,0,4,6,7,1,0,24119.703713417053,4,3,-8400.0,9,139,4,1,1,1,2
150,51-01301,71,1,3,3,5,4,4,2,2,24401.67391872406,4,3,39120.0,0,355,3,N,1,2,2
151,28-01100,32,2,2,2,4,9,8,1,2,29085.074908792973,8,12,25200.0,N,340,2,1,1,2,1
152,01-01301,75,2,2,0,7,3,4,1,0,17048.785902023315,17,9,298300.0,3,200,5,1,2,2,1
153,51-01301,47,1,4,1,3,9,3,1,0,21965.9249792099,12,11,42700.0,6,49,N,N,1,2,1
154,06-08507,40,1,1,0,3,1,3,2,1,26179.773885965347,4,9,8900.0,6,104,6,N,N,2,2
155,17-03531,19,1,1,0,5,0,11,1,1,31337.302868276834,11,6,105400.0,3,108,3,1,1,2,2
156,38-00100,62,1,3,4,4,5,8,2,2,25266.279188156128,7,3,99500.0,2,99,N,1,N,2,1
157,36-04010,20,2,4,3,3,N,5,2,1,32893.56687882356,1,1,23900.0,5,130,5,2,N,1,2
158,28-01100,4,1,1,0,9,2,7,3,1,28929.119828999043,10,5,140100.0,8,6,2,1,2,2,2
159,06-07502,34,1,N,0,1,3,10,2,0,26818.65790939331,3,4,74400.0,8,241,1,N,1,2,1
160,26-02702,41,2,3,3,8,9,3,3,1,31234.627624213696,16,5,34150.0,0,213,N,N,1,2,1
