,SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,HISP,PUMA,INDP_CAT
0,2,1,1,1,4,5,0,36-04010,11
1,1,6,2,1,4,7,0,36-04010,3
2,2,2,1,1,N,6,1,24-01004,10
3,2,4,3,2,7,5,0,38-00100,14
4,1,2,1,1,9,3,0,26-02702,N
5,1,2,1,2,1,4,0,36-03710,15
6,1,1,9,1,6,9,0,36-04010,15
7,1,4,1,1,7,9,0,29-01901,N
8,1,1,1,1,6,8,0,36-04010,4
9,1,5,2,0,0,11,0,08-00803,2
10,2,1,2,2,6,4,0,51-51255,10
11,2,1,1,1,6,7,4,17-03529,N
12,2,4,1,1,8,5,0,40-00200,N
13,1,6,1,1,4,10,0,24-01004,N
14,2,6,1,2,N,7,4,24-01004,N
15,2,6,2,1,1,7,0,13-04600,6
16,1,6,2,2,3,7,0,08-00803,12
17,2,4,1,1,6,9,0,17-03529,10
18,2,6,1,1,0,3,0,36-04010,N
19,1,1,1,2,2,1,0,24-01004,N
20,1,6,1,2,8,4,0,13-04600,N
21,1,6,1,1,1,8,0,36-04010,N
22,1,5,1,2,2,8,4,17-03531,13
23,2,1,1,1,2,7,0,51-51255,12
24,1,6,1,1,6,3,0,28-01100,4
25,2,1,1,1,N,3,0,36-04010,3
26,1,1,1,1,6,9,0,24-01004,N
27,2,6,1,2,0,7,0,06-07502,N
28,2,1,1,1,8,10,0,32-00405,N
29,1,6,1,2,2,4,0,24-01004,15
30,1,4,1,1,2,4,0,06-07502,11
31,2,6,2,1,1,8,0,24-01004,10
32,1,6,2,1,9,9,0,06-08507,N
33,1,1,1,1,9,7,0,29-01901,12
34,1,5,1,1,2,8,0,36-04010,N
35,2,3,1,2,4,10,0,24-01004,10
36,1,1,1,1,1,2,1,08-00803,11
37,2,1,2,1,5,5,0,51-01301,12
38,2,6,1,2,4,9,0,13-04600,14
39,2,1,1,2,4,10,0,26-02702,10
40,1,6,2,2,7,4,0,17-03531,12
41,2,2,1,2,8,5,0,36-04010,16
42,2,1,2,1,1,3,0,17-03529,6
43,2,6,2,1,2,10,0,36-03710,11
44,2,6,2,1,2,8,0,06-07502,15
45,2,6,6,2,0,7,0,32-00405,9
46,1,1,6,2,6,5,0,51-51255,11
47,1,1,3,2,5,7,1,36-03710,N
48,2,6,2,1,0,5,0,26-02702,7
49,2,6,1,1,0,11,2,36-04010,14
50,2,2,2,2,7,12,1,19-01700,3
51,2,6,1,2,6,6,0,40-00200,15
52,2,4,2,2,4,12,0,36-04010,5
53,1,1,2,1,0,7,0,19-01700,N
54,1,4,1,1,7,7,0,36-04010,N
55,1,1,1,0,0,9,0,26-02702,11
56,1,6,1,1,0,4,0,32-00405,6
57,2,4,1,2,0,7,0,28-01100,9
58,1,1,6,1,5,4,0,08-00803,12
59,2,1,1,1,7,5,2,06-07502,11
60,1,1,9,1,8,7,0,51-51255,N
61,1,6,1,2,1,7,0,17-03529,0
62,1,1,2,1,0,1,0,51-01301,3
63,1,1,1,1,5,7,0,30-00600,6
64,2,6,1,2,2,10,0,26-02702,6
65,2,5,2,2,7,9,0,24-01004,N
66,2,6,2,2,1,4,4,36-04010,14
67,1,6,9,1,2,5,0,30-00600,10
68,1,6,1,2,0,10,0,19-01700,N
69,1,6,6,1,0,7,2,13-04600,10
70,2,1,1,1,3,9,0,26-02702,N
71,1,6,1,1,0,7,0,17-03529,3
72,1,2,2,1,9,7,0,17-03529,10
73,1,1,2,0,7,12,0,32-00405,N
74,2,N,2,2,4,1,0,30-00600,N
75,2,6,3,1,0,10,0,24-01004,N
76,1,6,2,1,5,5,0,17-03531,10
77,1,4,2,0,4,5,0,51-51255,N
78,2,1,1,1,6,7,0,40-00200,N
79,1,6,1,1,2,9,4,30-00600,11
80,1,6,1,2,6,5,0,24-01004,N
81,1,4,1,2,0,10,0,30-00600,14
82,2,1,1,1,4,9,0,17-03529,14
83,1,2,1,2,0,5,0,17-03531,16
84,1,6,1,1,5,7,0,30-00600,14
85,1,6,1,2,8,5,0,19-01700,6
86,1,1,1,2,0,5,0,08-00803,9
87,2,4,2,0,3,4,0,24-01004,N
88,2,6,1,2,1,7,0,17-03529,N
89,1,1,1,2,4,4,0,36-03710,12
90,2,1,2,1,4,7,0,17-03529,10
91,1,1,3,1,2,7,0,08-00803,N
92,2,3,2,2,3,7,0,06-08507,16
93,2,4,2,1,2,9,0,30-00600,11
94,1,1,1,2,2,10,0,06-08507,15
