,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,HOUSING_TYPE,OWN_RENT,EDU,PINCP_DECILE,DVET
PUMA,1.7763568394002505e-15,0.027259388153841407,0.023353067674665842,0.07329635115034887,-0.09056011848194238,0.014075416032941025,-0.0738117605067946,0.07645171430101924,0.004768029198849324,0.08722477499930528,0.0014969685048243416,-0.04124606248748615
AGEP,0.027259388153841407,4.440892098500626e-16,-0.056963643143890394,-0.10451802291309113,0.08669222668467118,0.06995630370207508,0.43074361507987136,0.07272187455469016,0.12235212516886343,-0.4699009238736658,-0.5018010489457604,-0.08596574089248689
SEX,0.023353067674665842,-0.056963643143890394,0.0,-0.005561613317619386,-0.005517395675974046,-0.002555320808348978,-0.0003084115593593277,-0.002084442037007972,-0.029485364814581548,-0.02957265660938278,0.08518760286896507,0.09230139828964715
MSP,0.07329635115034887,-0.10451802291309113,-0.005561613317619386,-1.1102230246251565e-16,-0.02202719423688246,0.001540857142417481,0.418701597266736,0.0014485959522739233,-0.022263742689206084,-0.2601106513530441,-0.14912503945679356,0.027295945145745966
HISP,-0.09056011848194238,0.08669222668467118,-0.005517395675974046,-0.02202719423688246,8.881784197001252e-16,-0.17880396446474095,0.029232763223492123,-0.011890938410186638,-0.10626183800562626,-0.008559823445566384,0.08335089463800158,0.032935395623955685
RAC1P,0.014075416032941025,0.06995630370207508,-0.002555320808348978,0.001540857142417481,-0.17880396446474095,0.0,-0.0698717120389763,0.021238576681631774,-0.10660122251260021,0.09914325605782238,0.12637982660638009,0.021224624636110533
NOC,-0.0738117605067946,0.43074361507987136,-0.0003084115593593277,0.418701597266736,0.029232763223492123,-0.0698717120389763,-2.220446049250313e-16,0.34263788316925975,-0.21560267584028356,0.03277133851017161,0.2622424587465457,0.038502135175718155
HOUSING_TYPE,0.07645171430101924,0.07272187455469016,-0.002084442037007972,0.0014485959522739233,-0.011890938410186638,0.021238576681631774,0.34263788316925975,1.2212453270876722e-15,0.5618318157173091,0.01935739025761543,0.15206427626605837,0.014181183327310406
OWN_RENT,0.004768029198849324,0.12235212516886343,-0.029485364814581548,-0.022263742689206084,-0.10626183800562626,-0.10660122251260021,-0.21560267584028356,0.5618318157173091,3.774758283725532e-15,0.04981239508479368,-0.018064995742209107,-0.00870938589213318
EDU,0.08722477499930528,-0.4699009238736658,-0.02957265660938278,-0.2601106513530441,-0.008559823445566384,0.09914325605782238,0.03277133851017161,0.01935739025761543,0.04981239508479368,-2.220446049250313e-16,-0.6776259169591567,-0.0401481219155838
PINCP_DECILE,0.0014969685048243416,-0.5018010489457604,0.08518760286896507,-0.14912503945679356,0.08335089463800158,0.12637982660638009,0.2622424587465457,0.15206427626605837,-0.018064995742209107,-0.6776259169591567,0.0,-0.019105923496235973
DVET,-0.04124606248748615,-0.08596574089248689,0.09230139828964715,0.027295945145745966,0.032935395623955685,0.021224624636110533,0.038502135175718155,0.014181183327310406,-0.00870938589213318,-0.0401481219155838,-0.019105923496235973,-3.9968028886505635e-15
