,feature,divergence
1,AGEP,3.427026154342913
23,WGTP,2.4799651567944254
22,PWGTP,2.3621897636860227
16,POVPIP,1.6885735623599702
14,PINCP,1.2000357653791134
15,PINCP_DECILE,1.1662732474964232
10,DENSITY,0.8514571428571428
0,PUMA,0.8514571428571428
11,INDP,0.7970405553525751
13,EDU,0.6300679377602452
9,OWN_RENT,0.34444444444444444
7,NPF,0.32175506142529003
12,INDP_CAT,0.3135428084277189
5,RAC1P,0.2876198190900499
3,MSP,0.20533069458631256
6,NOC,0.12887402452619845
4,HISP,0.06078877033482753
18,DREM,0.04231002688819327
8,HOUSING_TYPE,0.03576812905171114
19,DPHY,0.02883028187648845
21,DEAR,0.022905794737986516
2,SEX,0.011752391381364968
17,DVET,0.011297472667252187
20,DEYE,0.004549229086321577
