,INDP,count_target,count_deidentified
3,1070,2,1.0
26,1080,1,0.0
29,1090,6,0.0
38,1170,3,0.0
5,1180,8,0.0
18,1270,4,0.0
9,1280,11,1.0
23,1290,1,0.0
27,1370,3,0.0
28,1390,1,0.0
40,1480,1,0.0
39,1670,1,0.0
13,1691,2,0.0
22,1790,5,0.0
37,1870,4,0.0
30,1880,3,0.0
34,1990,3,0.0
7,2090,2,0.0
36,2190,5,1.0
24,2270,1,0.0
35,2280,3,0.0
20,2290,2,1.0
12,2370,4,0.0
19,2390,2,0.0
41,2480,3,0.0
42,2490,1,1.0
21,2570,2,0.0
15,2590,1,0.0
10,2670,6,0.0
1,2770,4,0.0
4,2870,2,0.0
6,2880,4,0.0
32,2890,4,1.0
46,2970,1,0.0
16,2980,4,0.0
44,3080,1,0.0
45,3180,1,0.0
0,3291,11,1.0
17,3370,1,0.0
43,3380,2,0.0
31,3490,10,0.0
2,3570,14,1.0
14,3580,8,1.0
25,3895,3,0.0
8,3960,4,0.0
33,3980,5,0.0
11,3990,11,0.0
