PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP,target
25-01000,9,1,1,0,1,1,7,1,1,3683.9,6570,3,5,94400.0,N,0,N,2,2,2,2,94,328,2629
25-01300,10,1,1,0,1,0,3,1,2,2195.3,9570,18,10,107000.0,9,498,N,2,2,2,2,89,123,2813
25-00503,4,2,4,0,1,0,N,1,1,2195.3,6380,1,7,185000.0,6,309,3,2,1,2,1,92,661,4667
25-02800,0,1,6,0,1,0,3,1,2,2447.1,7590,9,N,402000.0,8,497,N,2,2,2,2,131,146,2619
25-00703,28,2,6,0,1,3,7,1,1,2447.1,9590,9,6,23100.0,6,86,N,2,2,2,2,394,661,3721
25-02800,20,1,6,2,1,2,5,1,1,2872.7,1070,9,7,214000.0,8,496,4,2,2,2,2,96,98,973
25-01300,0,1,6,0,1,1,3,1,1,1457.2,3980,N,9,32530.0,6,53,N,2,2,2,2,122,102,5288
25-02800,34,2,N,0,1,4,4,2,1,2872.7,1070,9,3,122850.0,4,0,N,2,2,2,2,146,661,2619
25-01300,21,1,6,0,7,0,3,1,2,2872.7,6290,18,5,300300.0,N,304,N,2,2,2,2,364,136,0
25-02800,21,2,2,0,1,0,N,1,1,2447.1,N,0,5,138000.0,8,332,4,2,2,2,2,301,96,0
25-02800,0,2,1,1,1,0,N,1,2,2447.1,9770,9,3,111500.0,8,55,N,1,2,2,2,92,176,2619
25-00503,0,1,6,0,1,0,2,1,2,1457.2,770,9,11,N,5,27,N,2,2,2,2,525,176,2619
25-01300,0,1,6,0,3,2,3,1,1,2447.1,N,9,5,N,0,501,N,2,2,2,2,661,661,2619
25-01300,1,1,1,0,1,0,2,1,1,3683.9,6992,9,8,300000.0,7,497,N,2,2,2,1,91,175,2682
25-02800,46,2,N,0,7,0,2,1,2,1457.2,4870,9,7,99100.0,3,174,6,2,2,1,2,92,147,6893
25-00503,0,1,1,0,1,0,2,1,2,2447.1,9690,1,N,37800.0,6,495,N,2,2,2,2,80,175,2619
25-00503,0,1,1,0,1,1,3,1,0,1457.2,4380,0,N,63500.0,3,496,N,2,1,2,2,94,99,3326
25-00703,16,2,4,0,2,0,3,1,2,3683.9,4380,N,9,104000.0,4,N,N,2,2,2,2,128,35,3626
25-02800,37,1,6,0,1,0,N,2,2,2195.3,2280,12,1,130000.0,4,493,N,1,2,2,1,38,159,4079
25-00703,0,2,3,0,1,1,2,1,2,2447.1,6672,14,5,26100.0,6,495,N,2,2,2,2,139,145,3675
25-01300,19,1,1,1,6,2,2,2,0,2447.1,9290,N,N,1140.0,0,15,2,2,2,2,1,122,51,5836
25-00503,0,1,6,0,1,0,2,1,2,2447.1,9770,9,9,402000.0,5,88,N,N,2,1,2,148,165,3034
25-01300,3,2,6,0,1,0,2,1,1,2447.1,9770,2,7,N,5,0,6,2,2,2,1,650,478,0
25-01300,0,2,3,0,7,0,3,1,1,2872.7,9680,9,5,N,2,431,N,2,2,2,2,175,104,0
25-01000,49,1,2,0,1,N,N,1,2,1457.2,9770,2,5,30600.0,9,110,N,2,1,2,2,333,85,4035
25-02800,0,1,5,0,1,N,N,1,1,2872.7,N,0,9,143000.0,2,55,N,2,2,2,2,175,160,2619
25-01300,0,1,N,0,1,0,2,1,1,1457.2,N,1,9,N,5,296,6,2,2,2,2,424,176,5606
25-01300,3,2,1,0,1,4,5,1,0,2195.3,9780,2,8,64020.0,1,276,5,2,2,2,2,189,133,3005
25-01300,11,1,1,0,1,3,2,1,1,2447.1,N,5,9,21500.0,5,495,N,2,2,2,2,134,130,4665
25-00503,0,2,6,0,1,0,2,1,1,1457.2,N,4,9,65020.0,8,280,N,2,2,2,2,500,92,2746
25-00703,56,1,6,0,7,4,3,1,2,2195.3,6380,9,8,32490.0,4,501,N,2,N,2,2,130,34,4335
25-01300,30,2,1,0,1,0,6,1,1,2195.3,4780,12,6,-1600.0,8,144,N,2,2,2,2,80,170,5583
25-00503,3,2,5,0,1,0,5,1,1,1457.2,1880,9,N,N,1,25,N,2,1,2,2,167,167,2619
25-01300,22,2,6,0,1,2,2,1,0,2447.1,4980,N,11,103000.0,0,N,N,2,2,2,2,111,67,0
25-00503,0,1,1,0,1,0,3,1,1,2872.7,6770,9,9,22000.0,5,496,N,2,2,2,2,118,169,3215
25-02800,44,2,1,0,1,0,N,1,1,1457.2,N,7,4,N,4,61,N,2,2,2,2,154,61,5292
