SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,HISP,PUMA,INDP_CAT,target
1,1,1,1,N,4,0,25-00503,15,6981
1,6,1,1,9,7,3,25-00703,6,7633
1,N,6,1,6,11,0,25-02800,N,3169
1,6,1,1,9,8,0,25-02800,N,658
1,2,1,1,9,7,0,25-00703,9,3146
2,3,1,1,5,1,0,25-02800,N,4087
1,1,1,2,7,5,4,25-01000,N,7633
1,1,1,1,3,6,0,25-01300,N,5972
2,1,1,2,9,5,0,25-00503,14,5991
1,1,1,2,7,1,0,25-00703,18,6183
1,1,1,1,0,5,0,25-02800,15,1303
2,1,1,2,0,5,0,25-01000,4,6783
2,4,1,0,N,4,2,25-01000,6,6988
1,6,1,2,6,5,0,25-01000,14,7633
1,1,6,1,0,4,3,25-01000,N,4425
1,4,1,0,0,9,0,25-02800,12,5733
1,6,1,1,6,6,0,25-01300,14,7633
2,4,1,2,8,5,0,25-02800,9,5077
1,1,1,2,3,8,0,25-00503,15,3689
1,1,1,2,7,10,0,25-01300,N,7089
1,6,1,1,6,8,0,25-02800,N,5818
1,6,1,1,N,1,1,25-00703,N,5030
1,1,1,1,2,4,0,25-01300,3,4249
1,1,5,1,5,8,0,25-02800,N,181
2,3,1,0,8,8,3,25-01000,N,3322
1,1,1,1,N,6,0,25-02800,12,547
1,1,1,1,7,8,0,25-00703,2,3199
1,1,1,2,8,4,0,25-01000,2,3648
1,1,1,1,9,9,0,25-01000,N,3105
2,6,1,1,8,7,0,25-00703,N,7633
1,6,1,1,5,6,0,25-00503,9,2619
1,4,1,2,0,8,0,25-00703,N,4183
2,5,1,1,0,1,0,25-00503,N,0
1,N,1,1,1,6,1,25-01300,12,3667
1,3,1,1,7,8,0,25-00703,N,3592
2,5,1,1,9,5,0,25-01300,14,6830
2,1,1,1,9,12,0,25-01300,13,1132
1,1,1,1,5,10,0,25-00703,14,7633
1,6,1,1,9,5,0,25-01000,N,7633
1,1,1,2,9,5,0,25-00703,6,2308
1,5,1,1,9,10,0,25-01300,14,3002
1,6,1,1,6,11,0,25-00703,17,3411
2,1,1,1,5,8,0,25-01300,17,5270
2,6,1,1,4,4,0,25-01300,3,4352
2,6,9,2,3,6,0,25-02800,N,4702
1,1,1,1,7,5,0,25-00503,N,3106
2,N,1,1,1,10,0,25-00703,9,4404
1,6,1,2,8,4,0,25-01300,11,6522
2,1,1,2,9,7,0,25-01300,13,7004
2,1,1,1,N,1,0,25-01000,N,4620
1,4,1,2,N,11,0,25-00703,6,7633
2,1,1,2,6,10,4,25-01300,14,2051
1,6,1,1,9,9,0,25-00503,N,7346
2,1,1,1,0,11,2,25-00703,13,3459
1,1,1,1,4,5,4,25-00503,9,2470
2,2,1,2,0,5,0,25-01300,N,3760
1,6,1,1,6,5,0,25-01300,12,4043
1,1,1,2,5,4,0,25-00503,9,3794
2,1,1,1,9,4,0,25-01300,11,1032
1,1,1,1,8,5,0,25-00703,N,7633
2,1,1,1,6,8,0,25-02800,3,910
1,1,1,1,N,4,0,25-00703,14,4501
2,1,2,0,0,7,1,25-00703,3,0
1,6,1,0,0,5,0,25-00503,11,7633
2,6,1,0,N,5,0,25-00703,N,6908
2,6,2,1,7,7,0,25-00703,4,1132
2,1,1,1,1,8,0,25-00703,14,6799
2,5,9,2,0,1,3,25-02800,N,7109
2,1,1,2,9,9,0,25-01000,12,7123
2,2,3,1,7,4,0,25-02800,N,1826
2,1,8,2,4,4,0,25-01000,16,1883
1,1,1,1,8,4,0,25-00503,2,4422
2,2,6,1,4,5,0,25-01300,N,644
1,1,7,1,8,1,2,25-00703,N,5761
2,6,6,1,N,N,3,25-02800,2,6851
2,1,1,1,6,2,0,25-01300,N,5883
2,4,1,2,4,12,0,25-02800,12,4350
1,4,1,2,6,8,0,25-02800,4,3935
2,1,1,0,7,2,0,25-00503,N,3240
1,6,1,2,N,9,2,25-01000,12,4557
1,1,3,1,9,6,0,25-00503,5,7633
2,1,1,1,2,6,0,25-00703,15,3600
2,3,8,1,9,9,0,25-01300,4,871
2,3,1,1,9,4,2,25-01000,6,3904
1,4,3,1,3,1,0,25-02800,13,1071
1,5,1,1,7,8,0,25-00503,15,2619
2,1,1,1,0,4,3,25-00503,6,5671
1,1,1,1,9,5,0,25-02800,N,7133
1,1,9,0,0,8,0,25-01000,9,4838
1,5,1,1,N,1,0,25-01000,N,3751
1,6,1,1,7,9,0,25-00503,N,4301
2,1,1,1,6,5,0,25-01300,N,3825
2,6,1,1,N,5,0,25-00703,N,7108
1,1,1,1,6,5,0,25-00503,4,4974
2,1,8,1,4,1,0,25-01000,16,161
1,1,1,2,N,9,0,25-00703,N,7633
2,3,9,1,8,1,0,25-01300,10,6782
1,1,6,1,1,4,4,25-02800,N,1729
1,1,6,1,9,6,0,25-02800,N,5038
1,4,6,1,2,5,0,25-01000,N,5224
2,6,6,2,0,1,0,25-00503,N,0
2,3,1,2,0,5,3,25-01000,15,3761
1,6,1,2,1,6,0,25-01000,12,3897
1,3,2,0,9,10,0,25-01000,15,5881
1,1,1,1,3,7,0,25-02800,2,7633
1,1,1,1,7,5,0,25-00503,12,7633
1,6,1,1,4,3,0,25-00703,12,7356
1,1,6,1,4,11,0,25-01300,N,1083
2,1,1,1,N,9,0,25-00703,15,6225
1,6,5,2,9,1,0,25-01000,5,2522
1,3,1,1,5,5,2,25-01300,9,570
2,1,1,1,9,4,0,25-00503,13,3876
1,5,1,1,4,1,0,25-00703,6,6958
1,1,1,2,3,8,0,25-01300,15,865
2,6,1,2,N,1,0,25-01300,N,5784
1,4,1,1,3,5,0,25-02800,N,6693
1,6,1,1,3,11,0,25-01000,9,6908
2,1,1,1,8,4,1,25-02800,N,5603
2,1,1,1,0,8,0,25-02800,5,541
2,1,1,0,1,2,0,25-00703,14,1234
