SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP,target
2,1,1,1,N,0,25-01300,65,0,2,501,2695
2,6,1,1,6,0,25-00503,38,0,4,500,3763
2,6,1,1,3,0,25-00703,42,0,4,441,4882
2,1,1,1,3,0,25-01000,57,0,2,501,5307
2,4,1,1,2,0,25-00703,51,0,N,52,233
1,1,1,1,3,0,25-00703,84,0,2,288,4178
2,4,1,2,6,0,25-00503,42,0,N,497,0
2,1,1,1,8,0,25-00703,74,2,5,51,850
1,1,1,1,9,0,25-00503,84,0,2,52,2233
1,1,1,1,8,0,25-00703,21,1,4,51,4377
2,4,1,1,1,0,25-00703,54,1,3,51,85
1,1,6,1,3,0,25-00503,62,5,4,464,3267
2,1,1,1,0,0,25-00703,83,0,5,1,3624
2,4,1,1,9,0,25-00503,54,0,N,51,3949
2,6,1,2,3,0,25-02800,60,0,6,214,4871
2,1,6,1,4,0,25-01300,51,2,4,498,3031
2,3,1,1,3,0,25-01300,89,0,4,218,4709
1,1,1,1,0,0,25-00703,28,2,2,52,3809
2,4,1,2,9,0,25-01000,72,0,N,426,4448
2,3,1,1,0,0,25-00503,50,1,5,476,1622
2,1,1,1,N,0,25-00703,56,0,3,54,2461
1,6,2,1,6,0,25-00503,52,0,N,500,2031
2,1,1,1,2,0,25-01300,89,0,2,459,3072
2,6,1,2,1,0,25-00503,74,0,N,99,1997
2,1,1,1,9,0,25-02800,56,2,4,501,2698
1,3,1,1,6,0,25-02800,66,0,N,51,3732
2,1,1,1,7,0,25-01000,39,0,5,52,296
2,1,1,1,0,0,25-00503,41,2,4,52,2003
2,1,1,1,0,0,25-00703,49,2,9,501,3723
1,3,6,1,9,0,25-00703,27,0,4,500,279
1,1,1,1,1,0,25-01000,69,0,2,498,1906
1,1,1,1,8,0,25-02800,24,0,2,53,1390
2,4,1,2,5,0,25-00703,84,0,N,457,1576
2,3,6,2,9,0,25-01000,43,0,N,51,4128
2,1,1,1,8,0,25-00503,72,0,4,394,1064
1,1,1,1,9,0,25-00503,68,0,2,52,4948
2,2,1,1,9,0,25-02800,21,2,4,99,5928
1,1,1,1,N,0,25-02800,38,2,4,55,1077
1,1,1,1,9,0,25-01000,54,0,2,501,756
2,1,1,1,5,0,25-00703,84,0,3,500,1415
1,3,1,1,7,0,25-00703,67,0,2,51,2543
2,6,6,2,2,0,25-01000,61,0,2,207,5894
2,1,1,2,0,0,25-01000,34,0,2,464,5933
1,6,6,2,4,0,25-00503,20,0,N,55,3538
1,1,6,1,0,0,25-00703,26,2,5,51,4183
2,1,1,1,9,0,25-01000,84,0,2,55,3123
1,1,1,1,6,0,25-00703,79,0,N,501,1836
2,3,1,2,5,0,25-01000,48,0,6,455,4198
1,5,1,1,0,0,25-00703,43,3,4,209,0
2,6,1,1,4,0,25-01300,32,0,N,77,3478
1,6,1,1,8,0,25-00503,61,2,4,115,5125
2,1,1,1,3,0,25-00703,46,0,2,73,5987
2,1,1,1,8,0,25-00703,67,0,2,53,736
2,1,1,2,6,0,25-01300,92,0,2,142,543
1,1,1,1,9,0,25-02800,60,2,6,501,3211
1,6,1,2,2,0,25-00703,58,0,2,303,3941
1,6,1,1,5,0,25-00503,94,0,3,53,1702
1,1,1,1,N,0,25-00503,70,4,2,53,2203
2,1,1,1,7,0,25-01300,52,2,3,501,4852
2,6,1,1,4,0,25-00503,86,0,3,2,2717
1,1,1,0,9,0,25-00503,38,1,3,51,3988
2,6,6,2,6,0,25-00703,21,2,4,81,357
2,1,1,1,2,0,25-00703,53,0,N,413,5308
1,1,1,1,5,0,25-00703,59,0,2,294,349
2,1,6,1,9,0,25-00703,33,2,4,52,4793
1,1,1,1,3,0,25-00503,72,0,2,52,5062
2,3,1,1,0,0,25-00703,15,0,N,498,0
2,1,1,1,0,0,25-01000,71,0,2,455,4775
1,2,8,1,3,0,25-00503,83,0,2,311,3127
2,6,1,1,6,0,25-02800,88,0,N,499,43
2,6,1,1,3,0,25-00703,1,0,N,N,3623
1,1,1,1,8,0,25-00703,26,2,2,480,4955
