SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP,target
1,N,9,2,0,0,25-00703,83,1,3,388,0
2,3,8,2,2,0,25-01000,56,N,7,433,2477
1,3,7,2,0,0,25-00703,47,1,3,486,855
2,2,8,1,0,3,25-01000,75,5,N,N,522
1,4,5,2,0,0,25-00703,83,5,3,489,0
1,4,2,1,1,0,25-00503,59,0,3,476,0
1,4,1,2,0,0,25-00703,65,1,3,343,1111
1,4,2,1,0,0,25-00503,72,1,N,432,5
2,6,5,2,0,0,25-01300,26,0,6,N,0
1,6,6,2,1,4,25-01300,74,1,7,55,5738
1,1,1,2,0,0,25-00703,22,0,4,34,0
2,4,6,2,7,0,25-00503,55,5,4,481,0
1,4,1,1,0,3,25-00703,52,2,4,N,0
1,6,5,2,0,0,25-00703,93,2,6,52,0
1,3,1,1,2,0,25-00703,17,1,4,N,0
1,1,9,2,0,1,25-00503,78,5,7,306,0
2,N,1,1,0,0,25-00503,86,N,3,52,2139
1,6,9,2,8,0,25-02800,76,1,6,366,1921
1,1,1,2,0,0,25-00503,69,1,3,339,0
1,3,1,2,0,4,25-00703,72,2,3,64,855
2,4,1,2,0,0,25-00503,94,5,4,501,776
1,6,3,2,0,0,25-00703,94,1,5,N,0
2,1,2,2,2,0,25-00703,78,1,4,86,0
1,6,1,2,0,0,25-01300,41,1,3,91,855
1,4,6,2,4,4,25-01000,34,0,4,293,260
1,3,1,2,8,2,25-00703,29,0,3,55,4519
1,2,1,1,4,0,25-02800,60,0,7,73,0
1,6,6,2,1,1,25-01300,6,1,4,91,1487
1,6,1,2,0,0,25-00503,63,4,3,73,885
1,5,1,2,0,0,25-01300,38,0,4,430,122
2,1,1,2,0,1,25-01300,76,2,2,N,0
1,N,6,2,0,0,25-00703,33,N,4,51,207
1,1,6,2,0,0,25-00503,68,1,N,N,0
2,6,6,1,0,0,25-00703,94,2,4,473,1157
2,N,6,0,0,0,25-01000,53,1,N,448,0
2,6,5,1,2,0,25-00703,67,1,3,N,855
2,N,6,2,8,0,25-00503,67,3,3,55,5626
1,6,7,2,0,0,25-00503,55,1,2,41,855
1,6,2,2,0,0,25-01300,62,0,2,N,0
2,2,1,2,0,1,25-01000,67,2,2,501,0
2,1,1,2,0,0,25-00503,90,2,2,498,0
2,3,3,1,0,0,25-01300,72,5,N,394,0
