SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,AGEP,HOUSING_TYPE,DVET,DEYE,target
1,4,1,1,N,6,47,1,N,1,2897
2,5,7,2,8,N,64,1,N,1,1709
1,1,5,1,5,4,37,1,N,2,255
2,6,1,0,8,5,0,1,5,2,5407
2,1,1,1,N,9,19,1,N,2,6600
2,1,1,1,0,9,5,1,N,2,5780
2,1,1,1,N,10,35,1,N,2,5266
2,3,1,1,4,N,3,1,N,2,2061
1,5,1,1,5,7,56,1,N,2,7118
1,6,6,1,5,3,69,1,6,2,5954
2,1,1,2,N,N,51,1,N,1,1378
1,N,1,1,0,10,6,3,N,2,3235
1,6,7,1,8,N,31,1,N,2,3080
2,6,1,1,9,5,53,1,N,1,1342
1,2,1,2,6,5,34,1,N,2,4502
2,1,1,1,2,6,21,1,N,2,0
2,1,1,1,6,9,68,1,N,2,1723
1,2,7,1,9,8,44,1,3,1,1361
1,1,1,1,N,10,0,1,N,2,2338
1,4,1,1,1,11,12,1,N,2,2895
2,1,1,2,2,9,34,1,N,2,7633
2,5,7,1,3,8,29,1,5,2,4613
2,1,1,1,1,5,14,1,N,2,3439
2,6,1,1,3,11,54,1,N,2,3567
1,6,6,0,1,7,0,1,N,2,1747
2,1,1,2,6,9,3,1,6,2,855
1,1,1,1,N,5,74,1,N,2,0
2,1,9,0,5,9,3,1,2,2,1860
2,1,1,1,1,8,45,1,N,2,2867
2,6,1,1,0,5,20,1,N,2,6096
1,1,1,1,N,11,21,1,N,2,1296
2,3,1,1,6,9,40,1,N,2,5546
1,1,1,1,3,4,16,1,N,2,6763
2,1,1,1,9,5,45,1,N,2,1861
1,1,1,1,1,5,8,1,3,2,7633
1,1,1,0,N,N,4,1,N,2,3880
1,1,1,1,9,10,44,1,N,1,1911
1,1,1,1,N,9,21,1,N,2,7633
2,6,1,1,0,9,0,1,N,2,5327
1,1,2,0,9,12,22,1,N,2,2816
2,1,1,1,N,N,15,1,3,2,5246
1,1,1,1,N,10,58,1,N,2,5510
2,6,1,0,4,N,0,3,N,2,1561
2,1,1,1,3,11,0,1,N,2,0
1,1,1,1,4,12,32,1,N,2,3882
1,6,1,2,0,5,43,1,N,2,784
2,6,2,1,1,4,15,1,N,2,5525
2,1,1,2,9,9,39,1,N,2,7633
2,N,2,1,7,6,79,1,N,2,5485
2,1,1,1,N,10,43,1,N,2,4929
2,4,1,1,3,6,59,1,N,1,5988
1,1,1,1,4,11,40,1,1,2,5090
2,4,9,1,0,8,3,1,4,2,5482
1,4,6,1,0,9,57,1,N,2,6354
2,1,1,1,N,9,27,1,N,2,3812
2,1,1,1,4,3,54,1,N,2,5422
2,N,1,2,N,6,31,1,N,2,3452
2,1,1,1,8,10,26,1,N,2,3557
1,6,8,1,0,9,37,1,4,2,1416
1,4,6,1,N,9,44,1,2,2,6357
2,6,1,2,7,5,36,1,N,2,855
1,1,1,1,N,12,21,1,N,2,5262
1,2,5,0,8,1,32,1,6,2,2777
1,1,1,1,6,8,46,1,N,2,4542
1,3,1,1,1,9,82,1,N,2,5141
2,1,1,1,7,5,5,1,N,2,5155
2,1,1,2,2,12,28,1,N,2,2619
1,1,1,1,3,6,35,1,N,2,5210
2,N,1,1,8,N,57,1,N,2,976
2,6,1,2,N,3,15,1,N,2,5985
2,6,3,1,N,4,48,1,N,2,1804
