SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,AGEP,HOUSING_TYPE,DVET,DEYE,target
2,6,6,2,0,4,0,1,N,2,3308
1,1,1,1,7,9,41,1,N,2,4013
1,6,6,1,1,9,35,1,N,2,4314
2,3,1,2,3,5,82,1,N,2,2061
2,3,6,1,6,N,91,1,N,2,2677
2,6,6,0,0,9,33,1,N,2,830
1,1,1,1,4,9,42,1,N,2,0
1,1,1,2,6,8,51,1,N,2,2802
2,3,1,1,5,9,66,1,N,2,2619
2,6,1,1,7,N,58,1,N,2,2619
2,6,1,1,9,7,55,1,N,2,3913
1,1,6,1,3,9,50,1,N,2,3326
1,1,6,1,5,9,61,1,N,2,4299
2,1,1,1,5,N,73,1,N,2,0
1,6,2,1,7,8,37,1,N,2,0
1,1,1,1,4,10,57,1,N,1,5109
2,1,1,1,7,9,56,1,N,2,5095
2,6,1,1,0,2,17,1,N,2,1056
1,6,6,2,1,9,23,1,N,2,653
2,6,6,2,5,6,24,1,N,2,3799
2,1,1,1,4,5,34,1,N,2,5285
1,6,6,1,7,9,36,1,N,2,855
2,1,1,1,5,N,67,1,N,2,0
1,1,1,1,0,4,64,1,N,2,4391
1,6,1,2,3,8,22,1,N,2,1427
2,1,1,1,6,8,61,1,N,2,6080
2,1,1,0,6,8,80,1,N,2,3428
2,6,1,1,0,11,22,1,N,2,2269
2,5,1,1,4,9,30,1,N,2,782
1,6,6,1,4,9,58,1,N,2,2741
2,4,1,1,3,11,58,1,N,2,4465
2,3,6,1,8,8,42,1,N,2,3087
2,1,1,1,4,9,94,1,N,2,855
2,1,6,1,9,9,49,3,N,2,0
1,6,1,0,4,5,9,1,N,2,5309
1,1,1,1,7,N,77,1,N,2,855
1,1,6,1,9,N,53,1,N,2,855
2,1,1,1,2,6,47,1,N,2,2964
2,1,1,2,1,8,53,1,N,2,4552
2,1,1,1,9,N,68,1,3,2,2619
2,6,6,1,0,8,17,1,N,2,4783
2,1,1,1,9,9,94,1,N,2,2619
1,6,1,1,7,N,75,1,N,2,2619
1,N,6,1,6,8,37,1,N,2,4449
2,1,1,1,4,N,65,1,N,2,2619
2,6,1,1,9,9,58,1,N,2,855
1,4,1,1,8,6,85,1,N,2,1152
2,3,1,2,1,9,68,1,N,2,3352
2,3,1,1,1,4,24,1,N,2,1174
2,1,1,1,3,5,36,1,N,2,3751
2,1,1,1,N,N,58,1,N,2,2619
1,1,1,2,9,12,67,1,N,2,2479
2,1,1,1,3,5,91,1,N,2,3035
2,6,1,1,9,9,94,1,N,2,2619
2,1,6,2,5,10,21,1,N,2,5042
2,1,1,1,3,9,49,1,N,2,855
2,2,3,1,7,9,39,1,1,2,764
1,6,1,1,3,9,30,1,N,2,855
1,4,1,1,8,9,33,1,N,2,5724
2,3,1,1,2,N,77,1,N,2,2619
2,1,1,1,7,5,94,1,N,2,855
2,6,1,1,3,11,46,1,N,2,2737
2,6,1,2,2,7,0,1,N,2,5494
2,1,1,1,7,8,58,1,N,2,2382
1,4,1,1,2,8,21,1,N,2,7052
1,1,1,1,8,9,78,1,N,2,4648
1,1,1,1,1,8,56,1,N,2,5594
2,1,1,1,8,9,86,1,N,2,855
1,1,1,1,3,4,63,1,N,2,6159
2,5,1,0,0,8,8,1,N,2,1647
2,3,1,1,N,7,91,1,N,2,855
2,N,6,1,0,9,64,1,N,2,855
2,6,1,1,1,7,27,1,N,2,2619
1,1,1,1,8,9,54,1,N,2,3012
2,6,1,1,1,7,66,1,N,2,2602
1,4,1,1,5,N,94,1,N,2,855
2,1,6,1,3,N,81,1,N,2,5327
2,6,1,1,5,4,30,1,N,2,2086
2,6,6,2,0,9,8,1,N,2,5740
2,1,1,1,6,9,52,1,N,2,855
2,6,1,1,0,1,17,1,N,2,6536
2,3,1,1,0,10,72,1,N,2,2671
1,6,1,2,0,7,25,1,N,1,3162
1,1,1,1,4,9,44,1,N,2,1095
2,1,1,1,6,N,58,1,N,2,2619
2,6,1,0,0,3,18,1,N,2,1970
2,1,1,1,0,8,42,1,N,2,422
1,1,1,1,5,N,65,1,N,2,2761
2,1,1,1,8,9,76,1,N,2,2619
2,6,1,1,0,N,24,1,N,2,3061
2,1,1,1,5,N,84,1,N,2,855
2,1,1,1,8,N,82,1,N,2,2619
2,1,1,1,2,9,49,1,N,2,863
1,4,1,1,3,5,83,1,N,2,1058
1,1,6,1,8,9,63,1,N,2,4904
1,6,6,1,0,5,21,1,N,2,2954
2,1,1,1,8,10,70,1,N,2,3604
2,1,2,1,3,8,48,1,N,2,2127
1,6,1,2,5,4,37,1,1,2,4358
1,2,1,1,4,N,39,1,N,2,855
2,6,1,1,8,5,25,1,N,2,793
2,1,6,1,7,9,70,1,N,2,855
1,6,6,1,5,9,22,2,N,2,2619
2,3,1,1,5,7,64,3,N,2,2006
2,1,1,1,7,11,27,1,N,2,1252
2,1,1,1,3,8,55,1,N,2,4108
2,4,1,2,4,8,30,1,N,2,3359
2,1,1,1,0,9,55,1,N,2,2059
1,6,1,1,2,8,53,1,N,2,2070
2,1,1,1,4,N,61,1,N,2,3593
2,3,9,1,7,9,77,1,N,2,2642
2,2,9,2,3,10,17,1,N,2,2052
2,6,1,1,7,9,25,1,N,2,5607
2,1,1,1,7,5,59,1,N,1,4690
1,6,6,2,0,9,65,1,N,2,3767
2,1,1,1,6,5,66,1,N,2,2547
2,1,1,1,7,8,51,1,N,2,3888
2,1,5,2,2,9,58,1,N,2,2619
2,1,1,1,4,4,16,1,N,2,4761
