SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,HISP,PUMA,INDP_CAT,target
1,N,8,2,N,2,1,48-02101,N,4580
2,6,1,1,8,7,0,48-02516,7,1191
1,2,1,2,1,3,0,48-02102,15,4596
2,N,1,2,N,2,4,48-02102,9,8939
2,1,1,2,7,9,0,48-02510,12,6600
1,6,1,0,5,5,1,48-02101,0,7854
2,N,1,2,N,1,1,48-02510,N,6434
2,1,1,2,4,9,1,48-02101,14,29
1,1,1,1,7,10,0,48-02102,5,8445
1,6,1,0,2,7,0,48-02510,16,2253
2,1,1,1,5,7,1,48-02101,10,4664
1,1,4,2,2,3,2,48-02510,1,1434
2,3,1,0,3,4,0,48-02102,11,594
1,6,1,2,4,5,0,48-02101,3,259
2,3,1,1,6,6,0,48-02515,6,6033
2,6,2,0,0,4,0,48-02102,N,6561
1,N,1,2,N,3,0,48-02102,N,3579
1,6,2,2,2,6,0,48-02516,N,8620
2,4,1,0,7,5,0,48-02515,15,3693
2,1,1,0,6,7,0,48-02515,15,1806
1,1,9,0,8,7,1,48-02101,3,697
2,4,1,1,2,3,1,48-02102,11,2972
1,6,6,0,1,7,2,48-02510,6,7971
1,6,1,2,4,5,1,48-02102,11,546
2,6,1,2,5,7,0,48-02101,10,9137
2,4,1,2,8,9,0,48-02101,4,2387
1,1,1,1,7,7,0,48-02516,4,6203
2,4,1,0,7,9,0,48-02507,N,8926
2,1,1,2,8,5,1,48-02510,4,1769
1,6,1,0,4,5,2,48-02510,16,7358
2,1,4,2,2,6,2,48-02507,13,797
2,1,3,0,8,10,3,48-02507,13,147
2,1,1,1,0,5,0,48-02101,17,2041
1,1,2,2,9,7,0,48-02515,4,6286
2,6,2,2,1,4,0,48-02516,14,7327
2,1,1,1,3,9,0,48-02101,11,8216
1,6,1,0,4,6,0,48-02515,14,1877
2,1,1,2,8,7,1,48-02102,12,2732
1,1,5,1,9,7,2,48-02102,2,2782
2,1,2,0,5,7,4,48-02101,4,6931
1,4,1,2,2,7,0,48-02516,16,3106
1,1,2,0,5,5,3,48-02102,11,1208
1,5,1,2,6,8,0,48-02101,4,2549
2,N,1,1,N,3,0,48-02515,N,3668
1,1,1,1,5,7,0,48-02102,12,1585
2,4,1,0,5,5,1,48-02516,18,4770
2,6,1,2,0,3,1,48-02102,N,4865
2,1,1,2,4,7,0,48-02516,14,5301
2,3,1,2,5,3,2,48-02102,18,7679
2,1,1,1,8,12,0,48-02510,11,3904
1,1,5,2,8,5,2,48-02101,18,8308
1,1,1,2,5,7,0,48-02515,N,5873
1,6,1,1,0,5,0,48-02101,N,56
2,1,1,1,0,6,0,48-02510,N,5459
1,1,7,0,9,9,2,48-02101,10,7134
1,3,1,1,6,7,0,48-02102,17,2724
2,4,1,0,7,10,0,48-02510,N,934
2,6,1,0,0,4,0,48-02101,N,5599
2,4,1,1,5,5,0,48-02102,16,5029
2,1,9,1,5,7,0,48-02102,14,1722
2,4,7,1,7,12,3,48-02102,18,1286
1,4,1,0,5,4,0,48-02507,14,6189
2,6,5,0,2,5,2,48-02516,14,1356
1,4,8,0,5,8,4,48-02515,10,2691
2,4,1,0,4,7,0,48-02102,6,598
1,3,1,2,9,8,3,48-02507,0,6756
1,1,1,0,9,5,0,48-02507,8,1114
2,5,1,0,6,7,0,48-02101,14,2527
2,N,1,1,N,3,0,48-02101,N,2796
2,N,3,0,N,3,3,48-02101,N,35
2,1,2,2,8,8,0,48-02507,9,483
1,3,1,1,5,7,3,48-02507,8,7939
2,1,1,1,0,9,0,48-02515,N,6671
2,N,2,0,N,3,0,48-02101,N,1434
2,1,1,1,3,10,0,48-02516,N,7533
1,6,1,1,2,10,4,48-02516,4,4146
2,N,1,1,N,3,0,48-02515,N,4746
2,6,1,2,4,9,0,48-02102,16,7581
1,1,1,1,9,9,0,48-02102,9,6092
2,1,1,2,7,9,1,48-02101,11,4670
2,5,2,2,6,7,0,48-02507,6,7444
1,1,3,0,7,7,3,48-02515,N,8279
1,N,4,0,N,N,4,48-02101,N,7856
2,4,8,2,6,9,4,48-02101,1,6394
1,N,1,1,N,3,0,48-02102,N,4840
2,N,9,0,N,N,0,48-02510,N,1224
1,1,2,0,9,9,2,48-02101,6,7063
1,4,1,2,4,9,1,48-02516,3,4486
1,6,9,2,7,6,0,48-02516,N,1463
1,1,1,2,9,10,0,48-02515,10,2995
1,1,1,0,6,5,1,48-02101,7,6237
1,N,1,1,N,3,0,48-02101,N,6051
2,6,1,0,1,7,1,48-02102,4,1016
2,N,1,0,N,3,0,48-02507,N,1242
1,1,1,0,0,5,2,48-02507,11,8959
1,1,1,1,5,4,0,48-02101,12,107
1,1,1,2,8,4,0,48-02101,14,5845
2,1,1,1,5,7,0,48-02102,9,3606
2,6,6,0,0,4,1,48-02515,N,1560
2,1,8,0,2,10,1,48-02101,10,2481
1,N,1,1,N,3,0,48-02515,N,3014
1,6,8,2,1,4,4,48-02507,14,1206
1,1,3,0,5,8,3,48-02102,6,6491
1,4,1,0,1,7,1,48-02102,1,435
1,6,1,0,0,5,0,48-02507,N,7491
1,N,1,1,N,1,2,48-02102,16,6859
2,N,1,1,N,3,0,48-02507,N,3828
1,N,1,2,N,3,0,48-02102,N,1423
1,1,1,2,7,1,2,48-02102,7,4905
1,N,1,2,N,N,1,48-02510,N,769
1,N,2,1,N,1,2,48-02102,N,4647
2,6,8,0,3,10,3,48-02102,7,3707
2,6,6,0,4,7,3,48-02516,6,7819
1,1,1,1,6,7,0,48-02510,4,8474
2,1,1,2,1,7,0,48-02507,11,470
2,4,1,1,8,9,1,48-02102,11,8137
1,1,8,1,5,7,2,48-02102,12,3484
