SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,AGEP,HOUSING_TYPE,DVET,DEYE,target
2,N,1,1,N,3,13,3,N,2,8005
2,1,1,1,6,4,87,3,N,2,3415
1,1,1,0,4,8,62,2,N,2,4622
1,4,1,0,8,7,53,1,N,2,8493
1,1,1,1,9,10,56,1,N,2,3673
2,4,1,2,3,7,27,3,N,2,5942
1,6,1,1,6,7,21,1,N,2,8143
2,4,1,2,9,5,57,3,N,2,3426
1,6,1,2,9,6,25,3,N,2,4872
2,3,1,2,3,5,80,2,N,2,6097
1,1,1,1,5,4,40,1,N,2,5209
2,1,1,1,2,5,67,3,N,2,3885
2,6,2,0,3,5,27,1,N,2,4306
1,6,1,0,7,3,3,1,N,2,6778
1,1,1,0,0,9,39,1,N,1,2501
1,1,1,0,4,7,39,3,N,2,3213
2,1,1,1,1,8,52,2,N,2,742
1,1,1,2,4,4,46,3,N,2,112
2,1,1,1,4,4,63,1,N,2,5889
2,1,1,1,3,9,67,1,N,2,1493
1,1,1,2,8,9,30,1,N,2,6458
1,4,1,1,6,5,10,1,N,1,4576
2,4,1,2,4,7,85,2,N,2,1202
1,3,2,1,0,5,92,2,N,2,2373
2,N,1,0,N,3,12,1,N,2,6716
2,N,1,2,N,3,10,2,N,2,6725
1,1,2,0,7,10,58,3,N,2,3114
1,6,1,1,8,7,11,2,N,2,2950
1,6,1,1,0,9,35,1,N,2,3849
1,4,1,2,7,6,92,1,N,2,4385
2,6,1,2,4,7,44,1,N,2,1813
1,1,8,2,2,5,78,1,N,2,7345
1,6,1,1,9,8,27,3,3,2,5281
1,1,1,1,9,7,28,1,N,2,8184
1,1,1,2,7,9,37,1,N,2,2493
1,1,1,2,5,10,42,1,N,2,8534
2,4,1,1,4,7,50,2,N,2,5305
2,3,8,2,2,7,79,1,N,2,6157
1,N,1,1,N,2,4,2,N,2,6835
1,1,1,2,5,9,61,2,N,2,1364
2,6,1,1,3,7,22,3,N,2,7523
1,6,1,0,1,5,18,3,N,2,918
2,N,1,2,N,2,6,1,N,2,1739
1,6,1,2,1,6,32,3,N,2,8001
1,4,1,1,0,9,27,3,N,2,1581
2,6,1,1,0,4,15,2,N,2,2886
2,4,1,1,1,9,77,3,N,2,8231
2,N,1,0,N,N,0,1,N,2,4849
1,N,1,2,N,N,0,2,N,2,5310
1,1,1,2,3,9,57,1,N,2,5474
2,4,1,0,9,5,58,2,N,2,6838
2,4,1,2,2,7,69,3,N,2,4652
1,6,1,0,7,7,32,1,N,2,8617
1,3,1,2,3,5,92,3,N,2,5751
2,1,1,2,9,4,1,3,N,2,1061
1,1,1,1,6,7,35,3,N,2,6798
1,N,2,2,N,3,13,1,N,2,7710
1,6,1,2,3,6,13,1,N,2,3362
2,1,1,1,6,7,42,3,N,2,1539
2,N,1,1,N,3,13,3,N,2,5166
1,N,1,2,N,3,13,3,N,2,3335
1,1,1,0,2,7,73,3,N,2,7410
1,1,1,1,5,5,22,1,N,2,3562
2,1,2,1,3,9,35,3,N,2,5127
2,6,1,2,8,9,23,3,N,2,481
1,1,1,0,5,4,31,2,N,2,3902
1,N,1,2,1,3,14,3,N,2,3361
2,1,3,0,9,7,56,3,N,2,3918
2,6,1,1,6,9,54,1,N,2,7161
1,6,1,0,1,4,17,3,N,2,8075
2,1,1,1,7,9,50,3,N,2,1768
1,1,2,2,4,5,64,1,N,2,5843
2,1,1,0,N,9,31,1,N,1,9197
2,6,2,1,N,8,27,2,N,2,1199
1,1,1,2,6,7,42,1,N,2,3400
2,1,1,1,8,10,48,1,N,2,3132
1,6,1,0,5,5,32,3,N,2,4613
1,N,1,1,N,3,13,1,N,2,2389
2,1,1,0,3,9,35,1,N,2,518
1,6,1,2,8,3,13,2,N,2,2348
2,1,1,2,4,5,79,3,N,2,2417
1,4,1,2,N,5,21,2,N,2,4986
2,N,1,2,N,N,2,3,N,2,9098
2,5,8,2,1,1,38,2,N,2,5395
1,1,1,1,3,8,68,1,N,2,3088
1,6,2,0,0,5,45,1,N,2,3340
