SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP,target
1,4,8,0,9,4,48-02102,92,5,11,95,7865
1,2,3,2,9,1,48-02507,86,N,N,202,3551
2,N,8,1,N,0,48-02507,1,1,4,61,529
2,4,9,1,4,0,48-02507,16,6,11,473,3365
1,1,1,1,7,0,48-02101,66,2,4,239,3337
1,1,8,1,6,1,48-02515,44,0,2,246,8227
1,1,1,1,9,0,48-02102,30,5,7,257,8729
1,N,1,1,N,0,48-02510,8,1,3,N,6071
1,N,1,1,N,0,48-02507,11,1,3,129,6251
2,1,1,1,2,0,48-02102,71,0,2,458,4301
1,1,1,1,9,0,48-02102,55,2,11,127,4018
1,6,1,1,9,0,48-02515,17,3,8,344,4872
1,1,1,1,6,0,48-02510,56,1,13,277,354
1,6,1,1,0,1,48-02516,17,6,6,191,7351
2,N,1,1,N,0,48-02102,14,2,7,483,66
1,1,1,2,8,1,48-02101,26,0,3,27,2388
2,6,1,1,1,0,48-02507,39,2,4,98,6020
1,1,1,1,4,2,48-02101,53,2,8,274,6193
1,1,1,1,8,0,48-02102,52,1,4,190,6243
2,3,1,1,4,0,48-02510,77,0,N,433,5901
1,1,1,1,7,0,48-02510,54,0,2,140,2619
1,N,1,2,N,4,48-02507,54,11,3,64,2847
1,6,1,2,0,0,48-02102,14,2,8,303,96
2,1,1,1,0,0,48-02516,35,N,N,168,295
2,4,1,1,3,0,48-02507,76,0,2,197,3214
2,4,1,2,9,0,48-02507,57,0,N,327,8291
1,1,8,1,8,1,48-02507,29,3,5,417,5288
2,1,1,1,9,0,48-02516,60,0,N,311,3799
1,N,1,1,N,0,48-02515,11,3,6,408,7904
1,N,3,1,1,1,48-02507,55,11,7,108,7902
2,1,1,1,0,0,48-02101,66,0,2,388,7892
1,1,1,1,8,0,48-02510,61,0,2,218,460
1,6,1,1,0,0,48-02516,22,3,6,276,3893
2,1,1,1,5,0,48-02101,60,0,N,245,4714
2,1,1,1,3,0,48-02101,77,0,4,170,4934
2,2,1,2,3,0,48-02516,92,0,N,352,8141
2,6,1,1,0,0,48-02507,27,0,2,162,472
2,1,1,1,8,0,48-02510,52,0,2,52,4757
2,4,1,1,0,1,48-02507,54,1,5,440,6687
1,N,1,1,N,0,48-02102,9,2,4,327,861
1,6,1,1,6,0,48-02515,29,0,N,178,4220
2,6,1,1,3,0,48-02510,19,3,6,224,5492
1,N,1,1,N,0,48-02507,13,1,3,227,1743
1,1,1,1,0,0,48-02102,46,7,13,88,7956
2,N,9,2,N,0,48-02507,88,1,4,296,950
1,N,9,1,N,0,48-02507,1,5,8,243,3251
2,2,1,1,6,1,48-02510,54,4,4,486,7095
2,1,1,1,4,0,48-02507,58,0,2,454,1909
2,3,9,1,5,0,48-02101,51,0,8,451,3600
1,4,1,0,6,0,48-02510,72,1,6,166,7853
2,4,1,2,6,0,48-02102,41,3,5,275,4534
2,1,1,1,6,0,48-02516,43,2,4,501,6123
1,3,1,2,8,0,48-02507,72,0,2,282,4078
2,1,1,1,9,0,48-02507,14,0,3,135,4445
1,1,1,2,2,0,48-02510,75,0,2,363,935
1,3,1,1,7,0,48-02516,38,2,4,76,6376
1,1,1,1,8,0,48-02510,41,2,11,277,3625
2,6,1,1,0,0,48-02516,16,1,4,501,8739
2,1,1,1,9,0,48-02516,77,0,N,123,5829
1,4,2,1,4,0,48-02101,60,0,2,386,4444
2,1,1,2,9,0,48-02507,78,0,3,493,6682
2,1,2,1,8,0,48-02510,63,5,8,307,6608
2,2,1,0,8,0,48-02510,15,2,5,78,8836
2,4,1,0,1,1,48-02102,79,5,3,286,1640
1,1,1,1,0,0,48-02510,67,3,7,493,3450
1,1,1,1,7,0,48-02510,28,2,11,302,7392
2,6,1,1,0,0,48-02102,17,2,4,162,1888
1,4,6,2,1,0,48-02102,46,0,3,235,2168
1,1,1,1,5,0,48-02516,56,0,3,74,2303
2,1,1,1,4,0,48-02507,43,0,5,5,2642
2,N,9,1,N,1,48-02510,8,3,5,222,5872
2,1,1,1,6,0,48-02102,60,1,3,373,2232
1,1,1,1,6,0,48-02507,62,3,3,330,5600
1,4,1,1,6,0,48-02516,55,0,N,19,1266
1,1,1,1,7,0,48-02515,59,0,N,161,343
1,N,1,1,N,0,48-02516,1,2,4,372,676
1,1,1,1,6,0,48-02516,49,0,4,90,6488
1,3,1,0,6,0,48-02102,58,0,3,178,2585
2,4,1,1,9,0,48-02516,39,4,13,40,2999
2,6,1,0,1,0,48-02507,29,0,5,0,1825
1,1,1,1,9,0,48-02101,58,3,5,369,2216
1,N,1,1,N,0,48-02507,7,2,4,217,2057
2,N,1,1,N,0,48-02516,1,1,5,282,924
1,1,1,2,6,0,48-02507,42,0,3,168,5626
