,Target samples,Deid. samples
0,40,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,25,3
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,4,1
21,11,3
22,7,2
23,10,3
24,0,0
25,195,66
26,0,0
27,95,36
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,337,232
42,177,126
43,672,504
44,0,0
45,0,0
46,618,524
47,0,0
48,0,0
49,14470,14054
50,366,369
51,8971,9159
52,0,0
53,8,9
54,0,0
55,280,345
56,7,9
57,491,665
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,129,223
64,0,0
65,159,298
66,0,0
67,12,24
68,0,0
69,84,189
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,20,73
79,0,0
80,31,124
81,29,122
82,2,9
83,0,0
84,0,0
85,0,0
86,1,6
87,0,0
88,0,0
89,0,0
90,1,9
91,0,0
92,0,0
93,0,0
94,1,16
95,0,0
96,0,0
97,0,0
98,0,0
99,0,50
