,feature,divergence
22,WGTP,10.373061806350067
1,AGEP,4.927373150958056
21,PWGTP,4.470544879673198
13,PINCP,3.928454354495227
14,PINCP_DECILE,3.259794489399157
0,PUMA,2.7571888606676342
12,EDU,2.5810533497670582
15,POVPIP,1.268011120251819
3,MSP,1.1505727728154198
7,NPF,0.8102655440697868
6,NOC,0.8047919513758186
11,INDP_CAT,0.7345044185665999
10,INDP,0.6976221279944091
9,OWN_RENT,0.5649173573418401
5,RAC1P,0.2975756256187253
8,HOUSING_TYPE,0.23075036978891447
2,SEX,0.14314758624446433
17,DREM,0.07678989299530875
18,DPHY,0.053539975348464754
4,HISP,0.03794135342933062
20,DEAR,0.02072498899012165
16,DVET,0.008103771526339183
19,DEYE,0.0035078146596551757
