SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP
1.0,6,1.0,0.0,1,0.0,25-00503,18,N,N,N
2.0,6,6.0,0.0,3,0.0,25-00503,22,N,N,N
1.0,6,1.0,0.0,0,0.0,25-01300,58,N,N,N
2.0,6,1.0,0.0,1,0.0,25-00503,21,N,N,N
1.0,6,1.0,0.0,2,0.0,25-00503,20,N,N,N
2.0,6,1.0,0.0,0,0.0,25-00503,89,N,N,N
1.0,6,1.0,0.0,0,0.0,25-01300,18,N,N,N
1.0,6,1.0,0.0,1,0.0,25-00503,19,N,N,N
2.0,6,1.0,0.0,1,0.0,25-00703,21,N,N,N
2.0,6,1.0,0.0,2,0.0,25-00503,21,N,N,N
2.0,6,1.0,0.0,1,0.0,25-00703,19,N,N,N
2.0,6,1.0,0.0,1,0.0,25-01300,18,N,N,N
2.0,6,1.0,0.0,1,0.0,25-00703,19,N,N,N
2.0,4,1.0,0.0,2,0.0,25-01300,81,N,N,N
1.0,6,1.0,0.0,1,0.0,25-00503,21,N,N,N
2.0,6,1.0,0.0,1,0.0,25-01300,20,N,N,N
1.0,6,1.0,0.0,0,0.0,25-01300,19,N,N,N
2.0,3,1.0,0.0,2,0.0,25-01000,89,N,N,N
2.0,6,1.0,0.0,2,0.0,25-00503,27,N,N,N
2.0,6,1.0,0.0,1,0.0,25-00503,18,N,N,N
2.0,6,1.0,0.0,1,0.0,25-00703,21,N,N,N
2.0,6,1.0,0.0,1,0.0,25-00703,19,N,N,N
2.0,3,1.0,0.0,2,0.0,25-00703,94,N,N,N
2.0,6,1.0,0.0,1,0.0,25-00703,21,N,N,N
1.0,6,1.0,0.0,1,0.0,25-00503,20,N,N,N
2.0,6,1.0,0.0,0,0.0,25-00503,18,N,N,N
1.0,6,1.0,0.0,1,0.0,25-00703,21,N,N,N
2.0,6,1.0,0.0,2,0.0,25-00503,19,N,N,N
2.0,6,1.0,0.0,2,0.0,25-00503,19,N,N,N
1.0,6,1.0,0.0,2,0.0,25-00503,22,N,N,N
2.0,6,1.0,0.0,1,0.0,25-00703,20,N,N,N
2.0,6,1.0,0.0,0,0.0,25-02800,69,N,N,0
2.0,6,1.0,0.0,0,0.0,25-00703,84,N,N,0
1.0,6,1.0,0.0,2,0.0,25-00503,21,N,N,N
1.0,6,1.0,0.0,1,0.0,25-00703,19,N,N,N
1.0,6,1.0,0.0,1,0.0,25-00503,21,N,N,N
2.0,6,1.0,0.0,1,0.0,25-00703,19,N,N,N
1.0,6,1.0,0.0,2,0.0,25-00503,18,N,N,N
2.0,6,1.0,0.0,1,0.0,25-01300,18,N,N,N
2.0,3,1.0,0.0,2,0.0,25-01000,94,N,N,N
2.0,6,1.0,0.0,0,0.0,25-00503,21,N,N,N
1.0,6,1.0,0.0,0,0.0,25-00503,63,N,N,0
2.0,6,1.0,0.0,2,0.0,25-00503,21,N,N,N
2.0,3,1.0,0.0,2,0.0,25-00703,67,N,N,N
2.0,6,1.0,0.0,0,0.0,25-00503,18,N,N,N
1.0,6,1.0,0.0,0,0.0,25-01300,29,N,N,N
2.0,6,1.0,0.0,0,0.0,25-00703,94,N,N,0
2.0,6,1.0,0.0,1,0.0,25-00703,20,N,N,N
2.0,6,1.0,0.0,1,0.0,25-01300,19,N,N,N
2.0,6,1.0,0.0,1,0.0,25-00703,21,N,N,N
2.0,6,1.0,0.0,1,0.0,25-00703,19,N,N,N
1.0,6,1.0,0.0,1,0.0,25-00503,20,N,N,N
1.0,6,1.0,0.0,1,0.0,25-00703,18,N,N,N
2.0,6,6.0,0.0,3,0.0,25-00503,22,N,N,N
2.0,6,1.0,0.0,1,0.0,25-00503,19,N,N,N
1.0,6,1.0,0.0,1,0.0,25-00503,22,N,N,N
1.0,6,1.0,0.0,2,0.0,25-00503,18,N,N,N
2.0,6,1.0,0.0,1,0.0,25-00703,20,N,N,N
2.0,6,1.0,0.0,1,0.0,25-01000,83,N,N,39
2.0,6,6.0,0.0,2,0.0,25-00503,21,N,N,N
2.0,6,1.0,0.0,1,0.0,25-00703,20,N,N,N
2.0,6,1.0,0.0,1,0.0,25-00703,20,N,N,N
2.0,3,1.0,0.0,2,0.0,25-01000,94,N,N,N
2.0,6,1.0,0.0,1,0.0,25-00703,19,N,N,N
2.0,6,1.0,0.0,1,0.0,25-00703,19,N,N,N
2.0,3,1.0,0.0,2,0.0,25-01000,94,N,N,N
2.0,6,1.0,0.0,0,0.0,25-00503,20,N,N,N
2.0,6,1.0,0.0,2,0.0,25-01300,52,N,N,70
1.0,6,1.0,0.0,1,0.0,25-00503,20,N,N,N
2.0,6,1.0,0.0,1,0.0,25-00503,21,N,N,N
2.0,6,1.0,0.0,2,0.0,25-00503,63,N,N,N
1.0,6,1.0,0.0,2,0.0,25-00503,55,N,N,N
2.0,6,2.0,0.0,1,0.0,25-00703,21,N,N,N
2.0,6,1.0,0.0,2,0.0,25-00703,75,N,N,88
2.0,3,1.0,0.0,2,0.0,25-01000,94,N,N,N
1.0,6,1.0,0.0,1,0.0,25-00703,22,N,N,N
1.0,6,1.0,0.0,2,0.0,25-00503,18,N,N,N
2.0,6,1.0,0.0,1,0.0,25-00503,18,N,N,N
1.0,6,1.0,0.0,2,0.0,25-00703,55,N,N,76
2.0,6,1.0,0.0,0,0.0,25-00503,18,N,N,N
2.0,6,1.0,0.0,2,0.0,25-00503,21,N,N,N
1.0,6,1.0,0.0,1,0.0,25-00703,18,N,N,N
2.0,3,1.0,0.0,1,0.0,25-00703,83,N,N,N
2.0,3,1.0,0.0,1,0.0,25-00703,78,N,N,N
1.0,6,1.0,0.0,2,0.0,25-00503,22,N,N,N
2.0,4,1.0,0.0,2,0.0,25-01300,73,N,N,N
1.0,6,1.0,0.0,1,0.0,25-00503,19,N,N,N
1.0,6,1.0,0.0,2,0.0,25-00503,18,N,N,N
2.0,6,1.0,0.0,2,0.0,25-00503,20,N,N,N
2.0,6,1.0,0.0,1,0.0,25-01300,18,N,N,N
2.0,6,1.0,0.0,1,0.0,25-00503,21,N,N,N
2.0,6,1.0,0.0,1,0.0,25-00503,18,N,N,N
2.0,6,1.0,0.0,1,0.0,25-00503,20,N,N,N
2.0,3,1.0,0.0,1,0.0,25-00703,78,N,N,N
2.0,6,6.0,0.0,0,0.0,25-00503,18,N,N,N
2.0,6,1.0,0.0,0,0.0,25-02800,81,N,N,0
1.0,6,1.0,0.0,1,0.0,25-00503,19,N,N,N
2.0,6,1.0,0.0,2,0.0,25-00503,27,N,N,N
1.0,6,1.0,0.0,1,0.0,25-00703,18,N,N,N
2.0,6,6.0,0.0,0,0.0,25-00503,18,N,N,N
1.0,6,1.0,0.0,0,0.0,25-01300,48,N,N,N
1.0,6,1.0,0.0,1,0.0,25-00703,21,N,N,N
1.0,6,1.0,0.0,1,0.0,25-00503,22,N,N,N
1.0,6,1.0,0.0,1,0.0,25-00503,20,N,N,N
2.0,3,1.0,0.0,2,0.0,25-01000,94,N,N,N
2.0,6,1.0,0.0,1,0.0,25-00703,19,N,N,N
2.0,6,1.0,0.0,2,0.0,25-00503,20,N,N,N
2.0,6,6.0,0.0,2,0.0,25-00503,21,N,N,N
2.0,3,1.0,0.0,2,0.0,25-01000,67,N,N,N
2.0,6,1.0,0.0,2,0.0,25-00503,20,N,N,N
1.0,6,1.0,0.0,1,0.0,25-00503,19,N,N,N
2.0,6,1.0,0.0,2,0.0,25-00503,23,N,N,N
2.0,6,1.0,0.0,2,0.0,25-01300,32,N,N,70
1.0,6,1.0,0.0,1,0.0,25-00503,19,N,N,N
1.0,6,1.0,0.0,0,0.0,25-01300,29,N,N,N
2.0,6,6.0,0.0,1,0.0,25-00503,21,N,N,N
2.0,6,1.0,0.0,1,0.0,25-00503,19,N,N,N
1.0,6,1.0,0.0,2,0.0,25-00503,22,N,N,N
2.0,6,1.0,0.0,1,0.0,25-00703,19,N,N,N
1.0,6,1.0,0.0,1,0.0,25-00503,19,N,N,N
2.0,6,1.0,0.0,1,0.0,25-00503,20,N,N,N
2.0,6,2.0,0.0,1,0.0,25-00703,18,N,N,N
2.0,6,1.0,0.0,0,0.0,25-00503,19,N,N,N
1.0,6,1.0,0.0,1,0.0,25-00703,22,N,N,N
2.0,6,6.0,0.0,1,0.0,25-00503,22,N,N,N
1.0,6,1.0,0.0,1,0.0,25-00503,20,N,N,N
2.0,6,1.0,0.0,1,0.0,25-00703,88,N,N,18
2.0,6,1.0,0.0,2,0.0,25-00503,20,N,N,N
1.0,6,1.0,0.0,0,0.0,25-00703,18,N,N,N
2.0,6,1.0,0.0,2,0.0,25-00503,63,N,N,N
1.0,6,1.0,0.0,1,0.0,25-00503,20,N,N,N
1.0,6,1.0,0.0,1,0.0,25-00503,20,N,N,N
2.0,6,1.0,0.0,1,0.0,25-00703,21,N,N,N
2.0,6,1.0,0.0,1,0.0,25-00703,20,N,N,N
2.0,6,1.0,0.0,1,0.0,25-00503,22,N,N,N
2.0,6,1.0,0.0,0,0.0,25-00503,19,N,N,N
1.0,6,1.0,0.0,1,0.0,25-00503,20,N,N,N
2.0,6,1.0,0.0,0,0.0,25-00503,21,N,N,N
1.0,6,1.0,0.0,2,0.0,25-00503,21,N,N,N
2.0,6,1.0,0.0,1,0.0,25-00703,19,N,N,N
2.0,6,6.0,0.0,1,0.0,25-00503,20,N,N,N
1.0,6,1.0,0.0,1,0.0,25-00503,19,N,N,N
1.0,6,1.0,0.0,1,0.0,25-00703,22,N,N,N
2.0,3,1.0,0.0,2,0.0,25-00703,91,N,N,N
2.0,3,1.0,0.0,1,0.0,25-00703,94,N,N,N
2.0,6,2.0,0.0,1,0.0,25-00703,21,N,N,N
2.0,6,1.0,0.0,0,0.0,25-00503,19,N,N,N
1.0,6,1.0,0.0,1,0.0,25-00503,20,N,N,N
1.0,6,1.0,0.0,1,0.0,25-00503,18,N,N,N
2.0,6,1.0,0.0,2,0.0,25-00503,22,N,N,N
1.0,6,1.0,0.0,1,0.0,25-00703,21,N,N,N
1.0,6,1.0,0.0,1,0.0,25-00703,19,N,N,N
1.0,6,1.0,0.0,1,0.0,25-00503,19,N,N,N
1.0,6,1.0,0.0,1,0.0,25-00503,19,N,N,N
2.0,6,1.0,0.0,1,0.0,25-00703,91,N,N,18
1.0,6,1.0,0.0,1,0.0,25-00503,19,N,N,N
2.0,6,6.0,0.0,0,0.0,25-00503,27,N,N,N
2.0,6,1.0,0.0,1,0.0,25-00503,21,N,N,N
2.0,6,1.0,0.0,1,0.0,25-00703,19,N,N,N
2.0,6,1.0,0.0,1,0.0,25-00503,18,N,N,N
1.0,6,1.0,0.0,1,0.0,25-00703,21,N,N,N
1.0,6,1.0,0.0,1,0.0,25-00703,22,N,N,N
2.0,6,1.0,0.0,0,0.0,25-00503,19,N,N,N
2.0,6,1.0,0.0,1,0.0,25-00703,19,N,N,N
2.0,6,1.0,0.0,1,0.0,25-00703,20,N,N,N
2.0,3,1.0,0.0,1,0.0,25-00703,83,N,N,N
2.0,4,1.0,0.0,2,0.0,25-01300,71,N,N,N
2.0,3,1.0,0.0,2,0.0,25-00703,94,N,N,N
1.0,6,1.0,0.0,1,0.0,25-00503,19,N,N,N
2.0,6,1.0,0.0,1,0.0,25-00503,19,N,N,N
2.0,6,1.0,0.0,1,0.0,25-00703,21,N,N,N
1.0,4,1.0,1.0,9,0.0,25-01000,57,0,N,501
1.0,1,1.0,1.0,9,0.0,25-00703,44,3,5,501
2.0,1,1.0,1.0,7,0.0,25-01300,46,2,4,501
1.0,1,1.0,1.0,8,0.0,25-01300,45,2,4,501
1.0,6,1.0,1.0,9,0.0,25-00503,46,0,N,501
2.0,6,1.0,1.0,8,0.0,25-02800,47,0,N,501
1.0,1,1.0,1.0,8,0.0,25-01300,47,0,3,501
2.0,1,1.0,1.0,7,0.0,25-01300,44,0,3,501
1.0,1,6.0,1.0,9,0.0,25-00503,51,2,4,501
2.0,1,6.0,1.0,0,0.0,25-00503,47,2,4,501
2.0,6,6.0,1.0,0,0.0,25-00503,17,2,4,501
2.0,1,1.0,1.0,1,0.0,25-01000,54,0,2,501
1.0,1,1.0,1.0,9,0.0,25-01000,55,0,2,501
1.0,1,1.0,1.0,9,0.0,25-00503,73,0,2,501
2.0,1,1.0,1.0,2,0.0,25-00503,70,0,2,501
2.0,6,1.0,2.0,7,0.0,25-02800,23,0,N,501
1.0,1,1.0,1.0,9,0.0,25-00703,62,0,2,501
1.0,1,1.0,1.0,8,0.0,25-01000,41,2,4,501
1.0,4,1.0,1.0,8,0.0,25-02800,60,0,N,501
2.0,1,1.0,1.0,8,0.0,25-02800,62,0,2,501
1.0,1,1.0,1.0,8,0.0,25-02800,63,0,2,501
