AGEP,RAC1P,MSP,SEX,HOUSING_TYPE,OWN_RENT,DVET,DEYE,PINCP_DECILE,EDU
18,1.0,6,1.0,3.0,0.0,N,2.0,1,5
21,1.0,6,2.0,3.0,0.0,N,2.0,0,7
18,1.0,6,2.0,3.0,0.0,N,2.0,1,7
21,1.0,6,2.0,3.0,0.0,N,2.0,1,7
18,1.0,6,1.0,3.0,0.0,N,2.0,0,7
18,1.0,6,1.0,3.0,0.0,N,2.0,0,7
19,1.0,6,1.0,3.0,0.0,N,2.0,1,7
21,1.0,6,2.0,3.0,0.0,N,2.0,1,7
21,1.0,6,2.0,3.0,0.0,N,2.0,2,7
19,1.0,6,2.0,3.0,0.0,N,2.0,1,7
18,1.0,6,2.0,3.0,0.0,N,2.0,1,5
88,1.0,6,2.0,3.0,0.0,N,2.0,1,7
19,1.0,6,2.0,3.0,0.0,N,2.0,1,7
21,1.0,6,1.0,3.0,0.0,N,2.0,1,7
20,1.0,6,2.0,3.0,0.0,N,2.0,1,7
19,1.0,6,1.0,3.0,0.0,N,2.0,0,7
18,1.0,6,2.0,3.0,0.0,N,2.0,2,7
19,1.0,6,1.0,3.0,0.0,N,2.0,2,7
20,1.0,6,2.0,3.0,0.0,N,2.0,0,7
89,1.0,3,2.0,2.0,0.0,N,2.0,2,5
18,1.0,6,2.0,3.0,0.0,N,2.0,1,5
18,1.0,6,2.0,3.0,0.0,N,2.0,1,5
83,1.0,6,2.0,3.0,0.0,N,2.0,1,5
21,1.0,6,2.0,3.0,0.0,N,2.0,1,7
19,1.0,6,2.0,3.0,0.0,N,2.0,1,5
18,1.0,6,1.0,3.0,0.0,N,2.0,1,5
21,1.0,6,2.0,3.0,0.0,N,2.0,1,7
19,1.0,6,1.0,3.0,0.0,N,2.0,0,7
20,1.0,6,1.0,3.0,0.0,N,2.0,1,7
21,1.0,6,1.0,3.0,0.0,N,2.0,1,7
19,2.0,6,2.0,3.0,0.0,N,2.0,1,7
19,1.0,6,2.0,3.0,0.0,N,2.0,2,7
20,1.0,6,2.0,3.0,0.0,N,2.0,1,7
19,1.0,6,1.0,3.0,0.0,N,2.0,1,7
20,1.0,6,1.0,3.0,0.0,N,2.0,1,7
21,1.0,6,1.0,3.0,0.0,N,2.0,1,7
19,1.0,6,2.0,3.0,0.0,N,2.0,1,7
18,1.0,6,1.0,3.0,0.0,N,2.0,2,7
18,1.0,6,2.0,3.0,0.0,N,2.0,1,5
18,1.0,6,2.0,3.0,0.0,N,2.0,0,7
20,1.0,6,2.0,3.0,0.0,N,2.0,1,7
19,1.0,6,2.0,3.0,0.0,N,2.0,1,7
18,1.0,6,2.0,3.0,0.0,N,2.0,2,7
21,1.0,6,2.0,3.0,0.0,N,2.0,1,5
19,1.0,6,2.0,3.0,0.0,N,2.0,1,7
19,1.0,6,2.0,3.0,0.0,N,2.0,1,5
18,1.0,6,1.0,3.0,0.0,N,2.0,1,7
19,1.0,6,2.0,3.0,0.0,N,2.0,1,7
19,1.0,6,1.0,3.0,0.0,N,2.0,2,7
22,1.0,6,1.0,3.0,0.0,N,2.0,1,7
18,1.0,6,1.0,3.0,0.0,N,2.0,2,7
20,1.0,6,2.0,3.0,0.0,N,2.0,1,5
83,1.0,6,2.0,3.0,0.0,N,2.0,1,5
20,1.0,6,2.0,3.0,0.0,N,2.0,1,7
20,1.0,6,2.0,3.0,0.0,N,2.0,1,7
19,1.0,6,2.0,3.0,0.0,N,2.0,1,7
19,1.0,6,2.0,3.0,0.0,N,2.0,1,7
20,1.0,6,2.0,3.0,0.0,N,2.0,0,7
24,1.0,6,1.0,3.0,0.0,N,2.0,0,7
20,1.0,6,1.0,3.0,0.0,N,2.0,1,7
19,2.0,6,2.0,3.0,0.0,N,2.0,1,7
21,1.0,6,2.0,3.0,0.0,N,2.0,1,5
22,1.0,6,1.0,3.0,0.0,N,2.0,1,7
18,1.0,6,2.0,3.0,0.0,N,2.0,0,7
76,1.0,3,2.0,2.0,0.0,N,2.0,0,5
18,1.0,6,1.0,3.0,0.0,N,2.0,2,7
18,1.0,6,2.0,3.0,0.0,N,2.0,1,7
21,1.0,6,2.0,3.0,0.0,N,2.0,2,7
18,1.0,6,1.0,3.0,0.0,N,2.0,1,5
32,1.0,6,2.0,3.0,0.0,N,2.0,2,7
19,1.0,6,1.0,3.0,0.0,N,2.0,1,7
18,1.0,6,2.0,3.0,0.0,N,2.0,1,7
18,1.0,6,1.0,3.0,0.0,N,2.0,2,7
20,1.0,6,2.0,3.0,0.0,N,2.0,2,7
18,1.0,6,2.0,3.0,0.0,N,2.0,1,5
19,1.0,6,1.0,3.0,0.0,N,2.0,0,7
20,2.0,6,2.0,3.0,0.0,N,2.0,1,7
19,1.0,6,1.0,3.0,0.0,N,2.0,0,7
91,1.0,6,2.0,3.0,0.0,N,2.0,1,7
20,2.0,6,2.0,3.0,0.0,N,2.0,1,7
21,1.0,6,2.0,3.0,0.0,N,2.0,1,7
18,1.0,6,2.0,3.0,0.0,N,2.0,1,7
20,1.0,6,2.0,3.0,0.0,N,2.0,1,5
19,1.0,6,1.0,3.0,0.0,N,2.0,1,7
18,1.0,6,1.0,3.0,0.0,N,2.0,1,7
21,1.0,6,1.0,3.0,0.0,N,2.0,0,7
21,1.0,6,1.0,3.0,0.0,N,2.0,1,7
21,1.0,6,2.0,3.0,0.0,N,2.0,0,7
19,1.0,6,2.0,3.0,0.0,N,2.0,2,7
22,1.0,6,1.0,3.0,0.0,N,2.0,1,7
18,1.0,6,1.0,3.0,0.0,N,2.0,0,7
21,1.0,6,1.0,3.0,0.0,N,2.0,1,7
19,1.0,6,2.0,3.0,0.0,N,2.0,1,7
20,1.0,6,2.0,3.0,0.0,N,2.0,2,7
20,1.0,6,2.0,3.0,0.0,N,2.0,2,7
19,1.0,6,1.0,3.0,0.0,N,2.0,2,7
83,1.0,6,2.0,3.0,0.0,N,2.0,1,5
21,1.0,6,2.0,3.0,0.0,N,2.0,0,7
19,1.0,6,1.0,3.0,0.0,N,2.0,1,7
23,1.0,6,2.0,3.0,0.0,N,2.0,2,7
32,1.0,6,2.0,3.0,0.0,N,2.0,2,7
20,1.0,6,1.0,3.0,0.0,N,2.0,1,7
19,1.0,6,1.0,3.0,0.0,N,2.0,1,7
32,1.0,6,2.0,3.0,0.0,N,2.0,2,7
91,1.0,3,2.0,2.0,0.0,N,2.0,2,5
19,1.0,6,2.0,3.0,0.0,N,2.0,1,7
22,1.0,6,1.0,3.0,0.0,N,2.0,2,7
19,1.0,6,2.0,3.0,0.0,N,2.0,1,7
19,1.0,6,2.0,3.0,0.0,N,2.0,1,7
19,1.0,6,1.0,3.0,0.0,N,2.0,1,7
20,1.0,6,2.0,3.0,0.0,N,2.0,1,5
18,2.0,6,2.0,3.0,0.0,N,2.0,1,7
19,1.0,6,2.0,3.0,0.0,N,2.0,0,7
22,1.0,6,1.0,3.0,0.0,N,2.0,1,7
88,1.0,6,2.0,3.0,0.0,N,2.0,1,7
20,1.0,6,2.0,3.0,0.0,N,2.0,2,7
28,1.0,6,1.0,3.0,0.0,N,2.0,0,7
21,1.0,6,2.0,3.0,0.0,N,2.0,0,7
79,1.0,3,2.0,2.0,0.0,N,2.0,0,5
18,1.0,6,1.0,3.0,0.0,N,2.0,0,7
21,1.0,6,2.0,3.0,0.0,N,2.0,1,7
20,1.0,6,2.0,3.0,0.0,N,2.0,1,5
22,1.0,6,2.0,3.0,0.0,N,2.0,1,7
28,1.0,6,1.0,3.0,0.0,N,2.0,0,7
19,1.0,6,2.0,3.0,0.0,N,2.0,0,7
21,1.0,6,1.0,3.0,0.0,N,2.0,2,7
19,1.0,6,2.0,3.0,0.0,N,2.0,1,5
18,1.0,6,1.0,3.0,0.0,N,2.0,1,7
19,1.0,6,1.0,3.0,0.0,N,2.0,1,7
22,1.0,6,1.0,3.0,0.0,N,2.0,1,7
91,1.0,3,2.0,2.0,0.0,N,2.0,2,5
18,1.0,6,1.0,3.0,0.0,N,2.0,0,7
19,1.0,6,2.0,3.0,0.0,N,2.0,2,7
19,1.0,6,2.0,3.0,0.0,N,2.0,0,7
18,1.0,6,1.0,3.0,0.0,N,2.0,1,7
22,1.0,6,2.0,3.0,0.0,N,2.0,2,7
21,1.0,6,1.0,3.0,0.0,N,2.0,1,7
19,1.0,6,1.0,3.0,0.0,N,2.0,1,7
19,1.0,6,1.0,3.0,0.0,N,2.0,0,7
19,1.0,6,1.0,3.0,0.0,N,2.0,1,7
19,1.0,6,1.0,3.0,0.0,N,2.0,1,7
91,1.0,6,2.0,3.0,0.0,N,2.0,1,7
19,1.0,6,1.0,3.0,0.0,N,2.0,1,7
21,1.0,6,2.0,3.0,0.0,N,2.0,1,7
19,1.0,6,2.0,3.0,0.0,N,2.0,1,7
18,1.0,6,2.0,3.0,0.0,N,2.0,1,7
21,1.0,6,1.0,3.0,0.0,N,2.0,1,7
22,1.0,6,1.0,3.0,0.0,N,2.0,1,7
79,1.0,3,2.0,2.0,0.0,N,2.0,0,5
19,1.0,6,2.0,3.0,0.0,N,2.0,1,7
18,1.0,6,1.0,3.0,0.0,N,2.0,0,7
20,1.0,6,2.0,3.0,0.0,N,2.0,1,5
21,1.0,6,1.0,3.0,0.0,N,2.0,2,7
20,1.0,6,2.0,3.0,0.0,N,2.0,2,7
19,1.0,6,1.0,3.0,0.0,N,2.0,1,7
19,1.0,6,2.0,3.0,0.0,N,2.0,1,7
20,1.0,6,1.0,3.0,0.0,N,2.0,1,7
19,2.0,6,2.0,3.0,0.0,N,2.0,1,7
19,2.0,6,2.0,3.0,0.0,N,2.0,1,7
42,1.0,1,2.0,1.0,1.0,N,2.0,8,10
44,1.0,1,1.0,1.0,1.0,N,2.0,9,9
46,1.0,1,2.0,1.0,1.0,N,2.0,7,9
45,1.0,1,1.0,1.0,1.0,N,2.0,8,9
15,1.0,6,1.0,1.0,1.0,N,2.0,0,4
31,1.0,6,1.0,1.0,2.0,N,2.0,7,9
52,1.0,1,1.0,1.0,1.0,N,2.0,9,9
16,1.0,6,1.0,1.0,1.0,N,2.0,1,4
47,1.0,1,1.0,1.0,1.0,N,2.0,8,9
44,1.0,1,2.0,1.0,1.0,N,2.0,7,8
18,1.0,6,1.0,1.0,1.0,N,2.0,1,4
51,6.0,1,1.0,1.0,1.0,N,2.0,9,10
17,6.0,6,2.0,1.0,1.0,N,2.0,0,4
64,1.0,1,1.0,1.0,1.0,N,2.0,5,9
60,1.0,1,2.0,1.0,1.0,N,2.0,1,10
84,1.0,1,2.0,1.0,1.0,N,2.0,2,5
84,1.0,1,1.0,1.0,1.0,N,2.0,6,5
52,1.0,6,1.0,1.0,1.0,N,2.0,2,5
54,1.0,1,2.0,1.0,1.0,N,2.0,1,9
55,1.0,1,1.0,1.0,1.0,N,2.0,9,11
91,1.0,1,2.0,1.0,1.0,N,2.0,6,9
73,1.0,1,1.0,1.0,1.0,N,2.0,9,5
70,1.0,1,2.0,1.0,1.0,N,2.0,2,5
22,1.0,6,2.0,1.0,2.0,N,2.0,5,9
66,1.0,1,2.0,1.0,1.0,N,2.0,4,10
27,1.0,6,1.0,1.0,1.0,N,2.0,5,9
62,1.0,1,1.0,1.0,1.0,N,2.0,9,11
41,1.0,1,1.0,1.0,1.0,N,2.0,8,5
53,1.0,1,2.0,1.0,1.0,N,2.0,6,9
52,1.0,1,1.0,1.0,1.0,N,2.0,8,8
20,1.0,6,2.0,1.0,1.0,N,2.0,2,7
18,1.0,6,2.0,1.0,1.0,N,2.0,1,5
68,1.0,1,2.0,1.0,1.0,N,2.0,4,5
69,1.0,1,1.0,1.0,1.0,N,2.0,4,7
53,1.0,3,2.0,1.0,1.0,N,2.0,4,5
62,1.0,1,2.0,1.0,1.0,N,2.0,8,7
63,1.0,1,1.0,1.0,1.0,N,2.0,8,10
75,1.0,1,2.0,1.0,1.0,N,2.0,2,10
31,1.0,1,1.0,1.0,1.0,N,2.0,8,7
32,1.0,1,2.0,1.0,1.0,N,2.0,0,5
46,1.0,6,1.0,1.0,1.0,N,2.0,9,9
70,1.0,1,2.0,1.0,1.0,N,2.0,8,9
57,1.0,1,2.0,1.0,1.0,N,2.0,6,10
52,1.0,1,1.0,1.0,1.0,N,2.0,9,10
45,1.0,1,1.0,1.0,1.0,N,2.0,9,9
39,1.0,1,2.0,1.0,1.0,N,2.0,5,9
51,1.0,4,2.0,1.0,1.0,N,2.0,8,9
23,1.0,6,1.0,1.0,1.0,N,2.0,1,7
87,1.0,1,2.0,1.0,1.0,N,2.0,2,5
47,1.0,1,2.0,1.0,1.0,N,2.0,9,10
49,1.0,1,2.0,1.0,1.0,N,2.0,8,9
56,1.0,1,1.0,1.0,1.0,N,2.0,8,10
17,1.0,6,1.0,1.0,1.0,N,2.0,0,4
15,1.0,6,1.0,1.0,1.0,N,2.0,0,4
80,1.0,1,1.0,1.0,1.0,N,2.0,9,12
78,1.0,1,2.0,1.0,1.0,N,2.0,3,7
60,1.0,6,2.0,1.0,1.0,N,2.0,3,7
32,1.0,1,1.0,1.0,1.0,N,2.0,8,10
29,1.0,1,2.0,1.0,1.0,N,2.0,5,10
65,1.0,1,1.0,1.0,1.0,N,2.0,3,7
58,1.0,1,2.0,1.0,1.0,N,2.0,7,5
61,1.0,1,1.0,1.0,1.0,N,2.0,7,9
59,1.0,1,2.0,1.0,1.0,N,2.0,7,9
62,1.0,1,2.0,1.0,1.0,N,2.0,7,10
60,1.0,1,1.0,1.0,1.0,N,2.0,7,7
37,1.0,1,1.0,1.0,1.0,N,2.0,8,10
36,1.0,1,2.0,1.0,1.0,N,2.0,8,12
82,1.0,1,2.0,1.0,1.0,N,2.0,4,5
75,1.0,1,1.0,1.0,1.0,N,2.0,5,7
42,1.0,6,2.0,1.0,1.0,N,2.0,8,9
91,1.0,3,2.0,1.0,1.0,N,2.0,6,5
63,1.0,6,1.0,1.0,1.0,N,2.0,1,9
40,1.0,1,1.0,1.0,2.0,N,2.0,8,9
40,1.0,1,1.0,1.0,2.0,N,2.0,8,9
67,1.0,1,1.0,1.0,1.0,N,2.0,9,9
67,1.0,1,2.0,1.0,1.0,N,2.0,0,9
60,6.0,1,1.0,1.0,1.0,N,2.0,9,12
45,1.0,4,2.0,1.0,1.0,N,2.0,8,9
64,1.0,1,2.0,1.0,1.0,N,2.0,5,7
51,1.0,1,1.0,1.0,1.0,N,2.0,6,5
51,1.0,1,2.0,1.0,1.0,N,2.0,4,5
53,1.0,6,1.0,1.0,1.0,N,2.0,0,4
67,1.0,1,1.0,1.0,1.0,N,2.0,5,10
72,1.0,1,2.0,1.0,1.0,N,2.0,4,8
65,1.0,1,1.0,1.0,1.0,N,2.0,4,7
39,1.0,6,2.0,1.0,1.0,N,2.0,4,9
72,1.0,4,2.0,1.0,1.0,N,2.0,7,9
54,1.0,1,2.0,1.0,1.0,N,2.0,6,8
45,1.0,1,1.0,1.0,1.0,N,2.0,8,7
71,1.0,1,2.0,1.0,1.0,N,2.0,4,10
74,1.0,1,1.0,1.0,1.0,N,2.0,7,10
61,1.0,6,1.0,1.0,1.0,N,2.0,4,9
94,1.0,3,2.0,1.0,1.0,N,2.0,3,5
64,1.0,1,2.0,1.0,1.0,N,2.0,1,10
74,1.0,1,1.0,1.0,1.0,N,2.0,5,9
68,1.0,1,2.0,1.0,1.0,N,2.0,3,9
67,1.0,1,1.0,1.0,1.0,N,2.0,5,7
36,1.0,1,1.0,1.0,1.0,N,2.0,9,9
37,1.0,1,2.0,1.0,1.0,N,2.0,8,10
40,1.0,1,1.0,1.0,1.0,N,2.0,9,9
40,1.0,1,2.0,1.0,1.0,N,2.0,8,9
89,1.0,3,2.0,1.0,1.0,N,2.0,3,5
50,1.0,1,2.0,1.0,1.0,N,2.0,9,10
51,1.0,1,1.0,1.0,1.0,N,2.0,9,10
54,1.0,1,1.0,1.0,1.0,N,2.0,8,7
37,1.0,1,2.0,1.0,1.0,N,2.0,7,10
46,1.0,1,1.0,1.0,1.0,N,2.0,9,10
47,1.0,1,2.0,1.0,1.0,N,2.0,2,9
36,1.0,1,1.0,1.0,1.0,N,2.0,4,9
33,1.0,1,2.0,1.0,1.0,N,2.0,9,9
74,1.0,1,2.0,1.0,1.0,N,2.0,6,10
75,1.0,1,1.0,1.0,1.0,N,2.0,9,12
53,1.0,1,2.0,1.0,1.0,N,2.0,7,9
56,1.0,1,1.0,1.0,1.0,N,2.0,9,10
17,1.0,6,1.0,1.0,2.0,N,2.0,0,4
58,1.0,1,2.0,1.0,1.0,N,2.0,9,9
60,1.0,1,1.0,1.0,1.0,N,2.0,8,5
33,1.0,1,2.0,1.0,1.0,N,2.0,7,9
33,1.0,1,1.0,1.0,1.0,N,2.0,9,9
51,1.0,6,1.0,1.0,1.0,N,2.0,5,5
30,1.0,1,1.0,1.0,1.0,N,2.0,9,11
30,1.0,1,2.0,1.0,1.0,N,2.0,7,10
49,1.0,1,1.0,1.0,1.0,N,2.0,9,9
53,1.0,1,2.0,1.0,1.0,N,2.0,8,7
52,1.0,1,2.0,1.0,1.0,N,2.0,7,7
52,1.0,1,1.0,1.0,1.0,N,2.0,8,8
21,1.0,6,1.0,1.0,1.0,N,2.0,1,5
19,1.0,6,2.0,1.0,1.0,N,2.0,1,5
42,1.0,1,2.0,1.0,1.0,N,2.0,5,8
