,HISP,PUMA,PINCP_DECILE,MSP,DENSITY,OWN_RENT,DREM,SEX,NPF,HOUSING_TYPE,RAC1P,INDP_CAT,DVET,NOC,EDU,DEYE,DEAR,DPHY,AGEP
HISP,0.0,-0.04248126938378294,0.07693942298201262,-0.006706353787527626,-0.14672824083806274,-0.10467969670679383,0.01630083947704483,-0.0030634787561259294,-0.08803807543829047,0.003009616435026499,0.03357024461693034,-0.0024556612530413566,0.034473682068742455,-0.06877903577989436,0.11380249238933479,0.0006805050068723669,-0.08547277775427997,0.002039154558300555,0.08300416650684923
PUMA,-0.04248126938378294,-2.220446049250313e-16,0.007085571012164668,0.005077426354663177,-0.0024126527626638543,0.00726964324768101,-0.011214986294876128,-0.008344250265633214,-0.021689642327170133,-0.005199976969153863,-0.01762913343601627,-0.02448998319629388,-0.026420679440095973,-0.020687645045947965,0.020429872998567647,-0.005464720599998744,0.0015790460223046657,0.008016021746887496,0.014694596472029135
PINCP_DECILE,0.07693942298201262,0.007085571012164669,0.0,0.06266254611441757,0.017740161051646303,-0.0274524511704367,0.0006764404428302173,0.07126735292554039,0.030745185482687176,0.024784691657809943,0.10072884520005265,0.023724578140450925,-0.04246517873747581,0.19657523129479543,-0.06662485662282658,-0.002793222511933013,0.0247387914937512,-0.00225692105391076,0.014550889194203942
MSP,-0.006706353787527626,0.005077426354663184,0.06266254611441757,-2.220446049250313e-16,0.0017017642846667846,-0.011454713516722052,0.07339697056864403,0.012242293077099646,0.029569400051564054,-0.07248677028682798,-0.0037096933659864426,0.03754902974392471,0.03554168288867713,0.2806630209976497,0.01883618960252406,0.042956400968391394,0.01836139727457602,0.07481898484595187,0.029330624089758825
DENSITY,-0.14672824083806274,-0.0024126527626638548,0.017740161051646303,0.0017017642846667846,0.0,-0.00913598959743675,0.011244976384499193,-0.020965608922253038,0.006161039730823735,-0.01434723239854434,-0.01334821847809664,-0.01833567307346478,0.02870514386728666,0.03715292525114951,0.004403846255471203,0.006730997829944673,-0.03196284044521709,0.019480295906788708,0.004251715268121068
OWN_RENT,-0.10467969670679383,0.0072696432476810095,-0.027452451170436702,-0.011454713516722052,-0.009135989597436722,0.0,-0.03639794113891122,-0.029216835721843776,0.05903501305135062,-0.07043534910398103,-0.09418580953714178,-0.046533565602046356,0.01154795195767312,0.07542708134040069,0.0032680240069212843,0.022515611336472424,-0.026974893424293878,-0.006234211904028024,0.012207859657561174
DREM,0.016300839477044828,-0.011214986294876125,0.0006764404428302173,0.073396970568644,0.011244976384499195,-0.03639794113891122,2.220446049250313e-16,-0.014226154332300716,-0.014670998431957225,0.05869630184556437,0.02717098825675081,-0.013123231594024704,0.03703633442549955,0.17981218681668865,0.007420476779185392,-0.0984014502354153,-0.11048405049482435,-0.09442011530183936,0.07225201699696862
SEX,-0.003063478756125929,-0.008344250265633214,0.07126735292554039,0.012242293077099646,-0.020965608922253035,-0.029216835721843776,-0.014226154332300716,0.0,-0.009836124034050832,0.048756468584176094,-0.023742676968432713,-0.029097315044144704,0.10549007084455618,-0.014498529326498283,-0.0238365159381695,-0.0009077334482386285,-0.04444199528830368,0.03760344316239513,-0.04269758127914132
NPF,-0.08803807543829045,-0.021689642327170126,0.030745185482687176,0.029569400051564054,0.006161039730823735,0.05903501305135062,-0.014670998431957225,-0.009836124034050832,2.220446049250313e-16,-0.04911275201179638,-0.08971250805881256,-0.01625898959137756,0.010996728093828845,-0.10702403134424276,0.043599572791430535,-0.053900492820963576,-0.08166228167785249,-0.04745281170798685,0.07516808994849203
HOUSING_TYPE,0.003009616435026499,-0.00519997696915387,0.02478469165780993,-0.07248677028682798,-0.01434723239854434,-0.07043534910398108,0.05869630184556437,0.048756468584176094,-0.04911275201179632,0.0,0.052238606367086944,0.045963225826260626,0.021413011485923086,-0.11887165887370982,-0.009875322816948223,0.01810706291766772,0.017275872852035,0.031452615436998885,-0.010231946356563493
