,AGEP,RAC1P,MSP,SEX,HOUSING_TYPE,OWN_RENT,DVET,PINCP_DECILE,EDU
0,54,1,1,1,1,1,N,4,9
1,36,1,N,1,1,1,N,N,9
2,24,1,6,1,1,1,N,0,7
3,73,1,1,1,1,1,N,9,9
4,45,2,1,2,1,1,6,7,6
5,42,1,1,2,1,1,N,8,7
6,63,8,1,2,1,1,N,7,7
7,11,1,N,1,1,2,N,N,2
8,54,1,1,2,1,1,N,8,9
9,92,1,1,2,3,0,N,9,9
10,15,1,6,1,1,2,5,5,7
11,29,1,1,2,1,1,N,8,10
12,43,1,3,1,1,1,N,8,10
13,26,1,1,2,1,1,N,6,5
14,37,1,1,2,1,1,N,0,8
15,7,1,N,2,1,2,N,N,3
16,48,1,4,1,1,1,N,3,5
17,24,2,6,2,1,1,N,9,9
18,86,1,1,2,1,1,N,0,5
19,42,1,1,1,1,1,N,8,10
20,35,1,3,2,1,2,N,2,3
21,73,1,3,1,1,2,4,3,5
22,18,1,6,2,1,1,N,0,4
23,21,1,6,1,1,1,N,4,5
24,55,1,1,1,1,1,N,7,7
25,4,8,4,2,1,2,N,7,7
26,64,1,3,2,1,1,N,4,5
27,33,1,1,2,1,1,N,2,12
28,67,1,1,1,1,2,N,5,9
29,5,1,1,1,1,1,N,2,3
30,92,1,3,1,1,0,N,8,5
31,37,1,1,2,1,1,N,3,7
32,80,1,1,2,1,1,N,9,10
33,17,1,6,1,1,2,N,0,5
34,64,1,1,1,1,1,N,6,5
35,72,2,6,2,1,1,N,2,5
36,88,1,4,2,1,1,N,0,6
37,38,1,1,2,1,1,N,7,5
38,6,2,N,2,1,2,N,N,2
39,22,1,4,1,1,1,N,6,10
40,28,1,4,2,1,1,N,4,9
41,9,1,N,1,1,1,N,N,1
42,5,1,4,1,1,1,N,7,7
43,66,1,1,2,1,1,N,7,9
44,84,1,6,2,1,1,N,0,6
45,31,1,6,2,1,1,5,8,9
46,57,2,3,2,1,1,N,4,5
47,18,9,6,2,1,1,N,0,4
48,30,2,6,1,1,1,N,8,9
49,7,1,N,1,1,2,N,N,N
50,79,1,1,2,1,1,N,2,12
51,13,9,N,2,1,0,N,N,3
52,23,1,6,1,1,1,N,0,7
53,47,2,6,1,1,1,N,0,4
54,45,1,N,1,1,2,N,N,2
55,30,1,6,1,1,1,N,3,3
56,71,1,3,2,1,2,N,7,12
57,78,1,1,2,1,1,N,4,9
58,11,2,N,1,1,1,N,N,3
59,23,1,6,1,1,1,N,5,1
60,28,1,4,2,1,1,N,7,9
61,18,1,1,2,1,1,N,7,5
62,83,1,3,1,1,2,N,3,5
63,21,1,N,1,1,1,N,N,3
64,86,1,1,2,1,1,N,9,9
65,6,6,N,2,1,1,N,N,1
66,69,1,1,2,1,1,N,3,5
67,56,1,1,1,1,1,N,3,5
68,20,1,N,1,1,1,N,N,3
69,75,1,N,1,1,1,N,N,3
70,8,1,1,2,1,1,N,3,5
71,61,1,1,2,1,1,N,8,7
72,12,1,1,1,1,1,N,7,10
73,48,1,1,2,1,1,N,8,7
74,62,1,1,2,1,1,N,0,4
75,61,1,1,2,1,2,N,7,7
76,70,8,2,2,1,1,N,7,8
77,88,1,1,2,1,1,N,9,9
78,73,1,1,1,1,1,2,2,4
79,36,1,N,2,1,1,N,N,3
80,38,4,1,1,1,2,N,9,10
81,19,1,N,2,1,1,N,N,3
82,9,1,N,1,1,1,N,N,3
83,72,1,1,1,1,1,N,8,10
84,29,1,1,1,1,1,N,2,10
85,57,2,3,2,1,1,N,7,7
86,35,1,N,2,1,1,N,N,3
87,52,1,4,1,2,1,N,4,7
88,25,2,N,1,1,1,N,N,3
89,62,1,1,2,1,1,N,6,8
90,57,1,1,2,1,1,N,3,5
91,65,1,1,1,1,1,N,2,7
92,62,1,1,1,1,1,N,7,9
93,39,1,1,1,1,1,N,9,7
94,39,1,N,2,1,1,N,N,2
95,10,2,N,2,1,1,N,N,3
96,69,1,1,2,1,1,N,9,5
97,8,1,4,2,1,1,N,8,7
98,6,1,N,1,1,2,N,N,N
99,22,1,4,1,1,2,N,1,4
100,9,1,N,2,1,1,N,N,3
101,67,1,1,1,1,1,N,8,5
102,15,1,6,1,1,2,5,2,7
103,82,1,6,2,1,1,N,0,4
104,50,1,1,2,1,2,N,9,10
105,75,1,1,1,1,1,N,8,7
106,28,1,4,2,1,1,N,2,1
107,69,1,1,2,1,1,N,8,10
108,32,1,5,1,1,1,N,6,9
109,9,1,N,1,1,1,N,N,3
110,7,2,N,2,1,2,N,N,3
111,70,1,4,2,1,1,N,7,9
112,28,1,4,2,1,1,N,1,4
113,14,1,1,1,1,1,N,1,9
114,68,1,1,2,1,1,N,5,5
115,62,1,1,1,1,1,N,8,9
116,6,1,N,1,1,1,N,N,N
117,36,1,N,2,1,1,N,N,3
118,23,1,6,2,1,1,N,5,5
119,67,1,4,2,1,1,N,1,5
120,33,1,1,2,1,1,N,8,7
121,70,8,1,2,1,1,N,9,7
122,44,1,6,2,1,1,N,1,4
123,17,1,3,2,1,2,N,2,3
124,45,1,1,1,1,1,N,6,9
125,10,1,N,2,1,2,N,N,3
126,28,1,4,1,1,1,N,5,7
127,52,1,1,2,1,1,N,5,7
128,39,1,1,1,2,1,N,7,7
129,26,2,3,1,1,1,N,6,7
130,68,1,3,1,1,1,N,2,5
131,6,2,N,2,1,1,N,N,3
132,17,1,6,1,1,2,N,4,5
133,76,1,1,1,1,2,N,0,4
134,57,2,1,2,1,1,N,3,5
135,37,1,1,2,1,1,N,8,5
136,27,1,1,2,1,1,N,8,9
137,27,1,6,1,1,1,N,0,3
138,92,1,1,2,1,1,N,0,4
139,67,1,1,2,1,1,N,4,4
140,30,9,6,1,1,1,N,5,3
141,14,1,N,2,1,1,N,N,N
142,70,8,N,2,1,1,N,N,3
143,51,1,6,1,1,1,N,5,1
144,82,2,1,1,1,1,N,9,9
145,13,1,N,2,1,0,N,N,3
146,25,1,1,1,1,1,N,8,9
147,82,1,1,2,1,1,N,5,9
148,73,1,1,1,1,1,N,7,7
149,4,8,4,2,1,2,N,3,5
150,81,1,1,1,1,1,N,7,9
151,10,1,N,1,1,2,N,N,3
