,SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP,DEYE
0,1,N,1,1,N,0,48-02101,69,0,2,264,2
1,2,2,1,1,7,0,48-02510,70,1,3,478,2
2,2,5,2,1,2,0,48-02102,44,0,N,N,2
3,2,1,6,1,6,0,48-02101,39,3,5,411,2
4,1,1,1,1,9,0,48-02101,79,1,3,501,2
5,2,4,1,1,7,0,48-02510,69,0,2,99,2
6,2,N,2,1,N,0,48-02102,6,2,4,75,2
7,1,4,1,1,5,0,48-02102,62,N,N,501,2
8,1,1,1,1,3,1,48-02102,38,1,3,501,2
9,2,1,1,1,0,1,48-02101,66,0,3,501,2
10,2,6,4,1,6,0,48-02515,65,3,5,42,2
11,2,N,1,1,N,1,48-02516,38,3,5,473,2
12,2,1,1,1,5,1,48-02516,29,0,2,181,2
13,2,1,1,1,8,0,48-02507,57,2,4,501,2
14,2,1,1,2,4,0,48-02101,2,0,4,413,2
15,2,1,1,1,8,0,48-02102,63,3,5,102,2
16,2,N,1,1,N,0,48-02510,5,1,3,118,2
17,1,6,1,1,2,0,48-02101,27,3,5,347,2
18,2,1,1,2,5,0,48-02102,33,1,13,337,2
19,1,N,1,1,N,1,48-02507,11,3,6,148,2
20,2,6,1,1,4,0,48-02507,76,0,6,99,2
21,1,6,8,1,0,0,48-02101,54,0,5,N,2
22,1,1,2,1,9,0,48-02516,31,0,2,501,2
23,1,4,1,1,3,0,48-02101,88,0,3,66,2
24,2,N,1,1,N,0,48-02507,27,2,4,304,2
25,1,1,6,1,9,1,48-02507,37,0,2,501,2
26,2,2,9,2,5,0,48-02101,47,0,N,206,2
27,1,1,1,1,6,0,48-02102,84,0,2,501,2
28,2,1,1,1,0,0,48-02510,85,0,5,237,2
29,2,1,1,2,0,0,48-02516,64,0,2,211,2
30,1,1,1,2,4,1,48-02101,39,0,4,501,2
31,2,1,1,1,9,0,48-02510,65,1,2,501,2
32,2,6,1,1,0,0,48-02507,61,0,2,501,2
33,2,6,1,1,2,1,48-02510,45,0,3,24,2
34,1,N,1,1,N,0,48-02510,71,0,5,68,2
35,1,6,1,1,5,1,48-02101,51,0,4,367,2
36,2,4,1,1,8,0,48-02101,24,0,N,501,2
37,1,1,1,1,8,0,48-02102,52,1,4,501,2
38,1,1,1,1,3,0,48-02101,29,0,2,2,2
39,1,1,1,1,2,0,48-02102,35,0,11,129,2
40,2,1,1,1,7,0,48-02102,55,2,2,501,2
41,1,1,1,2,6,0,48-02101,74,4,6,285,2
42,2,1,2,1,7,0,48-02101,31,1,3,501,2
43,2,4,1,1,7,0,48-02101,8,N,N,396,2
44,1,1,1,1,3,4,48-02510,42,0,2,352,2
45,2,1,2,1,4,0,48-02102,77,1,3,75,2
46,2,1,1,1,2,0,48-02102,70,0,4,N,2
47,2,N,1,1,N,1,48-02515,46,2,4,115,2
48,1,3,1,1,3,0,48-02507,62,0,N,388,2
49,2,4,1,1,8,0,48-02102,52,2,5,175,2
50,2,1,1,2,3,0,48-02102,3,0,2,0,2
51,2,1,1,1,3,0,48-02515,63,0,2,501,2
52,1,4,1,2,1,0,48-02516,47,4,N,293,2
53,2,1,1,1,2,1,48-02507,33,1,2,289,2
54,2,4,1,1,4,0,48-02507,12,0,3,395,2
55,2,4,1,2,3,0,48-02102,7,0,3,0,2
56,2,N,1,1,N,0,48-02510,23,3,6,340,2
57,2,1,1,1,4,0,48-02510,66,0,2,218,2
58,2,6,1,1,3,0,48-02510,76,0,2,N,2
59,1,N,1,1,N,1,48-02515,12,3,6,501,2
60,2,1,1,1,9,0,48-02102,36,2,4,501,2
61,1,6,1,1,7,1,48-02515,8,0,4,501,2
62,2,N,1,2,N,4,48-02516,5,3,4,501,2
63,2,1,1,2,9,0,48-02510,92,0,2,501,2
64,2,N,9,2,N,1,48-02507,11,1,2,124,2
65,2,4,1,1,4,0,48-02510,80,4,6,70,2
66,1,6,6,1,1,0,48-02507,25,0,2,501,2
67,1,3,1,1,5,0,48-02507,42,0,N,135,2
68,2,1,1,1,6,0,48-02516,6,2,4,83,2
69,1,N,2,1,N,1,48-02101,14,1,4,258,2
70,2,1,1,1,6,0,48-02101,85,3,5,372,2
71,2,1,1,1,0,0,48-02507,84,0,2,501,2
72,1,N,1,1,N,0,48-02101,82,3,5,501,2
73,2,1,1,1,3,0,48-02515,43,0,4,273,2
74,1,4,1,1,0,0,48-02510,62,0,N,462,1
75,1,6,1,1,3,0,48-02507,16,4,4,398,1
76,2,6,1,2,0,0,48-02516,30,4,6,66,2
77,1,1,2,1,9,0,48-02101,19,2,4,501,2
78,2,N,2,1,N,0,48-02102,7,0,2,501,2
79,1,6,1,1,0,0,48-02507,40,3,5,501,2
80,1,N,1,1,N,1,48-02102,14,0,6,501,2
81,2,N,1,1,N,1,48-02507,11,3,5,350,2
82,2,1,1,1,3,0,48-02515,43,3,5,0,2
83,2,1,1,1,0,0,48-02101,66,0,2,N,2
84,2,1,1,1,8,1,48-02101,82,2,4,501,2
85,2,N,1,2,N,0,48-02510,39,7,7,491,2
86,1,6,1,1,3,0,48-02515,30,0,N,0,2
87,1,1,1,1,8,0,48-02102,48,2,4,501,2
88,1,6,1,2,2,1,48-02507,33,2,5,440,2
89,2,1,1,2,0,1,48-02507,49,0,2,207,2
90,2,1,1,1,8,0,48-02510,66,0,2,465,2
91,1,N,1,1,N,0,48-02510,13,2,5,140,2
92,2,1,1,1,0,0,48-02516,31,2,4,501,2
93,2,N,1,1,N,0,48-02102,82,1,4,166,2
94,1,6,1,1,0,0,48-02515,85,3,6,193,2
95,1,1,1,1,6,0,48-02510,9,1,3,443,2
96,2,1,1,1,9,0,48-02516,38,0,2,501,2
97,2,1,1,1,8,1,48-02516,73,0,2,501,2
98,1,1,1,1,8,1,48-02516,29,0,2,22,2
99,1,N,1,1,N,0,48-02510,1,2,4,501,2
100,2,1,1,1,4,0,48-02507,65,0,2,501,2
101,2,6,1,1,0,0,48-02515,49,N,4,501,2
