SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP,DEYE
1,1,2,1,5,0,48-02510,68,0,5,418,2
1,1,6,1,9,0,48-02510,41,1,4,501,2
1,1,1,1,8,0,48-02101,51,0,N,501,2
2,4,1,1,7,1,48-02102,47,0,2,241,2
1,5,1,1,0,0,48-02101,29,0,2,501,2
1,1,1,1,8,0,48-02510,69,0,2,501,2
2,1,1,1,2,0,48-02515,32,2,3,218,2
1,1,1,1,7,0,48-02510,66,0,2,83,2
2,6,6,1,3,0,48-02515,49,1,2,70,2
1,1,1,1,8,0,48-02510,40,2,4,501,2
2,1,2,0,0,0,48-02102,30,0,2,N,2
1,1,1,1,8,0,48-02516,47,0,2,501,2
1,1,1,1,8,0,48-02101,26,1,4,501,2
1,1,1,2,0,0,48-02516,48,0,4,428,2
2,1,1,2,7,0,48-02515,29,3,5,201,2
1,1,1,1,4,0,48-02507,70,0,2,200,2
2,6,1,1,7,0,48-02515,34,1,3,501,2
2,1,1,2,0,0,48-02101,85,0,3,0,2
1,1,1,1,9,1,48-02516,53,0,2,501,2
2,4,1,2,5,0,48-02510,70,0,2,448,2
2,1,1,1,8,0,48-02510,43,2,4,501,2
2,3,2,1,3,0,48-02102,77,1,4,150,2
1,4,9,1,3,0,48-02102,71,0,2,121,2
1,1,1,1,7,0,48-02102,77,0,N,501,2
1,4,1,1,9,0,48-02510,65,0,5,501,2
2,1,1,1,2,0,48-02101,61,0,2,289,2
2,4,1,1,4,0,48-02507,70,0,2,175,2
1,4,1,1,4,0,48-02507,42,1,3,275,2
2,1,1,1,6,0,48-02510,52,0,2,501,2
2,N,1,1,N,0,48-02516,13,1,4,348,2
1,4,1,2,6,0,48-02507,61,0,2,209,2
2,1,1,1,5,0,48-02507,42,0,2,501,2
2,N,1,1,N,0,48-02101,3,0,3,501,2
2,4,1,1,6,0,48-02101,45,1,3,78,2
2,1,1,1,5,0,48-02516,76,0,2,405,2
1,4,1,1,5,0,48-02101,69,0,2,501,2
2,N,2,0,N,0,48-02515,12,2,4,N,2
1,N,1,1,N,0,48-02102,13,3,5,197,2
2,1,1,1,7,0,48-02101,29,3,5,501,2
2,N,1,1,N,0,48-02101,13,3,5,251,2
2,1,1,2,3,0,48-02101,56,0,3,151,2
1,1,7,2,2,0,48-02516,70,0,3,190,2
2,4,1,1,4,0,48-02510,45,4,6,501,2
2,1,1,1,2,0,48-02102,62,0,3,443,2
2,3,1,1,2,1,48-02510,92,N,N,119,2
2,1,1,1,2,0,48-02516,64,0,2,392,2
