AGEP,RAC1P,MSP,SEX,HOUSING_TYPE,OWN_RENT,DVET,PINCP_DECILE,EDU
55,1,1,1,1,1,N,0,9
19,2,6,2,1,2,N,0,7
36,1,1,1,1,1,N,5,7
0,9,N,1,1,1,N,6,10
25,1,6,2,1,2,N,7,8
4,1,N,2,1,1,N,N,2
15,1,6,1,1,1,N,0,4
5,1,N,2,1,2,4,N,9
40,1,1,2,1,1,N,0,9
49,1,2,2,1,2,N,5,8
35,2,6,2,1,2,N,6,5
2,1,N,1,1,1,N,N,N
27,1,1,2,1,1,N,8,7
33,1,3,2,1,1,N,4,6
38,1,1,2,1,1,N,7,7
49,1,1,1,1,1,N,8,8
30,8,1,1,1,1,N,6,4
27,1,1,1,1,1,N,5,9
23,1,6,2,1,1,N,2,5
73,1,1,1,1,1,N,7,4
70,1,1,2,1,1,N,4,5
12,1,N,2,1,2,N,N,3
70,1,1,2,1,1,N,8,8
63,1,1,2,1,1,N,9,6
55,9,1,1,1,2,N,5,7
57,1,1,2,1,1,N,9,7
42,1,1,1,1,1,N,8,9
55,9,1,2,1,1,N,0,5
56,1,1,1,1,1,N,3,9
66,1,1,2,1,1,N,6,7
50,1,1,1,1,1,N,9,1
33,1,1,2,1,1,N,2,10
61,1,6,1,1,1,N,2,7
56,1,4,2,1,2,N,7,7
10,1,N,1,1,1,N,N,3
15,1,6,2,1,1,N,0,4
10,1,N,2,1,2,N,N,3
11,1,N,1,1,1,N,N,3
22,6,6,1,1,2,N,1,5
80,1,4,1,1,1,N,N,4
60,1,1,2,1,1,N,7,5
52,1,1,1,1,1,N,7,10
24,2,1,2,1,1,N,5,5
22,1,6,2,1,2,N,3,5
75,1,1,2,1,1,N,3,11
68,1,1,1,1,1,N,5,4
42,1,1,2,1,1,N,N,10
8,9,N,1,1,1,N,N,3
59,1,4,2,1,1,N,7,7
6,2,N,2,1,1,N,N,6
34,1,1,2,1,1,N,1,6
52,1,1,2,1,1,N,6,9
1,1,N,1,1,1,N,N,N
7,1,N,2,1,1,N,N,2
64,1,1,1,1,1,N,5,9
42,1,1,2,1,1,N,8,10
56,1,1,2,1,1,N,0,8
63,2,1,1,1,1,N,8,5
60,1,1,1,1,1,N,6,10
48,1,1,1,1,1,N,6,10
2,1,N,1,1,1,N,N,N
28,1,4,1,1,1,N,7,12
7,2,N,2,1,1,N,N,2
32,1,1,1,1,1,N,7,7
31,1,1,2,1,1,N,4,9
55,1,1,1,1,2,N,6,6
34,9,1,2,1,1,N,4,9
41,1,6,2,1,1,N,0,10
9,1,1,2,1,2,N,N,3
35,1,6,1,1,2,N,7,9
48,1,N,1,1,2,N,8,7
41,1,1,2,1,1,N,7,7
24,1,1,2,1,2,N,3,8
19,2,6,2,1,1,N,8,3
47,1,5,1,1,2,N,7,9
47,1,1,2,1,1,N,1,9
60,1,1,1,1,1,N,9,8
47,1,1,1,1,1,N,3,5
56,1,4,1,1,2,N,7,9
65,6,3,1,1,2,N,8,9
60,2,1,2,1,1,N,6,6
39,1,1,2,1,1,N,3,8
67,1,4,2,1,1,N,9,5
66,1,2,2,1,1,N,9,10
34,1,1,2,1,1,N,1,9
60,2,1,2,1,2,N,0,9
58,1,1,1,1,1,N,9,9
43,1,1,1,1,1,N,6,8
52,1,6,1,1,1,N,9,9
19,1,6,2,1,1,N,6,5
58,1,4,1,1,2,N,9,8
52,1,1,1,1,1,N,9,7
63,1,1,1,1,2,N,8,10
43,9,1,1,1,1,N,9,5
22,1,6,2,1,1,N,4,7
22,2,6,1,1,1,N,4,9
52,1,1,1,1,1,N,6,5
61,1,3,1,2,0,N,7,7
15,1,6,1,1,1,N,0,4
17,1,6,2,1,1,N,0,4
14,1,N,2,1,1,N,N,3
80,1,3,1,1,1,N,N,5
40,1,1,1,1,1,N,5,7
75,1,4,1,1,1,N,9,10
59,1,1,2,1,1,N,6,9
6,1,N,2,1,1,N,N,2
71,1,1,1,1,1,N,7,8
62,2,4,2,1,1,N,5,12
27,1,6,2,1,1,N,3,7
12,1,N,2,1,1,N,N,3
22,1,6,2,1,1,N,3,9
16,1,6,1,1,2,N,2,4
6,8,N,1,1,1,N,N,2
72,1,1,1,1,2,N,1,9
26,1,1,1,1,1,N,8,9
52,1,4,1,1,1,N,9,5
24,2,1,2,1,2,N,4,9
67,1,1,2,1,1,N,7,5
80,2,N,2,1,1,N,3,7
78,1,2,1,1,1,N,9,6
92,1,3,2,1,1,N,2,5
58,1,1,1,1,1,N,7,6
19,1,6,2,1,1,N,4,5
61,1,5,2,3,0,N,5,9
18,3,6,2,1,2,N,2,4
16,1,6,2,1,1,N,0,4
12,1,N,2,1,1,N,N,3
11,1,N,1,1,1,N,N,3
9,2,N,2,1,1,N,N,3
1,1,N,2,1,2,N,N,9
33,2,1,2,1,1,N,4,9
48,1,1,2,1,1,N,0,7
10,1,N,2,1,1,N,N,3
18,1,6,2,1,2,N,4,5
60,1,1,1,1,1,N,7,6
39,1,1,1,1,1,N,5,1
49,8,6,1,1,1,N,5,7
12,1,N,2,1,1,N,N,3
10,1,N,1,1,1,N,N,3
25,1,1,2,1,1,N,8,9
67,1,4,1,1,1,N,9,5
25,1,6,1,1,1,N,4,5
49,1,1,2,1,1,N,2,7
84,1,2,1,1,2,N,1,8
60,1,4,1,1,1,N,8,7
61,1,1,1,1,1,N,9,5
23,9,6,2,1,1,N,1,10
62,1,1,1,1,1,N,9,11
11,7,N,2,1,1,N,N,3
76,1,1,2,1,1,N,2,7
72,1,4,2,1,1,N,5,5
70,1,1,2,1,1,N,4,5
50,1,1,2,1,1,N,6,5
48,1,1,1,1,1,N,8,4
21,1,6,1,2,0,N,5,8
7,1,N,1,1,2,N,N,3
58,9,1,1,1,1,N,5,11
36,1,1,2,1,1,N,5,5
32,1,1,2,1,1,N,7,9
63,2,3,2,1,1,N,5,5
