,SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP,DEYE
0,2,N,1,2,N,0,48-02102,3,2,4,501,2
1,1,N,1,2,N,1,48-02516,5,2,4,368,2
2,2,6,1,1,7,0,48-02102,73,0,2,501,2
3,2,N,1,2,N,0,48-02510,14,3,5,159,2
4,2,3,8,1,3,0,48-02102,30,1,4,210,2
5,2,1,3,1,7,4,48-02101,56,0,2,376,2
6,1,3,2,1,0,0,48-02516,61,0,N,360,2
7,1,6,1,1,1,0,48-02515,18,1,2,411,2
8,1,1,1,1,1,0,48-02101,59,0,N,501,2
9,2,1,1,1,8,0,48-02102,67,0,2,501,1
10,1,1,1,1,7,0,48-02515,72,0,5,71,2
11,1,1,1,2,7,0,48-02515,58,0,N,81,1
12,1,1,1,1,8,0,48-02102,57,0,N,501,2
13,1,1,1,1,1,0,48-02515,71,3,5,445,2
14,2,4,1,1,6,0,48-02101,73,0,2,501,2
15,2,N,1,1,N,0,48-02510,11,2,4,501,2
16,1,1,1,1,8,0,48-02516,56,0,2,501,2
17,2,4,1,1,0,0,48-02510,27,0,4,370,2
18,1,6,1,2,5,0,48-02516,69,0,2,427,2
19,1,3,1,1,2,0,48-02507,67,0,2,132,2
20,1,6,1,1,8,0,48-02102,60,0,2,253,2
21,2,4,1,2,3,0,48-02515,49,0,N,12,2
22,2,N,1,1,N,1,48-02102,9,2,4,315,2
23,1,6,1,0,8,0,48-02507,28,0,7,491,2
24,2,6,1,1,4,0,48-02102,50,1,4,393,2
25,1,N,2,0,N,0,48-02102,7,1,2,315,2
26,1,4,1,1,0,0,48-02102,50,2,5,144,2
27,2,1,9,1,5,0,48-02101,42,0,5,287,2
28,2,1,1,2,7,0,48-02515,37,2,3,269,2
29,2,N,1,1,N,0,48-02507,6,2,4,412,2
30,2,1,6,1,8,0,48-02507,46,0,5,501,2
31,2,1,1,2,7,0,48-02516,68,0,N,190,2
32,2,N,1,1,N,0,48-02102,10,4,6,462,2
33,1,1,1,1,3,0,48-02101,36,2,4,501,2
34,1,6,8,1,0,0,48-02101,15,1,4,501,2
35,2,N,1,2,9,0,48-02102,47,2,4,249,2
36,1,3,1,1,3,1,48-02101,88,0,3,35,2
37,1,1,1,2,7,4,48-02516,74,0,N,448,2
38,1,4,1,1,7,0,48-02101,68,0,5,501,2
39,2,N,1,1,N,1,48-02510,6,0,N,501,2
40,1,N,1,1,N,0,48-02101,6,0,2,501,2
41,2,6,1,2,4,1,48-02102,27,3,6,166,2
42,2,1,1,1,9,1,48-02515,67,0,2,501,2
43,2,N,1,1,5,0,48-02516,25,3,4,501,2
44,2,N,1,2,N,1,48-02101,0,4,6,95,2
45,2,1,1,1,5,0,48-02515,78,0,N,114,2
46,2,1,2,2,2,1,48-02507,73,0,2,24,2
47,1,6,1,1,1,0,48-02507,22,0,5,501,2
