,Target samples,Deid. samples
0,625,0
1,0,0
2,89,2
3,35,1
4,53,2
5,323,17
6,178,12
7,0,0
8,46,4
9,0,0
10,53,6
11,0,0
12,280,38
13,0,0
14,0,0
15,0,0
16,181,34
17,213,45
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,357,107
24,794,245
25,0,0
26,0,0
27,0,0
28,1401,565
29,0,0
30,358,155
31,1740,794
32,0,0
33,0,0
34,56,29
35,0,0
36,0,0
37,1273,734
38,0,0
39,0,0
40,107,71
41,1445,1024
42,0,0
43,1988,1485
44,0,0
45,0,0
46,0,0
47,28,25
48,606,556
49,199,193
50,0,0
51,10655,10983
52,0,0
53,0,0
54,0,0
55,5,6
56,0,0
57,0,0
58,0,0
59,1441,2062
60,716,1090
61,0,0
62,15,25
63,798,1336
64,178,317
65,349,637
66,0,0
67,7,14
68,0,0
69,25,55
70,0,0
71,21,51
72,0,0
73,0,0
74,0,0
75,47,144
76,0,0
77,312,1019
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,1,5
84,0,0
85,8,46
86,0,0
87,0,0
88,0,0
89,0,0
90,11,103
91,76,773
92,159,1786
93,0,0
94,1,16
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
