,feature,divergence
13,PINCP,0.6766821604871545
11,INDP_CAT,0.3769196996465104
1,AGEP,0.354397559735638
15,POVPIP,0.1496692105639224
14,PINCP_DECILE,0.11056678557273103
12,EDU,0.1030305536601673
7,NPF,0.06775882124854593
6,NOC,0.03831246992679216
3,MSP,0.02303737760523632
5,RAC1P,0.017595165689661522
9,OWN_RENT,0.016889864283427376
0,PUMA,0.015603775756878213
16,DVET,0.010403284916601804
8,HOUSING_TYPE,0.010295481452249408
18,DPHY,0.007878889968051465
4,HISP,0.007612692478527037
17,DREM,0.006023398950360061
10,DENSITY,0.004511395629432313
20,DEAR,0.004028571094634517
19,DEYE,0.0027229755464995183
2,SEX,0.0008285167313085706
