,INDP,count_target,count_deidentified
3,1070,3,0.0
26,1080,1,0.0
29,1090,5,0.0
44,1170,3,0.0
5,1180,11,0.0
18,1270,5,0.0
9,1280,11,0.0
23,1290,1,0.0
27,1370,4,0.0
28,1390,1,0.0
45,1480,1,0.0
33,1670,2,0.0
13,1691,2,0.0
22,1790,4,0.0
48,1870,3,0.0
39,1880,3,0.0
42,1890,1,0.0
30,1990,4,0.0
38,2070,1,0.0
7,2090,2,0.0
47,2190,1,0.0
24,2270,1,0.0
46,2280,2,0.0
20,2290,2,0.0
12,2370,5,0.0
19,2390,2,0.0
41,2480,4,0.0
49,2490,1,0.0
21,2570,2,0.0
15,2590,1,0.0
10,2670,6,0.0
1,2770,3,0.0
4,2870,2,0.0
6,2880,3,0.0
31,2890,3,0.0
36,2970,2,0.0
16,2980,4,0.0
50,3080,1,0.0
40,3095,2,0.0
51,3180,1,0.0
0,3291,14,0.0
17,3370,1,0.0
34,3380,3,0.0
43,3390,1,32.0
37,3490,10,0.0
2,3570,17,0.0
14,3580,6,0.0
32,3875,1,0.0
25,3895,2,0.0
8,3960,3,0.0
35,3980,4,0.0
11,3990,11,0.0
