,AGEP_x,DEAR_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA,PWGTP_x,RAC1P,SEX,WGTP_x,AGEP_y,DEAR_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,INDP_y,NOC_y,NPF_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,PWGTP_y,WGTP_y,percent_match
0,83,2,2,1,2,N,4,0,1,N,N,3,0,N,1,57780.0,4,N,38-00100,26,1,1,104,69,1,2,1,2,N,1,N,0,N,60800.0,7,501,15,15,53.333333333333336
1,63,2,2,2,2,N,7,0,1,180,14,6,0,7,2,6676.0,1,107,36-04010,78,2,2,81,20,2,2,2,2,N,1,8680,2,7,16000.0,3,229,237,216,46.666666666666664
2,21,2,2,2,2,N,7,0,1,180,8,6,0,3,1,34551.0,8,501,19-01700,199,1,1,74,38,2,2,2,2,N,1,6570,0,N,28800.0,4,217,102,102,46.666666666666664
3,3,2,2,1,1,N,4,0,1,7870,8,6,0,2,1,28538.0,2,87,08-00803,217,1,1,163,16,2,2,2,2,N,1,6770,0,3,280.0,1,190,248,194,33.33333333333333
4,13,2,2,2,2,N,5,0,1,N,N,1,0,2,2,-223.0,0,114,17-03531,41,2,2,46,57,2,2,2,2,N,1,N,0,4,0.0,0,48,131,151,60.0
5,80,2,2,2,2,N,9,0,1,N,10,4,0,N,2,49991.0,4,501,17-03529,102,2,2,62,63,2,2,2,2,N,1,7680,0,N,25120.0,4,190,85,86,60.0
6,82,2,2,2,2,N,7,0,3,6680,10,6,N,N,1,48629.0,1,103,36-04010,104,2,2,108,25,2,2,2,2,N,1,7290,0,2,34000.0,5,200,229,229,33.33333333333333
7,1,2,2,2,2,N,9,0,1,170,15,1,0,N,1,82327.0,8,501,26-02702,106,1,1,114,40,2,2,2,2,N,1,9090,2,4,96500.0,9,501,166,166,46.666666666666664
8,7,2,2,2,2,N,10,0,1,5170,12,6,0,N,1,26015.0,6,501,29-01901,112,1,2,183,62,2,2,2,2,N,1,8270,0,2,0.0,0,0,91,111,46.666666666666664
9,42,2,2,N,N,N,N,0,1,N,N,N,2,6,2,N,N,79,40-00200,277,3,1,129,2,2,2,N,N,N,1,N,1,3,N,N,435,116,56,60.0
10,15,2,2,2,2,N,9,0,1,7690,4,1,0,4,1,180875.0,9,501,06-07502,88,1,1,23,65,2,2,2,2,N,1,1270,0,2,572000.0,9,501,58,71,60.0
11,65,2,2,2,2,N,8,0,1,7580,12,4,3,4,1,56579.0,0,501,38-00100,76,1,2,82,34,2,2,2,1,N,1,8180,2,3,60000.0,7,454,169,158,33.33333333333333
12,19,2,2,2,2,N,7,0,3,8680,14,6,N,N,0,5616.0,1,N,13-04600,108,1,1,0,18,2,2,2,2,N,3,8570,N,N,18000.0,4,N,56,0,66.66666666666666
13,33,2,2,2,2,N,10,0,1,8670,10,1,3,2,1,289.0,0,126,38-00100,94,3,1,49,48,2,2,2,2,N,1,7390,0,4,100000.0,9,399,25,26,40.0
14,52,2,2,2,2,N,9,0,1,7870,11,1,0,4,1,-16.0,9,501,38-00100,66,3,2,72,55,2,2,2,2,N,1,7870,1,3,59000.0,7,460,81,81,46.666666666666664
15,38,2,2,2,2,N,4,4,3,3490,N,6,N,N,0,117.0,0,N,36-03710,65,1,1,0,50,2,2,2,2,N,2,N,N,N,0.0,0,N,95,0,66.66666666666666
16,19,2,2,1,1,N,6,0,2,N,N,6,N,N,0,161.0,0,N,51-01301,105,1,1,0,17,2,2,2,2,N,2,N,N,N,0.0,0,N,11,0,66.66666666666666
17,4,2,2,2,2,N,7,0,1,2370,8,6,0,2,1,145343.0,9,501,19-01700,65,1,2,51,18,2,2,2,2,N,1,6570,1,4,4500.0,1,501,135,91,46.666666666666664
18,48,2,2,2,2,N,10,0,1,7870,11,6,0,2,1,37482.0,1,195,38-00100,49,1,1,21,40,2,2,2,2,N,1,7860,0,N,65000.0,8,496,155,155,46.666666666666664
