,feature,divergence
22,WGTP,4.881119984225575
15,POVPIP,4.208130058764829
21,PWGTP,4.104291625982238
13,PINCP,3.780943414140135
1,AGEP,2.9888469307104595
14,PINCP_DECILE,1.984857216425322
10,INDP,1.9775220802591822
11,INDP_CAT,1.5168996547244864
12,EDU,1.248276835238312
7,NPF,1.1324712570097049
3,MSP,0.8058748762974115
6,NOC,0.6780680972864582
0,PUMA,0.5008361600996005
5,RAC1P,0.31941265299634397
17,DREM,0.20548956704172366
4,HISP,0.1768468872426736
18,DPHY,0.1720951720951721
9,OWN_RENT,0.13476236733915997
16,DVET,0.10265449119435202
20,DEAR,0.0890284244665062
19,DEYE,0.07207913804192541
8,HOUSING_TYPE,0.06944788492641601
2,SEX,0.012757254862518108
