,AGEP_x,DEYE_x,HISP,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,DEYE_y,NOC_y,NPF_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,28,2,0,6,0,7,0,8,491,48-02507,1,1,21,2,N,N,2,26,16.666666666666664
1,75,2,4,2,0,2,1,5,391,48-02101,1,2,27,2,0,6,8,501,33.33333333333333
2,64,2,1,4,0,2,1,6,413,48-02515,8,2,55,2,3,8,5,210,16.666666666666664
3,42,2,2,1,N,N,2,7,24,48-02515,8,2,37,2,3,6,5,187,16.666666666666664
4,47,2,4,4,4,6,2,8,191,48-02101,1,2,27,2,2,3,3,91,16.666666666666664
5,0,2,0,N,3,5,2,N,95,48-02515,2,1,2,2,1,2,N,75,33.33333333333333
6,6,2,1,N,6,7,2,N,142,48-02102,2,1,13,2,2,5,N,393,33.33333333333333
7,92,2,0,3,0,2,0,7,N,48-02510,2,2,81,2,N,N,2,N,33.33333333333333
8,23,2,2,6,0,3,2,2,89,48-02507,1,1,15,2,3,6,0,449,16.666666666666664
9,56,2,1,1,0,2,2,9,30,48-02507,8,1,26,2,1,3,2,162,16.666666666666664
10,58,2,2,1,0,N,2,2,456,48-02516,1,1,48,2,0,2,9,501,33.33333333333333
11,15,2,0,6,3,5,1,0,275,48-02515,3,1,21,2,0,4,0,330,33.33333333333333
12,1,2,0,N,0,2,2,N,492,48-02507,9,2,4,2,3,4,N,89,33.33333333333333
13,66,2,1,5,0,3,1,2,257,48-02515,1,2,29,2,3,4,7,194,16.666666666666664
14,92,2,1,2,0,N,0,7,N,48-02101,1,1,48,2,N,N,3,N,50.0
15,17,2,1,6,4,6,2,2,210,48-02515,8,1,31,2,0,N,4,182,16.666666666666664
16,80,2,1,1,0,2,2,8,0,48-02515,2,2,25,2,0,2,0,326,50.0
17,14,2,1,2,4,5,2,N,312,48-02102,1,2,33,2,0,N,0,0,16.666666666666664
18,30,2,0,3,3,4,1,3,220,48-02510,2,2,61,2,0,N,9,501,16.666666666666664
19,70,2,4,4,0,N,1,5,450,48-02507,1,1,52,2,0,3,6,412,33.33333333333333
20,0,2,0,N,4,6,0,N,N,48-02101,1,2,9,2,N,N,N,N,50.0
21,42,2,0,6,2,4,2,2,470,48-02101,9,2,25,2,2,3,0,0,33.33333333333333
22,92,2,0,2,0,2,1,3,211,48-02102,6,2,35,2,0,6,0,0,33.33333333333333
23,7,2,1,N,2,4,1,N,28,48-02510,2,1,14,2,1,3,N,105,33.33333333333333
24,6,2,4,N,2,4,1,N,501,48-02515,1,1,11,2,3,6,N,161,33.33333333333333
25,28,2,0,6,0,3,1,4,501,48-02515,3,2,24,2,0,4,2,330,33.33333333333333
26,3,2,2,N,1,4,2,N,184,48-02516,1,2,3,2,1,2,N,189,66.66666666666666
27,75,1,0,1,0,2,2,8,401,48-02507,3,2,47,2,2,4,2,317,0.0
28,65,2,0,4,0,2,2,5,468,48-02516,2,2,65,2,0,N,6,295,50.0
29,79,2,0,3,0,3,0,5,N,48-02516,1,1,81,2,N,N,0,N,33.33333333333333
30,43,2,0,6,0,2,1,9,501,48-02102,6,2,16,2,1,3,0,295,16.666666666666664
