,feature,divergence
22,PWGTP,9.777807615876256
23,WGTP,9.004704272247244
1,AGEP,8.600698567935734
14,PINCP,4.63779041626331
11,INDP,3.6824042784991406
13,EDU,2.999171845129052
12,INDP_CAT,2.6633403185329896
15,PINCP_DECILE,2.0400792062221207
16,POVPIP,1.2040394321204462
0,PUMA,0.40016982502329357
7,NPF,0.3485603044509026
3,MSP,0.279170960874315
6,NOC,0.2602925933334546
10,DENSITY,0.20310248745375603
2,SEX,0.08731820780223631
9,OWN_RENT,0.08232580114095178
5,RAC1P,0.06236957640160159
19,DPHY,0.047192393958855036
8,HOUSING_TYPE,0.04341324542694376
18,DREM,0.03184025305566746
4,HISP,0.027119655498777363
20,DEYE,0.01250006382416434
17,DVET,0.008233482088425963
21,DEAR,0.007397730718008932
