,AGEP_x,DEYE_x,DVET_x,EDU,HOUSING_TYPE_x,MSP,OWN_RENT,PINCP_DECILE_x,RAC1P,SEX,AGEP_y,DEYE_y,DVET_y,HOUSING_TYPE_y,PINCP_DECILE_y,percent_match
0,87,2,N,12,2,6,1,4,1,1,51,2,N,1,8,40.0
1,20,2,N,6,1,5,1,4,1,1,53,2,N,1,1,60.0
2,54,2,N,1,1,2,1,3,1,2,26,2,N,1,2,60.0
3,56,2,N,9,2,3,1,9,9,2,72,2,N,1,5,40.0
4,51,2,N,5,2,2,1,8,8,1,24,2,N,1,5,40.0
5,26,2,N,9,1,6,2,7,9,2,27,2,N,1,7,80.0
6,48,2,N,7,3,5,1,5,2,1,30,2,N,1,4,40.0
7,39,2,N,6,3,4,1,4,6,2,56,2,N,1,8,40.0
8,73,2,N,4,1,3,1,9,2,2,77,2,N,1,2,60.0
9,82,2,N,1,1,5,2,N,1,1,35,2,N,1,5,60.0
10,9,2,N,12,3,2,1,4,1,2,57,2,N,1,9,40.0
11,51,2,N,1,3,1,1,4,9,1,88,2,N,1,3,40.0
12,35,2,N,9,3,4,2,8,6,2,53,2,N,1,3,40.0
13,7,1,N,2,2,N,1,N,8,2,6,2,N,1,N,40.0
14,36,2,N,6,2,4,2,1,8,2,49,2,N,1,3,40.0
15,92,2,N,7,1,3,1,N,9,1,69,2,5,1,7,40.0
16,56,2,N,5,3,5,2,7,1,1,56,2,N,1,6,60.0
17,43,2,N,3,3,1,1,2,6,2,37,2,N,1,8,40.0
18,63,2,N,7,1,1,2,5,3,2,47,2,N,1,2,60.0
19,18,2,N,5,2,6,0,1,3,2,20,2,N,3,2,40.0
20,13,2,N,5,3,3,0,3,2,1,86,2,N,2,2,40.0
21,16,2,N,4,2,2,1,0,6,1,16,2,N,1,0,80.0
22,25,2,N,5,3,4,1,N,3,2,69,1,N,1,3,20.0
23,1,2,N,8,1,2,1,3,1,2,33,2,N,1,2,60.0
24,35,2,N,6,1,6,1,0,8,1,42,2,N,1,1,60.0
25,17,2,N,5,1,6,0,6,8,1,28,2,N,2,0,40.0
26,87,2,N,4,3,1,2,0,9,2,31,2,N,1,5,40.0
27,92,2,N,10,3,6,1,5,8,2,65,2,N,1,9,40.0
28,61,2,N,7,3,6,0,N,6,2,21,2,N,3,2,60.0
29,56,2,N,6,3,6,0,5,8,1,28,2,N,2,2,40.0
30,5,2,N,2,1,N,1,N,6,2,4,2,N,1,N,80.0
31,57,2,N,4,2,1,2,8,2,1,31,2,N,1,4,40.0
32,65,2,N,12,1,1,2,9,2,1,45,2,N,1,7,60.0
33,84,2,N,2,1,4,2,4,1,2,60,2,N,1,8,60.0
34,65,2,N,12,1,4,2,2,1,1,77,1,N,1,4,40.0
35,44,2,N,7,2,4,2,0,8,2,40,2,N,1,4,40.0
36,72,2,N,3,3,1,1,2,6,1,70,2,N,1,3,40.0
37,50,2,N,4,3,2,0,9,1,2,76,2,N,2,2,40.0
38,23,2,N,8,2,6,0,2,2,1,23,2,N,2,2,100.0
39,46,2,N,3,2,4,1,8,9,1,57,2,N,1,7,40.0
40,16,2,N,4,3,6,2,0,3,1,16,2,N,1,2,60.0
41,15,2,N,3,2,6,1,0,2,2,15,2,N,1,0,80.0
42,65,2,N,5,3,4,1,1,9,2,52,2,N,1,2,40.0
43,48,2,N,1,1,2,2,2,1,1,66,2,N,1,6,60.0
44,49,2,N,8,3,1,2,5,9,1,85,2,N,1,3,40.0
45,72,2,N,10,2,3,1,7,6,1,65,2,N,1,1,40.0
46,38,2,N,7,3,2,0,6,8,1,67,1,N,2,2,20.0
47,56,2,N,8,1,4,1,5,6,1,31,2,N,1,1,60.0
48,76,2,N,12,1,2,1,6,1,1,81,2,N,1,6,80.0
49,5,2,N,3,3,N,2,7,3,1,14,2,N,1,N,40.0
50,71,2,N,7,1,4,2,9,2,1,85,2,N,1,4,60.0
51,71,2,N,12,3,4,1,8,1,1,71,2,N,1,8,80.0
52,64,2,N,8,2,4,1,2,2,1,46,2,N,1,4,40.0
