,INDP,count_target,count_deidentified
12,4670,25,64.0
22,4680,3,4.0
6,4690,9,18.0
18,4770,14,104.0
33,4780,3,45.0
20,4795,24,39.0
15,4870,27,4.0
16,4880,7,20.0
31,4890,4,0.0
5,4971,79,45.0
27,4972,7,30.0
25,4980,11,22.0
10,4990,11,54.0
13,5070,32,50.0
7,5080,15,40.0
30,5090,9,27.0
1,5170,48,60.0
14,5180,6,19.0
8,5190,10,50.0
3,5275,18,11.0
29,5295,4,16.0
4,5370,5,3.0
24,5381,10,20.0
11,5391,16,0.0
32,5470,2,15.0
23,5480,7,57.0
2,5490,9,4.0
21,5570,8,16.0
17,5580,15,35.0
9,5593,26,21.0
26,5670,3,31.0
28,5680,6,0.0
19,5690,1,40.0
0,5790,19,59.0
