,feature,divergence
21,PWGTP,14.542328042328043
0,AGEP,12.576441102756892
22,WGTP,11.66046511627907
9,DENSITY,8.427819162599535
13,PINCP,7.1235294117647046
12,EDU,6.426842806394316
10,INDP,6.333900689905595
11,INDP_CAT,4.0922067901234565
14,PINCP_DECILE,4.032085561497326
15,POVPIP,3.355850501848916
2,MSP,2.587661406025825
6,NPF,2.587244081219985
16,DVET,2.010290148448043
4,RAC1P,1.4753567583756262
1,SEX,0.7464535464535464
5,NOC,0.7225251076040172
3,HISP,0.3915159944367177
8,OWN_RENT,0.26280235988200595
18,DPHY,0.1858949032003161
17,DREM,0.14933946008041354
7,HOUSING_TYPE,0.07715772474430288
20,DEAR,0.049842602308499476
19,DEYE,0.036429558011049724
