,feature,divergence
1,AGEP,1.1579127459366978
13,PINCP,0.3827860528097495
12,EDU,0.37511323867374863
14,PINCP_DECILE,0.2753234785225307
7,NPF,0.17726657645466848
15,POVPIP,0.17381254010299274
11,INDP_CAT,0.15831501831501826
3,MSP,0.11279461279461284
2,SEX,0.08251285674058784
6,NOC,0.04325388773081957
9,OWN_RENT,0.029733218237756244
0,PUMA,0.02652653662275828
10,DENSITY,0.02652653662275828
5,RAC1P,0.018306636155606387
4,HISP,0.01824018569980434
18,DPHY,0.010000045966655796
19,DEYE,0.005562834370564471
8,HOUSING_TYPE,0.003961745671944097
16,DVET,0.0020398700915515234
20,DEAR,0.0018254592956071722
17,DREM,0.0008097460089563427
