,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,NOC_y,NPF_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,65,2,10,2,2,2,N,9,0,1,9,1,1,2,2,43700.0,6,229,32-00405,1,2,53,2,9,2,2,2,N,1,0,2,21000.0,4,124,53.84615384615385
1,65,2,10,2,2,2,N,7,0,3,10,4,0,2,1,8000.0,2,218,17-03531,2,2,64,2,10,2,2,2,N,1,0,9,15000.0,3,239,53.84615384615385
2,74,2,10,2,2,2,N,9,0,1,16,6,0,2,1,13710.0,3,501,17-03531,2,1,57,2,10,2,2,2,N,1,0,N,101600.0,9,501,69.23076923076923
3,23,2,7,2,2,2,3,10,0,1,14,6,N,N,1,5000.0,1,204,08-00803,1,1,29,2,7,2,2,2,N,1,0,N,70000.0,7,501,53.84615384615385
4,20,2,7,2,2,2,N,9,0,1,17,6,0,N,2,90000.0,8,501,24-01004,1,2,24,2,8,2,2,2,N,1,0,N,45000.0,5,339,61.53846153846154
5,58,2,7,2,2,2,N,12,0,1,11,1,0,2,1,100000.0,8,501,06-08507,1,2,68,2,7,2,2,2,N,1,0,2,76000.0,7,501,76.92307692307693
6,68,1,10,2,2,2,N,7,0,1,10,1,2,4,2,38130.0,9,501,51-51255,1,1,59,2,10,2,2,2,N,1,0,3,108000.0,8,501,53.84615384615385
7,66,2,13,2,2,2,N,4,0,1,16,1,0,4,1,0.0,0,501,36-04010,2,1,66,2,13,2,2,2,N,1,0,2,92000.0,8,501,76.92307692307693
8,85,2,7,2,2,2,N,5,0,1,15,3,0,N,2,68000.0,3,501,29-01901,2,2,77,2,8,2,1,2,N,1,0,N,13900.0,3,114,61.53846153846154
9,1,2,7,2,N,N,N,1,0,1,N,N,1,4,2,N,N,501,06-08507,6,2,3,2,7,2,N,N,N,1,2,4,N,N,391,76.92307692307693
10,68,2,7,2,2,2,N,7,0,1,8,3,0,2,1,23200.0,4,305,38-00100,1,2,68,2,0,2,2,2,N,1,0,N,7400.0,1,60,61.53846153846154
11,3,2,7,2,2,2,N,N,0,3,N,N,2,4,1,N,N,341,19-01700,6,1,1,2,7,2,N,N,N,1,5,8,N,N,166,46.15384615384615
12,71,2,7,2,1,1,N,5,0,1,9,1,0,4,2,176300.0,5,434,38-00100,1,2,37,2,0,2,2,2,N,1,2,5,9000.0,2,501,30.76923076923077
13,52,2,7,2,2,2,2,9,0,1,N,4,0,N,2,260150.0,7,8,30-00600,1,2,82,2,0,2,2,2,N,1,0,N,52600.0,7,435,61.53846153846154
14,50,2,7,2,2,2,N,7,0,1,12,1,2,3,1,70000.0,7,501,24-01004,1,2,59,2,8,2,2,2,N,1,0,6,20800.0,3,362,46.15384615384615
15,64,2,11,2,2,2,N,5,0,1,13,4,N,N,1,68900.0,2,222,17-03529,2,2,78,2,11,2,2,2,N,1,0,3,40300.0,6,501,53.84615384615385
16,76,2,7,2,2,2,N,9,0,1,12,1,1,3,1,25000.0,4,190,40-00200,1,1,62,2,0,2,2,2,N,1,0,3,15000.0,3,341,53.84615384615385
17,56,2,11,2,2,2,N,10,0,1,11,6,0,N,2,85000.0,8,501,17-03529,6,1,30,2,11,2,2,2,N,1,0,N,32000.0,5,241,69.23076923076923
18,68,2,13,2,2,2,N,7,0,1,N,6,2,4,2,5000.0,2,403,36-03710,2,2,17,2,13,2,2,2,N,1,0,4,0.0,0,121,61.53846153846154
19,43,2,7,2,2,2,N,5,0,1,16,6,0,N,2,14000.0,3,46,13-04600,2,1,58,2,7,2,2,2,N,1,0,3,55370.0,7,501,61.53846153846154
20,59,2,7,2,2,2,N,10,0,1,12,1,0,2,2,65000.0,7,447,38-00100,1,2,44,2,0,2,2,2,N,1,2,4,8000.0,1,501,46.15384615384615
21,54,2,7,2,2,2,N,8,0,1,16,4,N,N,1,12500.0,2,317,30-00600,1,1,61,2,0,2,1,2,N,1,0,N,35000.0,6,264,46.15384615384615
22,62,2,10,2,2,2,N,10,0,1,9,4,3,6,1,163300.0,9,501,51-51255,1,2,51,2,10,2,2,2,N,1,0,N,110730.0,8,501,61.53846153846154
23,19,2,7,1,2,2,N,5,0,1,15,6,3,5,2,6720.0,9,127,08-00803,1,2,20,2,7,2,2,2,N,1,0,N,30.0,1,0,46.15384615384615
24,59,2,7,2,2,2,N,10,0,1,11,6,0,4,2,48630.0,0,98,28-01100,1,2,30,2,7,2,2,2,N,1,0,N,66000.0,8,498,61.53846153846154
25,65,2,13,2,2,2,N,11,0,1,N,1,0,2,1,13980.0,7,451,06-07502,1,2,39,2,12,2,2,2,N,1,2,4,0.0,0,501,46.15384615384615
26,37,2,10,2,2,2,N,12,0,1,16,1,2,4,1,8700.0,3,501,51-51255,1,1,49,2,10,2,2,2,N,1,0,2,162500.0,9,501,61.53846153846154
27,41,2,7,2,2,2,N,9,0,1,15,4,0,2,2,4000.0,2,30,08-00803,1,2,50,2,7,2,2,2,N,1,0,N,40000.0,5,306,61.53846153846154
28,27,1,7,2,2,2,N,5,0,1,14,6,4,6,2,190000.0,5,448,08-00803,1,1,23,2,7,2,2,2,N,1,0,N,5000.0,1,38,46.15384615384615
29,34,2,13,2,2,2,N,4,0,1,N,6,4,4,2,0.0,0,0,36-04010,8,1,15,2,13,2,2,2,N,1,1,3,0.0,0,0,76.92307692307693
30,1,2,13,2,2,2,N,3,1,1,N,N,1,3,2,N,N,468,36-03710,1,1,14,2,13,2,2,2,N,1,2,3,N,N,488,76.92307692307693
31,15,2,7,2,1,2,N,4,1,1,N,6,0,N,1,0.0,0,180,08-00803,1,1,16,2,7,2,2,2,N,1,1,3,0.0,0,501,61.53846153846154
32,16,2,7,2,2,2,N,9,0,1,10,6,0,3,1,66000.0,7,305,29-01901,2,2,28,2,8,2,2,2,N,1,0,3,35000.0,6,501,61.53846153846154
33,28,2,7,2,2,2,N,7,0,1,14,6,N,N,2,40000.0,5,305,38-00100,3,1,41,1,0,2,2,2,N,1,0,10,4200.0,1,127,38.46153846153847
34,36,2,7,2,2,2,N,10,0,1,14,6,0,N,1,90000.0,9,202,28-01100,2,2,47,2,7,2,2,2,N,1,0,3,20400.0,5,501,61.53846153846154
35,78,1,7,2,2,2,N,10,0,1,11,1,4,5,2,230700.0,9,64,13-04600,2,1,46,2,7,2,2,2,4,1,0,3,34300.0,5,501,38.46153846153847
36,70,2,11,2,2,2,N,4,0,1,14,6,0,N,2,77000.0,1,221,17-03529,2,1,29,2,11,2,2,2,N,1,3,5,12000.0,2,381,53.84615384615385
37,60,2,7,2,2,2,N,10,0,1,11,6,0,3,2,290.0,9,501,06-08507,1,2,73,2,7,2,2,2,N,1,0,N,77300.0,7,501,69.23076923076923
38,36,2,7,2,2,2,N,9,0,1,N,1,0,2,1,0.0,0,471,13-04600,1,1,68,2,7,2,2,2,N,1,0,2,35700.0,6,378,69.23076923076923
39,66,1,7,2,2,2,N,9,0,1,15,1,0,2,1,68260.0,8,501,26-02702,1,1,40,2,8,2,2,2,N,1,2,4,96500.0,9,501,46.15384615384615
40,72,2,10,2,2,2,N,8,0,1,12,1,0,2,1,3540.0,9,501,51-51255,1,1,62,1,10,2,2,2,N,1,0,2,98000.0,8,501,69.23076923076923
41,45,2,10,2,2,2,N,10,0,1,11,1,2,4,1,59000.0,7,0,17-03531,2,2,37,2,10,2,2,2,N,1,0,2,69200.0,7,501,61.53846153846154
42,31,2,7,2,2,2,N,4,0,1,N,6,0,N,1,30000.0,4,181,01-01301,1,2,68,2,7,2,1,2,N,1,0,3,16700.0,4,169,61.53846153846154
43,78,2,7,2,2,2,N,11,0,1,N,3,0,3,1,312000.0,2,501,08-00803,1,2,78,2,7,2,2,2,N,1,0,N,57000.0,6,471,69.23076923076923
44,54,2,7,2,1,2,N,6,0,1,14,1,0,2,1,49000.0,7,501,40-00200,3,2,20,2,0,2,2,2,N,1,1,3,9500.0,2,155,38.46153846153847
45,65,2,10,2,2,2,N,5,0,1,N,4,0,N,1,0.0,0,101,32-00405,2,2,56,2,9,1,2,2,N,1,2,5,0.0,0,314,53.84615384615385
46,53,2,7,1,2,2,N,4,0,1,12,1,4,6,2,333000.0,9,342,38-00100,1,1,25,2,0,2,2,2,N,1,0,2,50000.0,6,434,38.46153846153847
47,22,2,13,2,2,2,N,8,0,1,9,6,N,N,1,5900.0,9,231,36-03710,2,1,24,2,13,2,2,2,N,1,0,2,35000.0,5,266,53.84615384615385
