,AGEP_x,DVET_x,EDU,HOUSING_TYPE_x,MSP,OWN_RENT,PINCP_DECILE_x,RAC1P,SEX,AGEP_y,DVET_y,HOUSING_TYPE_y,PINCP_DECILE_y,percent_match
0,71,N,1,1,3,1,3,2,2,65,N,1,1,50.0
1,90,N,12,1,1,1,8,9,1,64,N,1,1,50.0
2,8,N,N,1,N,1,N,8,2,1,N,1,N,75.0
3,12,N,5,2,6,2,1,2,1,19,N,1,3,25.0
4,77,N,11,1,5,2,7,6,1,36,N,1,9,50.0
5,32,N,12,1,4,2,9,6,1,52,N,1,9,75.0
6,1,N,9,1,6,2,4,9,1,23,N,1,7,50.0
7,45,N,7,1,3,1,4,2,2,52,N,1,6,50.0
8,29,N,7,1,6,2,1,9,2,20,N,1,2,50.0
9,26,N,5,1,4,2,4,6,2,46,N,1,1,50.0
10,91,N,3,1,4,2,N,1,1,56,N,1,2,50.0
11,47,N,5,1,2,1,3,6,1,49,N,1,0,50.0
12,32,N,1,1,6,2,7,1,1,32,N,1,3,75.0
13,10,N,11,1,2,1,0,1,1,39,N,1,7,50.0
14,55,N,9,3,5,2,2,1,1,50,N,1,9,25.0
15,13,N,3,1,1,1,7,6,2,76,N,1,4,50.0
16,28,N,9,1,6,1,4,8,1,29,N,1,8,50.0
17,77,N,9,1,6,0,3,6,1,66,N,2,0,25.0
18,29,N,10,1,2,2,8,1,2,56,N,1,9,50.0
19,50,N,12,1,2,1,2,1,1,69,N,1,9,50.0
20,29,N,9,1,6,1,0,9,2,27,N,1,3,50.0
21,43,N,12,1,4,2,8,1,1,72,N,1,2,50.0
22,28,N,10,1,5,2,7,1,1,73,N,1,6,50.0
23,28,N,5,1,1,2,4,8,1,62,N,1,7,50.0
24,32,N,11,1,6,2,0,6,1,27,N,1,9,50.0
25,35,N,5,1,6,0,0,9,1,18,N,3,9,25.0
26,43,N,7,1,6,2,2,9,1,66,N,1,3,50.0
27,82,N,10,1,6,0,7,6,2,26,N,3,5,25.0
28,22,N,11,1,5,1,0,1,2,57,N,1,7,50.0
29,29,N,7,1,1,2,7,9,2,20,N,1,2,50.0
30,40,N,9,1,1,2,0,2,1,32,N,1,7,50.0
31,61,N,5,1,6,1,1,8,2,18,N,1,2,50.0
32,37,N,7,1,1,2,6,6,2,41,N,1,0,50.0
33,41,N,3,2,2,2,2,1,2,41,N,1,4,50.0
34,37,N,10,1,2,2,3,6,1,49,N,1,6,50.0
35,47,N,3,1,3,2,N,1,1,67,N,1,1,50.0
36,55,N,9,1,5,2,6,1,2,54,N,1,8,50.0
37,45,N,8,1,4,1,3,2,2,54,N,1,6,50.0
38,21,N,6,1,1,1,3,6,1,51,N,1,5,50.0
39,29,N,5,1,6,2,2,9,2,40,N,1,4,50.0
40,87,N,12,1,6,2,8,6,1,41,N,1,9,50.0
41,29,N,8,1,6,1,7,9,2,31,N,1,7,75.0
42,94,N,1,1,4,1,7,6,2,40,N,1,3,50.0
43,46,N,12,1,1,1,9,2,1,73,N,1,9,75.0
44,40,N,5,1,1,2,7,2,2,36,N,1,0,50.0
