,Target samples,Deid. samples
0,37,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,10,1
10,0,0
11,0,0
12,0,0
13,0,0
14,25,4
15,0,0
16,0,0
17,15,3
18,0,0
19,0,0
20,8,2
21,0,0
22,0,0
23,0,0
24,0,0
25,42,14
26,0,0
27,24,9
28,195,76
29,0,0
30,0,0
31,0,0
32,0,0
33,4,2
34,0,0
35,0,0
36,29,16
37,393,235
38,0,0
39,0,0
40,494,328
41,0,0
42,0,0
43,688,511
44,10,8
45,0,0
46,4547,3841
47,0,0
48,11960,10973
49,339,332
50,4,4
51,0,0
52,19,21
53,65,73
54,646,753
55,6934,8395
56,229,303
57,0,0
58,0,0
59,114,162
60,0,0
61,16,25
62,18,29
63,0,0
64,0,0
65,0,0
66,0,0
67,12,24
68,216,468
69,0,0
70,0,0
71,0,0
72,0,0
73,36,99
74,66,191
75,0,0
76,0,0
77,0,0
78,0,0
79,15,56
80,0,0
81,0,0
82,0,0
83,1,5
84,27,137
85,0,0
86,7,43
87,4,26
88,0,0
89,0,0
90,1,9
91,0,0
92,1,12
93,0,0
94,1,17
95,0,0
96,0,0
97,1,29
98,0,0
99,0,17
