,feature,divergence
1,AGEP,1.5781651581182259
13,PINCP,0.46624051630702545
10,INDP,0.41669451895941834
14,PINCP_DECILE,0.40044585673465366
15,POVPIP,0.30595705448489174
12,EDU,0.283703046652787
7,NPF,0.1286498871255771
11,INDP_CAT,0.10271828689508454
3,MSP,0.050739554742299575
2,SEX,0.03366943451820548
9,OWN_RENT,0.032850647363391654
5,RAC1P,0.023154316260985422
6,NOC,0.018647944298999908
17,DREM,0.016667036019265426
8,HOUSING_TYPE,0.014742464516776167
18,DPHY,0.012084531058200829
0,PUMA,0.01046863503338702
4,HISP,0.010338620253889517
20,DEAR,0.008832382378003933
16,DVET,0.005729215682016163
19,DEYE,0.0010954925743936368
