PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR
38-00100,37,2,6,0,3,0,N,1,2,7071,9,9,122000.0,9,501,N,2,2,2,2
38-00100,75,1,1,0,1,0,2,1,1,N,N,7,5400.0,1,309,N,1,2,2,2
19-01700,39,1,1,0,1,2,4,1,1,9160,15,9,80000.0,9,283,N,2,2,2,2
08-00803,16,1,6,0,1,2,4,1,1,7770,10,4,300.0,1,462,N,2,2,2,2
38-00100,63,1,1,0,1,0,2,1,2,7860,11,5,189000.0,9,501,N,2,2,2,2
38-00100,24,1,6,0,1,0,2,1,1,5391,6,8,8500.0,2,374,N,2,2,2,2
38-00100,21,2,6,0,1,0,N,1,1,7270,10,4,17500.0,3,128,N,2,2,2,2
08-00803,61,2,1,0,1,0,2,1,1,1270,4,9,212500.0,9,501,N,2,2,2,2
08-00803,54,2,1,0,1,0,2,1,1,8590,14,5,30000.0,4,341,N,2,2,2,2
51-01301,72,1,1,0,1,0,2,1,1,N,N,11,99500.0,8,501,N,2,2,2,2
51-51255,45,2,1,0,1,1,3,1,1,7460,10,10,205000.0,9,501,N,2,2,2,2
06-08507,3,2,N,0,9,1,3,1,1,N,N,1,N,N,501,N,N,N,2,2
30-00600,50,1,1,0,1,0,5,1,1,1870,4,5,60000.0,8,305,N,2,2,2,2
36-04010,55,2,1,0,2,0,4,1,1,8290,12,7,68000.0,7,477,N,2,2,2,2
32-00405,15,2,6,1,3,2,5,1,1,N,N,3,0.0,0,366,N,2,2,2,2
30-00600,36,2,1,0,1,4,6,1,1,9370,16,9,32000.0,5,166,N,2,2,2,2
51-51255,31,1,1,0,1,0,2,1,2,8680,14,10,134000.0,9,501,N,2,2,2,2
40-00200,36,1,1,0,3,2,4,1,1,5070,6,4,50000.0,7,194,N,2,2,2,2
29-01901,17,1,6,0,2,0,3,1,2,N,N,4,0.0,0,0,N,2,2,2,2
24-01004,30,2,6,0,2,0,N,1,1,8180,12,12,108000.0,8,501,N,2,2,2,2
32-00405,46,2,2,1,1,2,4,1,2,7860,11,7,19400.0,3,136,N,2,2,2,2
06-08507,10,1,N,0,1,4,6,1,1,N,N,3,N,N,501,N,2,2,2,2
51-01301,44,2,1,0,1,2,4,1,1,9490,16,11,110000.0,8,501,N,2,2,2,2
06-08507,4,1,N,4,1,1,3,1,1,N,N,2,N,N,501,N,N,N,2,2
30-00600,83,2,3,0,1,0,N,1,1,N,N,5,17000.0,3,137,N,2,1,2,2
13-04600,48,1,6,0,2,0,3,1,1,6380,7,5,64000.0,7,497,N,2,2,2,2
36-04010,18,1,6,0,2,0,3,1,1,N,N,5,0.0,0,204,N,2,2,2,2
08-00803,11,2,N,1,3,1,3,1,1,N,N,3,N,N,501,N,2,2,2,2
06-08507,53,2,1,0,1,1,3,1,1,180,0,9,0.0,0,501,N,2,2,2,2
19-01700,46,1,1,0,1,2,4,1,1,8770,15,7,48000.0,7,501,N,2,2,2,2
13-04600,63,2,1,4,8,0,2,1,1,8370,13,7,8000.0,2,94,N,2,2,2,2
19-01700,28,2,6,0,1,0,N,1,2,7290,10,10,161600.0,9,501,N,2,2,2,2
06-08507,3,1,N,0,6,3,4,1,2,N,N,1,N,N,501,N,N,N,2,2
06-07502,55,1,4,0,6,0,N,1,2,6991,9,9,9210.0,2,69,N,2,2,2,2
40-00200,69,1,4,0,1,N,N,3,0,N,N,5,6000.0,2,45,5,1,1,1,1
38-00100,67,2,1,0,1,0,2,1,1,N,N,6,10800.0,2,371,N,2,2,2,2
06-08507,42,2,4,0,1,1,2,1,1,N,N,10,0.0,0,287,N,2,2,2,2
38-00100,35,1,1,0,1,1,4,1,1,170,0,7,-9000.0,0,501,N,2,2,2,2
38-00100,29,2,6,0,3,N,N,2,0,N,N,5,0.0,0,N,N,2,2,2,2
28-01100,28,2,6,0,2,1,2,1,2,6170,7,7,32000.0,6,155,N,2,2,2,2
08-00803,21,2,6,0,1,N,N,3,0,7870,11,7,3500.0,1,N,N,2,2,2,2
30-00600,20,2,6,0,1,2,4,1,2,8680,14,5,16000.0,3,231,N,2,2,2,2
06-08507,47,2,1,0,6,1,3,1,1,8191,12,10,37900.0,5,427,N,2,2,2,2
01-01301,49,2,1,0,2,0,2,1,1,6690,8,9,17130.0,4,204,N,2,1,2,1
26-02702,20,1,6,0,6,0,N,1,2,7870,11,7,25400.0,4,194,N,2,2,2,2
30-00600,12,2,N,1,8,4,6,1,1,N,N,3,N,N,265,N,2,2,2,2
24-01004,49,2,4,0,1,3,6,1,1,7470,10,12,8000.0,2,322,N,2,2,2,2
40-00200,86,1,4,0,3,N,N,3,0,N,N,7,31200.0,6,264,N,1,2,2,1
06-08507,76,1,4,0,1,0,N,1,1,180,0,9,135000.0,9,501,N,2,2,2,2
